SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10750 SW Boones Ferry Rd,Portland,OR,97219,750000,3,2.0,"148 - Portland NW/ SW/ S, Raleigh Hills",2067,50094,1946,4,363,,Active,,,https://www.redfin.com/OR/Portland/10750-SW-Boones-Ferry-Rd-97219/home/26537824,RMLS,24462712,N,Y,45.4471803,-122.6862681
MLS Listing,,Single Family Residential,5386 NW 164th Ave,Portland,OR,97229,724900,4,2.5,Emerald Estates,1985,6534,1995,5,365,,Active,,,https://www.redfin.com/OR/Portland/5386-NW-164th-Ave-97229/home/25762106,RMLS,24155413,N,Y,45.5587747,-122.84615
MLS Listing,,Condo/Co-op,1406 NE 21st Ave #14,Portland,OR,97232,238000,1,1.0,Regal Court,597,,1950,5,399,374,Active,,,https://www.redfin.com/OR/Portland/1406-NE-21st-Ave-97232/unit-14/home/26443996,RMLS,24283649,N,Y,45.5330283,-122.6446829
MLS Listing,,Townhouse,1209 N Morgan St,Portland,OR,97217,400000,2,2.5,141 - Portland North,1039,871,2016,5,385,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/OR/Portland/1209-N-Morgan-St-97217/home/105522039,RMLS,24127856,N,Y,45.5747228,-122.6794077
MLS Listing,,Single Family Residential,8125 SE 65th Ave,Portland,OR,97206,425000,3,1.0,143 - Portland Southeast,936,5662,1959,5,454,,Active,,,https://www.redfin.com/OR/Portland/8125-SE-65th-Ave-97206/home/26603316,RMLS,24248055,N,Y,45.4645682,-122.5967708
MLS Listing,,Single Family Residential,15680 SE Wallace Rd,Milwaukie,OR,97267,949000,3,1.5,"145 - Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3270,29620,1930,5,290,,Active,,,https://www.redfin.com/OR/Portland/15680-SE-Wallace-Rd-97267/home/26004741,RMLS,24160903,N,Y,45.4098583,-122.6093705
MLS Listing,,Single Family Residential,875 N Watts St,Portland,OR,97217,450000,2,1.5,141 - Portland North,976,5662,1952,5,461,,Active,,,https://www.redfin.com/OR/Portland/875-N-Watts-St-97217/home/25801483,RMLS,24387316,N,Y,45.5815498,-122.6760687
MLS Listing,,Single Family Residential,14141 E Burnside St,Portland,OR,97233,559000,4,2.0,143 - Portland Southeast,2312,9147,1959,5,242,,Active,,,https://www.redfin.com/OR/Portland/14141-E-Burnside-St-97233/home/26459031,RMLS,24432031,N,Y,45.5226907,-122.5175993
MLS Listing,,Condo/Co-op,6928 SE Raymond Ct #2,Portland,OR,97206,419000,3,2.0,143 - Portland Southeast,1372,,1906,5,305,257,Active,,,https://www.redfin.com/OR/Portland/6928-SE-Raymond-Ct-97206/unit-2/home/170024503,RMLS,24473809,N,Y,45.4859509,-122.5915204
MLS Listing,,Condo/Co-op,2241 NW Pettygrove St #7,Portland,OR,97210,525000,2,2.5,"148 - Portland NW/ SW/ S, Raleigh Hills",1269,,2001,5,414,632,Active,,,https://www.redfin.com/OR/Portland/2241-NW-Pettygrove-St-97210/unit-7/home/25754145,RMLS,24282631,N,Y,45.5329135,-122.6976985
