SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,100 Exchange St #1106,Providence,RI,02903,499000,1,1.0,Downtown,907,,2009,1,550,801,Active,,,https://www.redfin.com/RI/Providence/100-Exchange-St-02903/unit-1106/home/52256277,RIS,1368294,N,Y,41.8275001,-71.4128345
MLS Listing,,Multi-Family (2-4 Unit),41 Ayrault St,Providence,RI,02908,560000,6,3.0,Smith Hill,3374,4000,1918,1,166,,Active,,,https://www.redfin.com/RI/Providence/41-Ayrault-St-02908/home/51716093,RIS,1368754,N,Y,41.8327312,-71.4286077
MLS Listing,,Single Family Residential,15 Hazael St,Providence,RI,02908,399900,3,1.0,North End,1044,4800,1958,1,383,,Active,September-19-2024 05:30 PM,September-19-2024 06:30 PM,https://www.redfin.com/RI/Providence/15-Hazael-St-02908/home/51710491,RIS,1368605,N,Y,41.8505355,-71.4409867
MLS Listing,,Single Family Residential,206 Montgomery Ave,Cranston,RI,02905,379900,4,2.0,Washington Park,1496,2640,1920,1,254,,Active,,,https://www.redfin.com/RI/Cranston/206-Montgomery-Ave-02905/home/51847440,RIS,1368735,N,Y,41.7859659,-71.3970721
MLS Listing,,Single Family Residential,60 Payton St,Providence,RI,02905,399000,3,1.5,Washington Park,1559,3216,1932,1,256,,Active,September-18-2024 04:30 PM,September-18-2024 06:00 PM,https://www.redfin.com/RI/Providence/60-Payton-St-02905/home/51711716,RIS,1368497,N,Y,41.7874781,-71.405689
MLS Listing,,Single Family Residential,101 Radcliffe Ave,Providence,RI,02908,519900,5,2.5,Providence,2100,4000,1930,1,248,,Active,,,https://www.redfin.com/RI/Providence/101-Radcliffe-Ave-02908/home/51729258,MLS PIN,73290484,N,Y,41.839713,-71.4307319
MLS Listing,,Single Family Residential,47 Huxley Ave,Providence,RI,02908,465000,3,2.0,Providence,2016,4603,1955,1,231,,Active,,,https://www.redfin.com/RI/Providence/47-Huxley-Ave-02908/home/51720447,MLS PIN,73290472,N,Y,41.8393248,-71.4339484
MLS Listing,,Single Family Residential,4 Shepard Ave,North Providence,RI,02904,450000,3,2.0,North Providence,1392,7275,1955,1,323,,Active,,,https://www.redfin.com/RI/Providence/4-Shepard-Ave-02904/home/52035783,RIS,1368718,N,Y,41.8605876,-71.423033
MLS Listing,,Multi-Family (2-4 Unit),47 Dickinson Ave,North Providence,RI,02904,430000,4,3.0,North Providence,3180,4792,1956,1,135,,Active,September-18-2024 05:30 PM,September-18-2024 07:00 PM,https://www.redfin.com/RI/North-Providence/47-Dickinson-Ave-02904/home/52039457,RIS,1368136,N,Y,41.8732981,-71.4220689
MLS Listing,,Single Family Residential,63 W Clifford St,Providence,RI,02907,375000,3,1.0,Rhode Island Hospital,1140,2963,1899,1,329,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/RI/Providence/63-W-Clifford-St-02907/home/51695998,RIS,1368160,N,Y,41.8131432,-71.4170302
MLS Listing,,Multi-Family (2-4 Unit),28 30 Mercy Street St,Providence,RI,02909,999000,8,3.0,Silver Lake,2961,4800,1920,1,337,,Active,,,https://www.redfin.com/RI/Providence/28-Mercy-St-02909/home/51720682,RIS,1368120,N,Y,41.8115676,-71.459736
MLS Listing,,Condo/Co-op,99 Woodlawn Ave #3,North Providence,RI,02904,549000,2,2.5,North Providence,1140,,2024,1,482,96,Active,,,https://www.redfin.com/RI/North-Providence/99-Woodlawn-Ave-02904/unit-3/home/192567476,RIS,1368698,N,Y,41.8627366,-71.470267
MLS Listing,,Condo/Co-op,99 Woodlawn Ave #2,North Providence,RI,02904,549000,2,2.5,North Providence,1140,,2024,1,482,96,Active,,,https://www.redfin.com/RI/North-Providence/99-Woodlawn-Ave-02904/unit-2/home/192567454,RIS,1368695,N,Y,41.8627366,-71.470267
MLS Listing,,Single Family Residential,2 Amanda Ct,North Providence,RI,02904,549900,4,2.0,Lincoln Line,3418,11326,1993,2,161,,Active,September-20-2024 05:00 PM,September-20-2024 06:00 PM,https://www.redfin.com/RI/North-Providence/2-Amanda-Ct-02904/home/52030944,RIS,1368653,N,Y,41.8768351,-71.4288083
MLS Listing,,Condo/Co-op,99 Woodlawn Ave #1,North Providence,RI,02904,549000,2,2.5,North Providence,1140,,2024,2,482,96,Active,,,https://www.redfin.com/RI/North-Providence/99-Woodlawn-Ave-02904/unit-1/home/192560353,RIS,1368646,N,Y,41.8627366,-71.470267
MLS Listing,,Single Family Residential,35 Erastus,Providence,RI,02909,479900,3,2.5,Mount Pleasant,1936,3200,2021,3,248,,Active,,,https://www.redfin.com/RI/Providence/35-Erastus-St-02909/home/51703110,MLS PIN,73290096,N,Y,41.8243874,-71.4506819
MLS Listing,,Single Family Residential,224 Villa Ave,North Providence,RI,02904,378900,3,2.0,Woodville,1065,8015,1909,3,356,,Active,September-17-2024 04:30 PM,September-17-2024 06:30 PM,https://www.redfin.com/RI/North-Providence/224-Villa-Ave-02904/home/52033769,RIS,1368629,N,Y,41.8627989,-71.4430856
MLS Listing,,Single Family Residential,99 Manomet St,Providence,RI,02909,469900,3,2.0,Mt. Pleasant,2100,3920,2024,3,224,,Active,,,https://www.redfin.com/RI/Providence/99-Manomet-St-02909/home/51712996,RIS,1368515,N,Y,41.833831,-71.454204
MLS Listing,,Condo/Co-op,75 Eagle St Unit 3E,Providence,RI,02909,299000,2,1.0,Valley,1052,,1900,3,284,400,Active,,,https://www.redfin.com/RI/Providence/75-Eagle-St-02909/unit-3E/home/192542135,RIS,1368466,N,Y,41.8255074,-71.4358269
MLS Listing,,Multi-Family (2-4 Unit),77 79 Raymond St,Providence,RI,02908,689900,6,3.0,Smith Hill / PC / Elmhurst,4203,3841,1900,3,164,,Active,,,https://www.redfin.com/RI/Providence/79-Raymond-St-02908/home/192459025,RIS,1368585,N,Y,41.833466,-71.4297615
MLS Listing,,Single Family Residential,53 Herbert St,Providence,RI,02909,499000,4,3.0,Fruit Hill Area,2200,6970,2005,3,227,,Active,,,https://www.redfin.com/RI/Providence/53-Herbert-St-02909/home/51703334,RIS,1368382,N,Y,41.8354256,-71.465255
MLS Listing,,Single Family Residential,172 Oakland Ave,Providence,RI,02908,549900,5,2.5,Elmhurst/Smith Hill,3587,4000,1930,3,153,,Active,,,https://www.redfin.com/RI/Providence/172-Oakland-Ave-02908/home/51702139,RIS,1368567,N,Y,41.8390795,-71.4295197
MLS Listing,,Condo/Co-op,201 Woodlawn Ave #205,North Providence,RI,02904,195000,1,1.0,North Providence,646,,1989,4,302,270,Active,,,https://www.redfin.com/RI/North-Providence/201-Woodlawn-Ave-02904/unit-205/home/52030711,RIS,1368551,N,Y,41.8629117,-71.4683018
