SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1022 Hancock St #109,Quincy,MA,02169,450000,1,1.0,Quincy,1001,,2017,7,450,558,Active,,,https://www.redfin.com/MA/Quincy/1022-Hancock-St-02169/unit-109/home/108266443,MLS PIN,73288296,N,Y,42.2573517,-71.0073388
MLS Listing,,Single Family Residential,41 Cherry St,Quincy,MA,02169,449000,1,1.0,Quincy,720,2060,1920,9,624,,Active,,,https://www.redfin.com/MA/Quincy/41-Cherry-St-02169/home/8937662,MLS PIN,73287295,N,Y,42.249095,-70.9759512
MLS Listing,,Townhouse,72 Centre St Unit H,Quincy,MA,02169,394900,2,1.5,Quincy,922,,1974,1,428,317,Active,September-21-2024 12:00 PM,September-21-2024 01:30 PM,https://www.redfin.com/MA/Quincy/72-Centre-St-02169/unit-H/home/8964367,MLS PIN,73291231,N,Y,42.2416282,-71.0203139
MLS Listing,,Single Family Residential,48 Bunker Hill Ln,Quincy,MA,02169,1350000,4,3.5,Quincy,3038,7965,1870,1,444,,Active,,,https://www.redfin.com/MA/Quincy/48-Bunker-Hill-Ln-02169/home/8975432,MLS PIN,73290951,N,Y,42.2381853,-71.0316924
MLS Listing,,Condo/Co-op,200 Cove Way #301,Quincy,MA,02169,349999,1,1.0,Quincy,777,,1986,1,450,391,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/MA/Quincy/200-Cove-Way-02169/unit-301/home/11496437,MLS PIN,73290900,N,Y,42.2521956,-70.9800815
MLS Listing,,Single Family Residential,48 Sea Ave,Quincy,MA,02169,1200000,4,2.5,Quincy,2345,5065,1928,2,512,,Active,,,https://www.redfin.com/MA/Quincy/48-Sea-Ave-02169/home/8910883,MLS PIN,73290639,N,Y,42.2738261,-70.9502643
MLS Listing,,Condo/Co-op,90 Quincy Shore Dr #414,Quincy,MA,02171,425000,2,2.0,Quincy,885,,1987,3,480,444,Active,September-21-2024 11:00 AM,September-21-2024 12:30 PM,https://www.redfin.com/MA/Quincy/90-Quincy-Shore-Dr-02171/unit-414/home/9011395,MLS PIN,73290405,N,Y,42.2837744,-71.0329228
MLS Listing,,Single Family Residential,65 Gladstone St,Quincy,MA,02171,609000,3,1.0,Quincy,1084,4090,1900,4,562,,Active,,,https://www.redfin.com/MA/Quincy/65-Gladstone-St-02171/home/9018688,MLS PIN,73290187,N,Y,42.2994582,-71.0065726
MLS Listing,,Single Family Residential,16 Schlager Ave,Quincy,MA,02169,750000,4,1.5,Quincy,2100,8987,1961,6,357,,Active,,,https://www.redfin.com/MA/Quincy/16-Schlager-Ave-02169/home/8965300,MLS PIN,73289646,N,Y,42.2364535,-71.0263528
MLS Listing,,Single Family Residential,15 Knollwood Rd,Quincy,MA,02171,1925000,4,4.5,Squantum,3448,7483,1989,6,558,,Active,,,https://www.redfin.com/MA/Quincy/15-Knollwood-Rd-02171/home/9014750,MLS PIN,73289618,N,Y,42.2933941,-71.0091265
MLS Listing,,Multi-Family (2-4 Unit),18 Curtis St,Quincy,MA,02169,749000,6,3.5,Quincy Center,2124,7760,1910,6,353,,Active,,,https://www.redfin.com/MA/Quincy/18-Curtis-St-02169/home/8934928,MLS PIN,73289534,N,Y,42.2490561,-71.0152007
MLS Listing,,Single Family Residential,15 Edwards Ln,Quincy,MA,02169,1749000,3,3.5,Germantown,2781,13500,2023,6,629,,Active,,,https://www.redfin.com/MA/Quincy/15-Edwards-Ln-02169/home/178725053,MLS PIN,73289214,N,Y,42.249564,-70.9624874
MLS Listing,,Condo/Co-op,488 Quincy Ave #7,Quincy,MA,02169,699000,2,2.0,Quincy,1355,,2024,7,516,355,Active,,,https://www.redfin.com/MA/Quincy/488-Quincy-Ave-02169/unit-7/home/192506169,MLS PIN,73289008,N,Y,42.2377097,-70.9801743
MLS Listing,,Condo/Co-op,488 Quincy Ave #4,Quincy,MA,02169,749000,2,2.5,Quincy,1643,,2024,7,456,430,Active,,,https://www.redfin.com/MA/Quincy/488-Quincy-Ave-02169/unit-4/home/192505950,MLS PIN,73289002,N,Y,42.2377097,-70.9801743
MLS Listing,,Multi-Family (2-4 Unit),61 Town Hill St,Quincy,MA,02169,899000,4,2.0,Quincy,1800,5852,1920,7,499,,Active,,,https://www.redfin.com/MA/Quincy/61-Town-Hill-St-02169/home/8963918,MLS PIN,73288994,N,Y,42.2422695,-71.018319
MLS Listing,,Condo/Co-op,488 Quincy Ave #1,Quincy,MA,02169,739000,2,2.0,Quincy,1667,,2024,7,443,437,Active,,,https://www.redfin.com/MA/Quincy/488-Quincy-Ave-02169/unit-1/home/192505222,MLS PIN,73288970,N,Y,42.2377097,-70.9801743
MLS Listing,,Townhouse,41 Harbourside Rd Unit U45,Quincy,MA,02171,919000,2,2.5,Marina Bay,1660,,1984,7,554,801,Active,,,https://www.redfin.com/MA/Quincy/41-Harbourside-Rd-02171/unit-U45/home/192502469,MLS PIN,73288808,N,Y,42.2979543,-71.0248594
