SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,7427 Solstice Pl,Rancho Cucamonga,CA,91739,775000,3,3.5,688 - Rancho Cucamonga,1998,1998,2019,13,388,352,Active,,,https://www.redfin.com/CA/Rancho-Cucamonga/7427-Solstice-Pl-91739/home/172976060,CRMLS,PW24183419,N,Y,34.1192453,-117.5388265
MLS Listing,,Condo/Co-op,8167 Vineyard Ave Unit U28,Rancho Cucamonga,CA,91730,449900,2,1.5,688 - Rancho Cucamonga,932,932,1987,61,483,330,Active,,,https://www.redfin.com/CA/Rancho-Cucamonga/8167-Vineyard-Ave-91730/unit-U28/home/3290085,CRMLS,EV24147198,N,Y,34.1049497,-117.6106772
MLS Listing,,Single Family Residential,13128 Chatham Dr,Rancho Cucamonga,CA,91739,960000,5,3.0,688 - Rancho Cucamonga,2867,6500,2016,1,335,115,Pre On-Market,,,https://www.redfin.com/CA/Rancho-Cucamonga/13128-Chatham-Dr-91739/home/143395805,CRMLS,OC24192097,N,Y,34.1007863,-117.5187625
MLS Listing,,Condo/Co-op,8382 Western Trail Pl Unit G,Rancho Cucamonga,CA,91730,475000,2,1.5,688 - Rancho Cucamonga,942,942,1987,1,504,399,Active,,,https://www.redfin.com/CA/Rancho-Cucamonga/8382-Western-Trail-Pl-91730/unit-G/home/3296156,CRMLS,EV24191381,N,Y,34.1014456,-117.5834936
MLS Listing,,Single Family Residential,8757 Calle Corazon,Rancho Cucamonga,CA,91730,710000,3,2.0,688 - Rancho Cucamonga,1190,8800,1963,1,597,,Active,,,https://www.redfin.com/CA/Rancho-Cucamonga/8757-Calle-Corazon-91730/home/3286922,CRMLS,IV24182896,N,Y,34.109725,-117.6146097
MLS Listing,,Single Family Residential,12359 Overland Dr,Rancho Cucamonga,CA,91739,1275000,4,3.5,688 - Rancho Cucamonga,3420,8504,2007,1,373,149,Pre On-Market,September-21-2024 11:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/CA/Rancho-Cucamonga/12359-Overland-Dr-91739/home/12150910,CRMLS,RS24192789,N,Y,34.1581957,-117.5350173
MLS Listing,,Single Family Residential,6112 Cabernet Pl,Rancho Cucamonga,CA,91737,899900,4,3.0,688 - Rancho Cucamonga,2200,5400,1988,1,409,,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/CA/Rancho-Cucamonga/6112-Cabernet-Pl-91737/home/3276159,CRMLS,CV24191739,N,Y,34.1431507,-117.5702435
MLS Listing,,Single Family Residential,9040 Caballero,Rancho Cucamonga,CA,91737,1185000,4,3.0,688 - Rancho Cucamonga,2518,20085,1975,1,471,,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Rancho-Cucamonga/9040-Caballero-Dr-91737/home/4051352,CRMLS,IV24192266,N,Y,34.1615327,-117.6088011
MLS Listing,,Single Family Residential,4991 Naples Way,Rancho Cucamonga,CA,91739,1450000,4,3.5,688 - Rancho Cucamonga,3752,18653,2018,1,386,149,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Rancho-Cucamonga/4991-Naples-Way-91739/home/160935022,CRMLS,CV24192239,N,Y,34.1638723,-117.5320895
MLS Listing,,Single Family Residential,6464 Carol Ave,Alta Loma,CA,91701,795000,3,2.0,688 - Rancho Cucamonga,1417,10000,1984,1,561,,Active,,,https://www.redfin.com/CA/Rancho-Cucamonga/6464-Carol-Ave-91701/home/4058125,CRMLS,CV24190088,N,Y,34.1368731,-117.6284259
MLS Listing,,Single Family Residential,5611 Crestline Pl,Rancho Cucamonga,CA,91739,1185000,5,3.0,688 - Rancho Cucamonga,2493,9100,1996,1,475,,Pre On-Market,,,https://www.redfin.com/CA/Rancho-Cucamonga/5611-Crestline-Pl-91739/home/3321604,CRMLS,PW24185770,N,Y,34.1523338,-117.494108
