SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2906 Pennington Rd,Henrico,VA,23294,405000,4,2.0,Skipwith Heights,1198,10794,1959,1,338,,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Henrico/2906-Pennington-Rd-23294/home/59644087,CVRMLS,2423796,N,Y,37.6251474,-77.5371091
MLS Listing,,Single Family Residential,1973 Castle Glen Dr,Chesterfield,VA,23236,399000,4,2.5,Edgewood,1751,11456,2001,4,228,,Pre On-Market,,,https://www.redfin.com/VA/North-Chesterfield/1973-Castle-Glen-Dr-23236/home/59528689,CVRMLS,2423417,N,Y,37.4651279,-77.5783785
MLS Listing,,Single Family Residential,4107 Forest Cir,Richmond,VA,23225,505000,4,3.0,Riverside Park,1536,9483,1951,8,329,,Active,,,https://www.redfin.com/VA/Richmond/4107-Forest-Cir-23225/home/55432112,CVRMLS,2423517,N,Y,37.5222738,-77.4737599
MLS Listing,,Single Family Residential,2304 Summerwood Dr,Henrico,VA,23233,585000,4,2.5,Steveston,2517,10166,1998,18,232,,Active,,,https://www.redfin.com/VA/Henrico/2304-Summerwood-Dr-23233/home/59640150,CVRMLS,2422513,N,Y,37.6260864,-77.6110707
MLS Listing,,Townhouse,4962 Finnegan Ct,Henrico,VA,23228,262000,2,1.5,Shannon Green,1120,1607,1986,25,234,162,Active,,,https://www.redfin.com/VA/Henrico/4962-Finnegan-Ct-23228/home/59635464,CVRMLS,2421038,N,Y,37.6366687,-77.5337105
MLS Listing,,Single Family Residential,716 Chimborazo Blvd,Richmond,VA,23223,649990,3,2.5,Chimborazo,2552,3123,2018,27,255,,Active,,,https://www.redfin.com/VA/Richmond/716-Chimborazo-Blvd-23223/home/55412451,CVRMLS,2420448,N,Y,37.5309412,-77.406987
MLS Listing,,Single Family Residential,3904 Darton Ter,Richmond,VA,23223,366000,4,2.5,Orchard Glen,2092,11299,1999,27,175,,Active,,,https://www.redfin.com/VA/Richmond/3904-Darton-Ter-23223/home/59593224,CVRMLS,2421875,N,Y,37.5791608,-77.3895135
MLS Listing,,Single Family Residential,4608 E Run Ct,Chesterfield,VA,23234,324950,4,2.5,Mason Woods,1526,29098,1991,34,213,,Active,,,https://www.redfin.com/VA/North-Chesterfield/4608-E-Run-Ct-23234/home/59558137,CVRMLS,2421157,N,Y,37.4227405,-77.4767565
MLS Listing,,Single Family Residential,1800 Walkerton Rd,Chesterfield,VA,23236,399990,3,2.0,Gatewood,1838,39073,1973,63,218,,Active,,,https://www.redfin.com/VA/North-Chesterfield/1800-Walkerton-Rd-23236/home/59531123,CVRMLS,2418473,N,Y,37.475304,-77.5697108
MLS Listing,,Townhouse,416 Broad Hill Trl,Henrico,VA,23233,549999,3,3.0,Saunders Station At Broad Hill Centre,2514,,2019,98,219,220,Active,,,https://www.redfin.com/VA/Henrico/416-Broad-Hill-Trl-23233/home/171367538,CVRMLS,2414492,N,Y,37.6675033,-77.6437033
MLS Listing,,Townhouse,4701 Brimley Pl,North Chesterfield,VA,23234,245000,3,1.5,Berwick Village,1312,2090,1974,1,187,97,Active,,,https://www.redfin.com/VA/North-Chesterfield/4701-Brimley-Pl-23234/home/59557282,CVRMLS,2422748,N,Y,37.434852,-77.477952
MLS Listing,,Single Family Residential,813 Parrish St,Richmond,VA,23226,570000,4,2.5,Westwood,1562,6899,1960,1,365,,Active,,,https://www.redfin.com/VA/Richmond/813-Parrish-St-23226/home/55449340,CVRMLS,2423023,N,Y,37.5782007,-77.5091126
MLS Listing,,Single Family Residential,6213 Calavetti Dr,North Chesterfield,VA,23234,390000,5,2.5,Jessup Farms,2182,8929,2003,1,179,,Active,,,https://www.redfin.com/VA/North-Chesterfield/6213-Calavetti-Dr-23234/home/59470569,CVRMLS,2422617,N,Y,37.4375274,-77.5124519
MLS Listing,,Single Family Residential,7709 Cornwall Rd,Henrico,VA,23229,625000,3,2.0,Westham,1784,20464,1952,1,350,,Active,,,https://www.redfin.com/VA/Henrico/7709-Cornwall-Rd-23229/home/59667144,CVRMLS,2424012,N,Y,37.585727,-77.5446334
MLS Listing,,Single Family Residential,3305 Gloucester Rd,Richmond,VA,23227,430000,4,2.0,Sherwood Park,1689,11282,1940,1,255,,Active,,,https://www.redfin.com/VA/Richmond/3305-Gloucester-Rd-23227/home/55422991,CVRMLS,2412195,N,Y,37.5760613,-77.4561224
MLS Listing,,Single Family Residential,4203 Fitzhugh Ave,Richmond,VA,23230,535000,2,1.5,C F Sauers,1214,3541,1986,1,441,,Active,,,https://www.redfin.com/VA/Richmond/4203-Fitzhugh-Ave-23230/home/55446894,CVRMLS,2424115,N,Y,37.5737881,-77.4859243
MLS Listing,,Single Family Residential,3109 Chesham St,Henrico,VA,23238,255000,3,1.0,GILBERT GARDENS,1100,,1947,1,232,,Active,,,https://www.redfin.com/VA/Henrico/3109-Chesham-St-23231/home/59686469,BRIGHT MLS,VAHN2000672,N,Y,37.5195528,-77.3715938
MLS Listing,,Single Family Residential,2013 Channel View Ter,Chester,VA,23836,890000,5,4.5,Meadowville Landing,3562,26136,2011,1,250,97,Active,,,https://www.redfin.com/VA/Chester/2013-Channel-View-Ter-23836/home/59486830,CVRMLS,2424288,N,Y,37.3775198,-77.3226382
MLS Listing,,Single Family Residential,2037 Orlando Rd,Richmond,VA,23224,349900,4,3.0,Rolando,1520,10942,1948,1,230,,Active,,,https://www.redfin.com/VA/Richmond/2037-Orlando-Rd-23224/home/55406746,CVRMLS,2424403,N,Y,37.4883281,-77.4719674
MLS Listing,,Single Family Residential,3211 Delaware Ave,Richmond,VA,23222,319000,4,2.0,Highland Park,1430,4900,1918,1,223,,Active,,,https://www.redfin.com/VA/Richmond/3211-Delaware-Ave-23222/home/55422367,CVRMLS,2424409,N,Y,37.5759445,-77.4206542
MLS Listing,,Condo/Co-op,1722 Old Brick Rd Unit 17A,Glen Allen,VA,23060,474900,3,2.5,West Broad Village,1504,,2024,1,316,325,Active,,,https://www.redfin.com/VA/Glen-Allen/1722-Old-Brick-Rd-23060/unit-17A/home/192579402,CVRMLS,2423925,N,Y,37.6465186,-77.595087
MLS Listing,,Townhouse,4410 Dominion Forest Cir,Glen Allen,VA,23060,527700,3,4.0,Innsbrook Dominion Residences,2151,,2024,1,245,210,Active,,,https://www.redfin.com/VA/Glen-Allen/4410-Dominion-Forest-Cir-23060/home/185536821,CVRMLS,2424385,N,Y,37.659619,-77.5816705
MLS Listing,,Townhouse,4418 Dominion Forest Cir,Glen Allen,VA,23060,547700,3,4.0,Innsbrook Dominion Residences,2151,,2024,1,255,210,Active,,,https://www.redfin.com/VA/Glen-Allen/4418-Dominion-Forest-Cir-23060/home/185536819,CVRMLS,2424382,N,Y,37.6596629,-77.5818079
MLS Listing,,Single Family Residential,3154 Floyd Ave,Richmond,VA,23221,749000,3,2.0,,2001,4020,1916,1,374,,Active,September-18-2024 04:00 PM,September-18-2024 06:00 PM,https://www.redfin.com/VA/Richmond/3154-Floyd-Ave-23221/home/55444253,CVRMLS,2422478,N,Y,37.5562484,-77.4808955
MLS Listing,,Single Family Residential,3801 Morton Dr,Fairfield,VA,23223,445000,4,2.5,Clarendon Woods,3074,10998,2004,1,145,12,Active,,,https://www.redfin.com/VA/Richmond/3801-Morton-Dr-23223/home/59599840,CVRMLS,2424315,N,Y,37.5726904,-77.3719744
MLS Listing,,Townhouse,4404 Dominion Forest Cir,Glen Allen,VA,23060,544840,3,4.0,Innsbrook Dominion Residences,2151,,2024,1,253,210,Active,,,https://www.redfin.com/VA/Glen-Allen/4404-Dominion-Forest-Cir-23060/home/185536815,CVRMLS,2424357,N,Y,37.6594045,-77.5816851
MLS Listing,,Single Family Residential,8901 Avalon Dr,Henrico,VA,23229,379000,3,1.5,Sharon Hills,1404,17484,1957,1,270,,Active,,,https://www.redfin.com/VA/Henrico/8901-Avalon-Dr-23229/home/59665104,CVRMLS,2423278,N,Y,37.5895944,-77.578218
MLS Listing,,Condo/Co-op,1618 Park Ave Unit U2B,Richmond,VA,23220,295000,2,1.0,,779,740,1919,1,379,354,Active,September-20-2024 04:00 PM,September-20-2024 06:00 PM,https://www.redfin.com/VA/Richmond/1618-Park-Ave-23220/unit-U2B/home/55390400,CVRMLS,2423738,N,Y,37.552051,-77.459238
MLS Listing,,Townhouse,4408 Dominion Forest Cir,Glen Allen,VA,23060,554600,3,4.0,Innsbrook Dominion Residences,2040,,2024,1,272,210,Active,,,https://www.redfin.com/VA/Glen-Allen/4408-Dominion-Forest-Cir-23060/home/185536813,CVRMLS,2424355,N,Y,37.659417,-77.5817539
MLS Listing,,Townhouse,4412 Dominion Forest Cir,Glen Allen,VA,23060,532530,3,4.0,Innsbrook Dominion Residences,2151,,2024,1,248,210,Active,,,https://www.redfin.com/VA/Glen-Allen/4412-Dominion-Forest-Cir-23060/home/185536811,CVRMLS,2424349,N,Y,37.6594413,-77.5818196
MLS Listing,,Condo/Co-op,612 W Franklin St Unit 11c,Richmond,VA,23220,525000,2,2.5,,2028,,1929,2,259,1573,Active,,,https://www.redfin.com/VA/Richmond/612-W-Franklin-St-23220/unit-11C/home/170649671,CVRMLS,2423026,N,Y,37.5478229,-77.4494409
