SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,6979 Palm Ct Unit 105B,Riverside,CA,92506,332000,2,2.0,252 - Riverside,1165,1307,1959,5,285,430,Active,,,https://www.redfin.com/CA/Riverside/6979-Palm-Ct-92506/unit-105B/home/4978289,CRMLS,IV24187240,N,Y,33.9468468,-117.4022952
MLS Listing,,Vacant Land,0 Road Runner Ridge Dr,Riverside,CA,92503,62000,,,252 - Riverside,,7841,,18,,,Active,,,https://www.redfin.com/CA/Riverside/Road-Runner-Rdg-92503/home/171388784,CRMLS,IG24180495,N,Y,33.874999,-117.437476
MLS Listing,,Multi-Family (2-4 Unit),7460 Potomac St,Riverside,CA,92504,748000,4,2.0,252 - Riverside,1647,7841,1953,18,454,,Active,,,https://www.redfin.com/CA/Riverside/7460-Potomac-St-92504/home/4991172,CRMLS,IV24173108,N,Y,33.9408157,-117.4076601
MLS Listing,,Single Family Residential,9659 Tuco Ln,Riverside,CA,92508,750000,4,3.0,252 - Riverside,2227,5663,2022,39,337,200,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Riverside/9659-Tuco-Ln-92508/home/181201183,CRMLS,OC24152418,N,Y,33.8752012,-117.3298692
MLS Listing,,Single Family Residential,7906 Montecito Ln,Riverside,CA,92507,717800,4,2.0,252 - Riverside,1781,7597,2020,46,403,,Active,,,https://www.redfin.com/CA/Riverside/7906-Montecito-Ln-92507/home/173394936,CRMLS,IV24159320,N,Y,34.0059814,-117.293903
MLS Listing,,Single Family Residential,16550 Catalonia Dr,Riverside,CA,92504,1620000,5,4.5,252 - Riverside,4815,43124,2006,54,336,75,Active,,,https://www.redfin.com/CA/Riverside/16550-Catalonia-Dr-92504/home/12500306,CRMLS,IV24148879,N,Y,33.8650744,-117.373835
MLS Listing,,Single Family Residential,20202 Dayton St,Riverside,CA,92508,799900,4,3.0,252 - Riverside,3098,10019,2004,87,258,55,Active,,,https://www.redfin.com/CA/Riverside/20202-Dayton-St-92508/home/6491285,CRMLS,IV24121202,N,Y,33.8981617,-117.3097296
MLS Listing,,Single Family Residential,9451 53rd St,Jurupa Valley,CA,92509,715000,4,2.0,251 - Jurupa Valley,1420,16988,1967,1,504,,Pre On-Market,September-29-2024 10:00 AM,September-29-2024 01:00 PM,https://www.redfin.com/CA/Jurupa-Valley/9451-53rd-St-92509/home/4852540,CRMLS,IG24186577,N,Y,33.9911266,-117.490805
MLS Listing,,Single Family Residential,8933 Delano Dr,Riverside,CA,92503,590000,3,2.0,252 - Riverside,1265,8276,1958,1,466,,Pre On-Market,September-21-2024 11:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/CA/Riverside/8933-Delano-Dr-92503/home/4915278,CRMLS,IV24192481,N,Y,33.9370052,-117.4447266
MLS Listing,,Single Family Residential,13852 Grapefruit Ct,Riverside,CA,92503,1300000,5,3.5,252 - Riverside,4644,13068,2016,1,280,158,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Riverside/13852-Grapefruit-Ct-92503/home/112839693,CRMLS,IV24191923,N,Y,33.8740735,-117.4196199
MLS Listing,,Single Family Residential,8701 Ouida Dr,Riverside,CA,92503,549999,3,2.0,252 - Riverside,1838,6534,1962,1,299,,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/CA/Riverside/8701-Ouida-Dr-92503/home/4919125,CRMLS,SW24192818,N,Y,33.9332005,-117.4356557
MLS Listing,,Single Family Residential,7858 Sherry Ln,Jurupa Valley,CA,92509,1750000,5,5.0,251 - Jurupa Valley,4000,29185,1979,1,438,,Pre On-Market,,,https://www.redfin.com/CA/Jurupa-Valley/7858-Sherry-Ln-92509/home/4861053,CRMLS,CV24192299,N,Y,34.0066337,-117.4549232
MLS Listing,,Single Family Residential,622 W Main St,Riverside,CA,92507,750000,5,2.5,252 - Riverside,1604,21780,1971,1,468,,Pre On-Market,,,https://www.redfin.com/CA/Riverside/622-W-Main-St-92507/home/5048923,CRMLS,IG24191723,N,Y,34.0190584,-117.3249612
