SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,402 Crossfield Rd,Irondequoit,NY,14609,199000,4,2.0,Culver Hills,1470,6970,1968,17,135,,Active,,,https://www.redfin.com/NY/Rochester/402-Crossfield-Rd-14609/home/72564971,UNYREIS,R1560181,N,Y,43.189141,-77.5620986
MLS Listing,,Single Family Residential,907 Goodman St S,Rochester,NY,14620,245000,4,1.0,Ellwanger & Barry,1865,4892,1910,26,131,,Active,,,https://www.redfin.com/NY/Rochester/907-Goodman-St-S-14620/home/79256842,UNYREIS,R1559912,N,Y,43.1361619,-77.5984191
MLS Listing,,Multi-Family (2-4 Unit),384 Magnolia St,Rochester,NY,14611,139900,5,2.0,Rapids,2214,5663,1915,1,63,,Active,,,https://www.redfin.com/NY/Rochester/384-Magnolia-St-14611/home/92820651,UNYREIS,R1565741,N,Y,43.1381634,-77.6333143
MLS Listing,,Single Family Residential,228 Belmont Rd,Greece,NY,14612,139900,4,1.0,Greece,1064,13068,1949,1,131,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/NY/Rochester/228-Belmont-Rd-14612/home/72481191,UNYREIS,R1566078,N,Y,43.2501517,-77.6273345
MLS Listing,,Single Family Residential,230 Hoffman Rd,Irondequoit,NY,14622,459900,3,2.5,Irondequoit,2248,32670,1965,1,205,,Active,,,https://www.redfin.com/NY/Rochester/230-Hoffman-Rd-14622/home/92859901,UNYREIS,R1565090,N,Y,43.2181666,-77.5617092
MLS Listing,,Single Family Residential,135 Lake Meadow Dr,Greece,NY,14612,284900,5,2.0,Thayer Farms Sec 03,2024,12422,1971,1,141,,Active,,,https://www.redfin.com/NY/Rochester/135-Lake-Meadow-Dr-14612/home/92842736,UNYREIS,R1561670,N,Y,43.2536517,-77.636121
MLS Listing,,Multi-Family (2-4 Unit),72 Willite Dr,Rochester,NY,14621,90000,4,2.0,Zorn,1486,3920,1920,1,61,,Active,,,https://www.redfin.com/NY/Rochester/72-Willite-Dr-14621/home/79416877,UNYREIS,R1564920,N,Y,43.179935,-77.5892991
MLS Listing,,Multi-Family (2-4 Unit),154 Breck St,Rochester,NY,14609,219900,4,3.0,C M Thoms,1974,5541,1915,1,111,,Active,,,https://www.redfin.com/NY/Rochester/154-Breck-St-14609/home/92816735,UNYREIS,R1566038,N,Y,43.160168,-77.574175
MLS Listing,,Multi-Family (2-4 Unit),97 Kingston St,Rochester,NY,14609,159900,6,2.0,J R Thomas,2537,4791,1917,1,63,,Active,,,https://www.redfin.com/NY/Rochester/97-Kingston-St-14609/home/79423732,UNYREIS,R1565942,N,Y,43.162087,-77.567722
MLS Listing,,Condo/Co-op,114 Woodhill Dr,Greece,NY,14616,109000,2,1.5,Woodhill Condo,936,477,1964,1,116,231,Active,,,https://www.redfin.com/NY/Rochester/114-Woodhill-Dr-14616/home/79431835,UNYREIS,R1563795,N,Y,43.2389415,-77.6356907
MLS Listing,,Single Family Residential,61 Wedgewood Park,Greece,NY,14616,169900,2,2.0,Stonecroft,1313,6250,1956,1,129,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/NY/Rochester/61-Wedgewood-Park-14616/home/72508219,UNYREIS,R1565258,N,Y,43.2249502,-77.6326858
MLS Listing,,Vacant Land,2600 Buffalo Rd,Gates,NY,14624,350000,,,Gates,,958320,,1,,,Active,,,https://www.redfin.com/NY/Rochester/2600-Buffalo-Rd-14624/home/72552624,UNYREIS,R1565963,N,Y,43.147835,-77.722127
MLS Listing,,Single Family Residential,349 Genesee Park Blvd,Rochester,NY,14619,149000,3,1.5,So Park Home D Assn,1242,4680,1930,1,120,,Active,September-21-2024 11:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/NY/Rochester/349-Genesee-Park-Blvd-14619/home/92826041,WNYREIS,B1565524,N,Y,43.1260843,-77.6488202
MLS Listing,,Single Family Residential,179 Nichols St,Rochester,NY,14609,99900,3,1.0,Jennings,1321,3936,1920,1,76,,Active,September-22-2024 12:00 PM,September-22-2024 01:30 PM,https://www.redfin.com/NY/Rochester/179-Nichols-St-14609/home/79268847,UNYREIS,R1565938,N,Y,43.1795003,-77.5815311
MLS Listing,,Single Family Residential,185 Jamestown Ter Ter,Greece,NY,14615,174900,3,1.5,Heritage Farms Sec 02,1120,12000,1962,1,156,,Active,,,https://www.redfin.com/NY/Rochester/185-Jamestown-Ter-14615/home/72556092,UNYREIS,R1565952,N,Y,43.228387,-77.6673084
MLS Listing,,Single Family Residential,355 Spencer Rd,Irondequoit,NY,14609,159900,3,1.0,Laurelton Add,1200,6098,1947,1,133,,Active,,,https://www.redfin.com/NY/Rochester/355-Spencer-Rd-14609/home/72486721,UNYREIS,R1565927,N,Y,43.1692102,-77.5488779
MLS Listing,,Single Family Residential,90 Heather Dr,Penfield,NY,14625,724900,5,4.5,James Graney Prop,4282,60984,1975,1,169,,Active,,,https://www.redfin.com/NY/Rochester/90-Heather-Dr-14625/home/72515196,UNYREIS,R1565879,N,Y,43.1337577,-77.4866045
MLS Listing,,Multi-Family (2-4 Unit),950 Saint Paul St,Rochester,NY,14605,139900,5,3.0,Evergreen Tr,2967,5663,1890,1,47,,Active,,,https://www.redfin.com/NY/Rochester/950-Saint-Paul-St-14605/home/92812848,UNYREIS,R1565801,N,Y,43.1730307,-77.6227245
MLS Listing,,Multi-Family (2-4 Unit),353 Ravine Ave,Rochester,NY,14613,129900,6,4.0,Fairchild & Rockfellow Su,4005,6027,1900,1,32,,Active,,,https://www.redfin.com/NY/Rochester/353-Ravine-Ave-14613/home/72539940,UNYREIS,R1565873,N,Y,43.1749432,-77.6389291
MLS Listing,,Single Family Residential,297 Barrington St,Rochester,NY,14607,525000,5,3.5,Kondolf Ice Pond Tr,3337,11037,1900,1,157,,Active,September-20-2024 04:30 PM,September-20-2024 06:30 PM,https://www.redfin.com/NY/Rochester/297-Barrington-St-14607/home/79372182,UNYREIS,R1565842,N,Y,43.1453098,-77.5835906
MLS Listing,,Single Family Residential,76 Williston Rd,Greece,NY,14616,159900,3,1.5,Greece,1822,5400,1933,1,88,,Active,September-18-2024 04:30 PM,September-18-2024 06:30 PM,https://www.redfin.com/NY/Rochester/76-Williston-Rd-14616/home/92849962,UNYREIS,R1565263,N,Y,43.2206371,-77.6435092
MLS Listing,,Single Family Residential,98 Lianne Dr,Greece,NY,14626,350000,3,2.5,Creek House Village Sub S,1662,12197,2016,1,211,,Active,,,https://www.redfin.com/NY/Rochester/98-Lianne-Dr-14626/home/92892591,UNYREIS,R1565623,N,Y,43.2206631,-77.7393646
MLS Listing,,Single Family Residential,110 Weiland Woods Ln,Greece,NY,14626,289900,4,2.5,Weiland Woods,1911,12598,1983,1,152,,Active,,,https://www.redfin.com/NY/Rochester/110-Weiland-Woods-Ln-14626/home/79359008,UNYREIS,R1565826,N,Y,43.1918908,-77.6937031
MLS Listing,,Single Family Residential,72 Isabelle St,Rochester,NY,14606,79900,3,2.0,Beacon Heights,1170,6299,1953,1,68,,Active,,,https://www.redfin.com/NY/Rochester/72-Isabelle-St-14606/home/72526361,UNYREIS,R1565645,N,Y,43.1714505,-77.6525428
MLS Listing,,Single Family Residential,116 Barberry,Rochester,NY,14621,99900,4,2.0,Dickinson H A,1220,3387,1927,1,82,,Active,,,https://www.redfin.com/NY/Rochester/116-Barberry-Ter-14621/home/72537771,UNYREIS,R1565652,N,Y,43.1833097,-77.5888294
MLS Listing,,Multi-Family (2-4 Unit),187 Pinehill Dr,Irondequoit,NY,14622,84900,4,2.0,Irondequoit,1550,6098,1940,1,55,,Active,,,https://www.redfin.com/NY/Rochester/187-Pinehill-Dr-14622/home/92858013,UNYREIS,R1564146,N,Y,43.2311465,-77.5466897
MLS Listing,,Single Family Residential,1376 Weiland Rd,Greece,NY,14626,199900,3,1.5,Weiland Estates Add 3,1635,14000,1960,1,122,,Active,September-19-2024 04:30 PM,September-19-2024 06:00 PM,https://www.redfin.com/NY/Rochester/1376-Weiland-Rd-14626/home/72509233,UNYREIS,R1565769,N,Y,43.1945889,-77.7002044
MLS Listing,,Single Family Residential,74 Kosciusko St,Rochester,NY,14621,99900,3,1.0,Block & Blauw,1110,3455,1900,1,90,,Active,,,https://www.redfin.com/NY/Rochester/74-Kosciusko-St-14621/home/79373376,UNYREIS,R1565342,N,Y,43.1853751,-77.5973217
MLS Listing,,Vacant Land,446 Campbell St,Rochester,NY,14611,15000,,,Wackermans,,2602,,1,,,Active,,,https://www.redfin.com/NY/Rochester/446-Campbell-St-14611/home/72542827,UNYREIS,R1565757,N,Y,43.1575895,-77.6398817
MLS Listing,,Single Family Residential,119 York St,Rochester,NY,14611,90000,5,2.0,Jane Taylor Hrs Subn,1805,1742,1900,2,50,,Active,,,https://www.redfin.com/NY/Rochester/119-York-St-14611/home/79288520,UNYREIS,R1565674,N,Y,43.1525373,-77.6377854
MLS Listing,,Multi-Family (2-4 Unit),56 Concord St,Rochester,NY,14605,75000,4,2.0,S Budlong,2161,3484,1900,2,35,,Active,,,https://www.redfin.com/NY/Rochester/56-Concord-St-14605/home/72541486,UNYREIS,R1565228,N,Y,43.169992,-77.596358
MLS Listing,,Single Family Residential,255 Tioga Dr,Greece,NY,14616,220000,4,1.5,Heritage Farms Sec #10,1604,12035,1967,2,137,,Active,September-18-2024 04:00 PM,September-18-2024 06:00 PM,https://www.redfin.com/NY/Rochester/255-Tioga-Dr-14616/home/72481736,UNYREIS,R1565634,N,Y,43.2415424,-77.6619119
MLS Listing,,Single Family Residential,81 Normandy Ave,Rochester,NY,14619,165000,4,1.0,Garfield & Strassenburgh,1643,5480,1907,3,100,,Active,,,https://www.redfin.com/NY/Rochester/81-Normandy-Ave-14619/home/72528312,UNYREIS,R1565401,N,Y,43.1457761,-77.644857
MLS Listing,,Multi-Family (2-4 Unit),318 Scio St,Rochester,NY,14605,129900,4,2.0,J Newell,2358,4940,1900,3,55,,Active,,,https://www.redfin.com/NY/Rochester/318-Scio-St-14605/home/92814465,UNYREIS,R1565574,N,Y,43.162604,-77.59653
MLS Listing,,Single Family Residential,71 Lida Ln,Greece,NY,14616,210000,3,1.5,Lida Sec 02,1634,13280,1960,3,129,,Active,,,https://www.redfin.com/NY/Rochester/71-Lida-Ln-14616/home/72558079,UNYREIS,R1565629,N,Y,43.2222145,-77.6541271
MLS Listing,,Single Family Residential,2348 Westside Dr,Ogden,NY,14624,199900,4,1.5,Stettner Corners,1224,17424,1958,3,163,,Active,,,https://www.redfin.com/NY/Rochester/2348-Westside-Dr-14624/home/79311220,UNYREIS,R1565540,N,Y,43.1273485,-77.806058
MLS Listing,,Single Family Residential,344 Cottage St,Rochester,NY,14611,129900,3,2.5,J A Harris Subn,1649,4978,1900,3,79,,Active,,,https://www.redfin.com/NY/Rochester/344-Cottage-St-14611/home/72528552,UNYREIS,R1565526,N,Y,43.1361144,-77.6314583
MLS Listing,,Single Family Residential,92 Camden St,Rochester,NY,14612,139900,3,1.0,Martin,1490,4400,1929,3,94,,Active,,,https://www.redfin.com/NY/Rochester/92-Camden-St-14612/home/72535474,UNYREIS,R1564594,N,Y,43.2588372,-77.6149674
MLS Listing,,Single Family Residential,95 Fairgate St,Rochester,NY,14606,129900,4,1.0,Wetmore Amd,1545,6098,1932,3,84,,Active,,,https://www.redfin.com/NY/Rochester/95-Fairgate-St-14606/home/92810456,UNYREIS,R1565575,N,Y,43.1614004,-77.6584457
MLS Listing,,Single Family Residential,23 Miller St,Rochester,NY,14605,130000,3,1.5,F Fritzsche Re,1320,2574,1900,4,98,,Active,,,https://www.redfin.com/NY/Rochester/23-Miller-St-14605/home/92813342,UNYREIS,R1565546,N,Y,43.1722002,-77.5907536
MLS Listing,,Multi-Family (2-4 Unit),90-92 Locust St,Rochester,NY,14613,152900,8,4.0,Fairchild & Rockfellow Su,1131,4792,1910,4,135,,Active,,,https://www.redfin.com/NY/Rochester/9092-Locust-St-14613/home/192544878,UNYREIS,R1565153,N,Y,43.174579,-77.637978
MLS Listing,,Single Family Residential,641 Thomas Ave,Irondequoit,NY,14617,275000,5,2.5,Irondequoit,2268,23087,1965,4,121,,Active,,,https://www.redfin.com/NY/Rochester/641-Thomas-Ave-14617/home/72510957,UNYREIS,R1565079,N,Y,43.2404356,-77.6101104
MLS Listing,,Single Family Residential,461 Lyell Ave,Rochester,NY,14606,65000,5,5.0,J Campbells,1718,5227,1880,4,38,,Active,,,https://www.redfin.com/NY/Rochester/461-Lyell-Ave-14606/home/72526220,UNYREIS,R1563505,N,Y,43.1644288,-77.6394094
MLS Listing,,Multi-Family (2-4 Unit),43 Marshall St,Rochester,NY,14607,299000,3,2.0,Wadsworth Tr,1936,4175,1880,4,154,,Active,,,https://www.redfin.com/NY/Rochester/43-Marshall-St-14607/home/77166504,UNYREIS,R1565191,N,Y,43.1501249,-77.6035684
MLS Listing,,Single Family Residential,20 Deb Ellen Dr,Chili,NY,14624,254900,3,1.5,Chi-Paul Gardens Sec 04,1924,23958,1965,4,132,,Active,,,https://www.redfin.com/NY/Rochester/20-Deb-Ellen-Dr-14624/home/72479275,UNYREIS,R1565446,N,Y,43.1034072,-77.7590378
MLS Listing,,Single Family Residential,67 Harper St,Rochester,NY,14607,524900,4,2.5,Est H Sibley,3026,5521,1892,4,173,,Active,September-20-2024 04:30 PM,September-20-2024 06:30 PM,https://www.redfin.com/NY/Rochester/67-Harper-St-14607/home/79422804,UNYREIS,R1564519,N,Y,43.1465653,-77.5899774
MLS Listing,,Single Family Residential,154 Adams St,Rochester,NY,14608,130000,5,2.0,Cornhill Tr,1914,7405,1880,4,68,,Active,,,https://www.redfin.com/NY/Rochester/154-Adams-St-14608/home/92821282,UNYREIS,R1565404,N,Y,43.1490076,-77.6202718
MLS Listing,,Single Family Residential,189 Newton Rd,Greece,NY,14626,139900,4,1.5,Farmdale,1382,6500,1942,4,101,,Active,,,https://www.redfin.com/NY/Rochester/189-Newton-Rd-14626/home/92848840,UNYREIS,R1565161,N,Y,43.2114382,-77.6809693
MLS Listing,,Single Family Residential,86 Straub Rd,Greece,NY,14626,315000,4,2.5,Dean,1866,17860,1995,4,169,,Active,,,https://www.redfin.com/NY/Rochester/86-Straub-Rd-14626/home/92850692,UNYREIS,R1565380,N,Y,43.1980428,-77.7091328
