SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1417 East Park NE,Salem,OR,97301,399000,4,2.0,Salem,1620,6534,1946,19,246,,Active,,,https://www.redfin.com/OR/Salem/1417-E-Park-Ave-NE-97301/home/26411392,WVMLS,820888,N,Y,44.9469205,-123.0000804
MLS Listing,,Condo/Co-op,4792 Lancaster Dr NE Unit (150),Salem,OR,97305,250000,2,1.5,Salem Arbor Townhouse,928,,1998,73,269,,Active,,,https://www.redfin.com/OR/Salem/4792-Lancaster-Dr-NE-97305/unit-150/home/26397573,WVMLS,818893,N,Y,44.9930732,-122.9826993
MLS Listing,,Single Family Residential,4196 Roberts Ridge Rd S,Salem,OR,97302,979000,5,3.0,Roberts Ridge Acres,3310,129373,1976,80,296,,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/OR/Salem/4196-Roberts-Ridge-Rd-S-97302/home/26387678,RMLS,24603654,N,Y,44.883453,-123.116086
MLS Listing,,Single Family Residential,567 Bliler Ave,Salem,OR,97301,385000,3,1.0,174 - Marion Co: Central Salem,1025,7840,1948,102,376,,Active,,,https://www.redfin.com/OR/Salem/567-Bliler-Ave-NE-97301/home/26400986,RMLS,24466665,N,Y,44.9675082,-123.0268024
MLS Listing,,Single Family Residential,3490 Midway Ave NE,Salem,OR,97301,448999,4,2.5,Salem,2080,4904,2006,136,216,,Active,,,https://www.redfin.com/OR/Salem/3490-Midway-Ave-NE-97301/home/26421944,WVMLS,816399,N,Y,44.937043,-122.9908987
MLS Listing,,Single Family Residential,4086 Judy Ave,Salem,OR,97305,545000,4,3.0,174 - Marion Co: Central Salem,2362,8712,1957,164,231,,Active,,,https://www.redfin.com/OR/Salem/4086-Judy-Ave-NE-97305/home/26259881,RMLS,24013343,N,Y,44.9615529,-122.9812299
MLS Listing,,Mobile/Manufactured Home,2200 #22D Lancaster Dr SE Unit 22D,Salem,OR,97317,35000,2,1.0,Salem,784,,1979,1,45,,Active,,,https://www.redfin.com/OR/Salem/2200-22D-Lancaster-Dr-SE-97317/unit-22D/home/192582192,WVMLS,821475,N,Y,44.9143788,-122.9799805
MLS Listing,,Single Family Residential,673 Howell Pr,Salem,OR,97317-9353,925000,3,2.0,Salem,1611,413820,1930,1,574,,Active,,,https://www.redfin.com/OR/Salem/673-Howell-Prairie-Rd-NE-97317/home/167735421,WVMLS,821148,N,Y,44.937818,-122.886215
MLS Listing,,Single Family Residential,5150 Constellation Ave NE,Salem,OR,97305,479000,3,2.0,Northstar Ph 3,1869,5130,2020,1,256,,Active,,,https://www.redfin.com/OR/Salem/5150-Constellation-Ave-NE-97305/home/180859091,WVMLS,821253,N,Y,45.000073,-122.9551726
MLS Listing,,Single Family Residential,1989 Nut Tree Dr NW,Salem,OR,97304,417000,3,2.0,Salemtowne No. 3,1371,3920,1981,1,304,,Active,,,https://www.redfin.com/OR/Salem/1989-Nut-Tree-Dr-NW-97304/home/26487985,WVMLS,821470,N,Y,44.9830194,-123.0758444
MLS Listing,,Single Family Residential,2071 Rollin Ave NW,Salem,OR,97304,495000,3,2.5,168 - Polk Co: West Salem N,1917,6098,1995,1,258,,Active,,,https://www.redfin.com/OR/Salem/2071-Rollin-Ave-NW-97304/home/26516611,RMLS,24219260,N,Y,44.9494079,-123.0763142
MLS Listing,,Single Family Residential,1349 Thunderbird Ave,Salem,OR,97306,729999,4,2.5,172 - Marion Co: South Salem,2956,11761,2022,1,247,,Active,,,https://www.redfin.com/OR/Salem/1349-Thunderbird-Ave-S-97306/home/146028526,RMLS,24625152,N,Y,44.8688472,-123.0652731
MLS Listing,,Single Family Residential,467 Greencrest St NE Unit (109),Salem,OR,97301,419995,3,2.0,East Park,1435,6095,2024,1,293,,Active,,,https://www.redfin.com/OR/Salem/467-Greencrest-St-NE-97301/unit-109/home/192580136,WVMLS,821464,N,Y,44.934831,-122.966162
MLS Listing,,Single Family Residential,553 Eagle Nest St NW,Salem,OR,97304,625000,4,2.5,Eagles View,3291,6256,2004,1,190,,Active,,,https://www.redfin.com/OR/Salem/553-Eagle-Nest-St-NW-97304/home/26542556,WVMLS,821461,N,Y,44.9415117,-123.089255
MLS Listing,,Single Family Residential,4075 32nd Pl,Salem,OR,97301,499900,6,3.5,177 - Marion Co: South Keizer,2926,10018,1993,1,171,,Active,,,https://www.redfin.com/OR/Salem/4075-32nd-Pl-NE-97301/home/26358073,RMLS,24558569,N,Y,44.9779276,-122.9944564
MLS Listing,,Mobile/Manufactured Home,941 Waikiki St,Salem,OR,97317,275000,3,2.0,175 - Marion Co: East Salem S,1188,,1998,1,231,,Active,,,https://www.redfin.com/OR/Salem/941-Waikiki-St-SE-97317/home/26365788,RMLS,24488370,N,Y,44.9177724,-122.9586972
MLS Listing,,Single Family Residential,3772 Galloway St S,Salem,OR,97302,649000,4,2.5,Bailey Ridge No 1,3032,5662,2007,1,214,,Active,,,https://www.redfin.com/OR/Salem/3772-Galloway-St-S-97302/home/25726473,WVMLS,821451,N,Y,44.9006341,-123.1082751
MLS Listing,,Mobile/Manufactured Home,7769 River Rd,Keizer,OR,97303,695000,3,2.0,178 - Marion Co: North Keizer,1620,95832,2016,1,429,,Active,September-21-2024 11:00 AM,September-21-2024 03:00 PM,https://www.redfin.com/OR/Keizer/7769-River-Rd-NE-97303/home/26324273,RMLS,24004330,N,Y,45.0325987,-123.0036696
MLS Listing,,Single Family Residential,5125 Meteor Ave,Salem,OR,97305,569900,4,3.0,176 - Marion Co: East Salem N,2760,4791,2019,1,206,,Active,,,https://www.redfin.com/OR/Salem/5125-Meteor-Ave-NE-97305/home/148509629,RMLS,24485357,N,Y,44.9978047,-122.9555168
MLS Listing,,Single Family Residential,4821 Oregano (lot Ave NE Unit 278),Salem,OR,97301,454995,4,2.5,East Park Village,2050,3960,2024,1,222,,Active,,,https://www.redfin.com/OR/Salem/4821-Oregon-Ave-NE-97301/unit-278/home/192568146,WVMLS,821448,N,Y,44.9372537,-122.9930565
