SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,650 N 300 W #235,Salt Lake City,UT,84103,325000,2,1.0,MARMALADE,826,435,1961,22,393,210,Active,,,https://www.redfin.com/UT/Salt-Lake-City/650-N-300-W-84103/unit-235/home/91852186,WFRMLS,2019578,N,Y,40.7834155,-111.8977502
MLS Listing,,Townhouse,625 E 200 S #1,Salt Lake City,UT,84102,549950,2,1.5,HAMPTON PLACE,1316,871,2005,75,418,233,Active,,,https://www.redfin.com/UT/Salt-Lake-City/625-E-200-S-84102/unit-1/home/91684825,WFRMLS,2009472,N,Y,40.7660341,-111.8729802
MLS Listing,,Single Family Residential,131 Yale Ave,Salt Lake City,UT,84111,376000,2,1.0,WALKER PLACE PLAT C,771,3049,1925,81,488,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/131-E-Yale-Ave-84111/home/91738071,WFRMLS,2008502,N,Y,40.7455359,-111.8868827
MLS Listing,,Single Family Residential,770 E 3155 S,Salt Lake City,UT,84106,455000,3,1.0,COOLIDGE PLACE,1258,4791,1933,81,362,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/770-E-3155-S-84106/home/91756991,WFRMLS,2008435,N,Y,40.7020748,-111.8691318
MLS Listing,,Condo/Co-op,234 E 100 S Unit B6,Salt Lake City,UT,84111,300000,1,1.0,HOLLYWOOD CONDOMINIU,563,435,1909,102,533,275,Active,,,https://www.redfin.com/UT/Salt-Lake-City/234-E-100-S-84111/unit-B6/home/91736926,WFRMLS,2003939,N,Y,40.7667132,-111.8841183
MLS Listing,,Condo/Co-op,310 S 300 E Unit A1,Salt Lake City,UT,84111,334950,2,1.0,SAMPSON ALTADENA CON,925,435,1910,291,362,242,Active,,,https://www.redfin.com/UT/Salt-Lake-City/310-S-300-E-84111/unit-A1/home/91853155,WFRMLS,1969693,N,Y,40.7624382,-111.8828381
MLS Listing,,Single Family Residential,3026 S Crescent Dr,Millcreek,UT,84106,749000,4,3.0,MOUNTAIR ACRES,2460,6534,1941,1,304,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/3026-S-Crescent-Dr-84106/home/86503514,WFRMLS,2023777,N,Y,40.7050913,-111.8514973
MLS Listing,,Single Family Residential,872 N Oakley St,Salt Lake City,UT,84116,399900,4,1.5,ROSE PARK,3120,10018,1915,1,128,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/872-N-Oakley-St-84116/home/91706403,WFRMLS,2023736,N,Y,40.7886086,-111.9266586
MLS Listing,,Single Family Residential,113 E Wilson Ave,Salt Lake City,UT,84115,685000,3,2.0,DANKOWSKE PARK,1628,11325,1915,1,421,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/UT/Salt-Lake-City/113-E-Wilson-Ave-84115/home/91747799,WFRMLS,2023708,N,Y,40.732473,-111.887381
MLS Listing,,Single Family Residential,1920 S 2600 E,Salt Lake City,UT,84108,999999,4,3.0,AMENDED & EX,3112,7405,1961,1,321,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/1920-S-2600-E-84108/home/86426525,WFRMLS,2023701,N,Y,40.7284622,-111.8162061
MLS Listing,,Townhouse,311 W Azure Sky Ln Unit 5-25,Salt Lake City,UT,84103,429247,1,1.0,Salt Lake City: Avenues Area,935,435,2024,1,459,155,Active,,,https://www.redfin.com/UT/Salt-Lake-City/311-W-Azure-Sky-Ln-84103/unit-5-25/home/192579269,WFRMLS,2023690,N,Y,40.7835589,-111.9002198
MLS Listing,,Condo/Co-op,12082 E Big Cottonwood Canyon Rd #315,Brighton,UT,84121,989000,2,2.0,EAGLE SPRINGS EAST CONDO,1155,435,2001,1,856,899,Active,,,https://www.redfin.com/UT/Brighton/12082-E-Big-Cottonwood-Canyon-RD-84121/unit-315/home/192577403,WFRMLS,2023663,N,Y,40.60384,-111.5821429
MLS Listing,,Single Family Residential,434 E Emerson Ave,Salt Lake City,UT,84115,724500,3,2.0,BALTIMORE SUB,2176,9147,1946,1,333,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/434-E-Emerson-Ave-84115/home/86427707,WFRMLS,2023662,N,Y,40.7371862,-111.8786117
MLS Listing,,Condo/Co-op,276 E Broadway St S #3,Salt Lake City,UT,84111,195000,,1.0,SAMPSON ALTADENA CONDOMINIUM,166,435,1910,2,1175,270,Active,,,https://www.redfin.com/UT/Salt-Lake-City/276-E-Broadway-84111/unit-3/home/192567400,WFRMLS,2023603,N,Y,40.7625918,-111.8828723
MLS Listing,,Single Family Residential,452 N 300 W,Salt Lake City,UT,84103,559900,3,1.0,"LOT 4, BLK 1",2050,7840,1929,2,273,,Active,,,https://www.redfin.com/UT/Salt-Lake-City/452-N-300-W-84103/home/91710008,WFRMLS,2020961,N,Y,40.7793594,-111.8993142
