SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11139 Negley Ave,San Diego,CA,92131,1595000,5,3.0,Scripps Ranch,2401,6200,1972,5,664,,Active,,,https://www.redfin.com/CA/San-Diego/11139-Negley-Ave-92131/home/4972326,SDMLS,240021836,N,Y,32.9034121,-117.0917141
MLS Listing,,Single Family Residential,7954 Gaylen Rd,San Diego,CA,92126,1024999,3,2.0,San Diego,1203,5600,1990,5,852,,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/7954-Gaylen-Rd-92126/home/4583032,SDMLS,240021805,N,Y,32.9153726,-117.150885
MLS Listing,,Condo/Co-op,1501 Front St #538,San Diego,CA,92101,558000,1,1.0,Downtown,721,60215,2004,5,774,499,Active,,,https://www.redfin.com/CA/San-Diego/1501-Front-St-92101/unit-538/home/6675015,SDMLS,240021796,N,Y,32.7215349,-117.164399
MLS Listing,,Single Family Residential,1098 Sea Reef Dr,San Diego,CA,92154,1089000,5,3.0,San Diego,2685,6109,2000,5,406,57,Active,,,https://www.redfin.com/CA/San-Diego/1098-Sea-Reef-Dr-92154/home/6221861,SDMLS,240021793,N,Y,32.5774805,-117.0247539
MLS Listing,,Single Family Residential,8606 Lake Jody Dr,San Diego,CA,92119,1324999,4,3.5,San Diego,2522,6258,2018,6,525,238,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/San-Diego/8606-Lake-Jody-Dr-92119/home/145704336,SDMLS,240021388,N,Y,32.796287,-117.0122315
MLS Listing,,Condo/Co-op,8767 Promenade North Pl,San Diego,CA,92123,750000,2,2.0,Kearny Mesa,1128,123202,2007,6,665,295,Active,,,https://www.redfin.com/CA/San-Diego/8767-Promenade-North-Pl-92123/home/17203032,SDMLS,240021664,N,Y,32.828249,-117.137561
MLS Listing,,Single Family Residential,3226 Lucinda St,San Diego,CA,92106,3575000,3,2.0,Point Loma,1448,7098,1924,9,2469,,Active,,,https://www.redfin.com/CA/San-Diego/3226-Lucinda-St-92106/home/5742582,SDMLS,240021389,N,Y,32.7191131,-117.2370371
MLS Listing,,Condo/Co-op,9909 Azuaga St Unit C202,San Diego,CA,92129,525000,2,1.0,Rancho Penasquitos,750,,1992,9,700,425,Active,,,https://www.redfin.com/CA/San-Diego/9909-Azuaga-St-92129/unit-C202/home/7531575,SDMLS,240021387,N,Y,32.958286,-117.1118055
MLS Listing,,Single Family Residential,12216 Riesling Ct,San Diego,CA,92131,1850000,3,2.5,Scripps Ranch,2320,12100,1977,12,797,,Active,,,https://www.redfin.com/CA/San-Diego/12216-Riesling-Ct-92131/home/4811332,SDMLS,240021228,N,Y,32.9190528,-117.0684509
MLS Listing,,Single Family Residential,9075 Meadowrun Way,San Diego,CA,92129,1399900,3,2.5,Rancho Penasquitos,2094,6535,1983,13,669,,Active,,,https://www.redfin.com/CA/San-Diego/9075-Meadowrun-Way-92129/home/4604675,SDMLS,240021048,N,Y,32.9759898,-117.133425
