SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1177 California St #1111,San Francisco,CA,94108,448000,0,1.0,SF District 8,437,31662,1978,3,1025,1181,Active,,,https://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-1111/home/950572,San Francisco MLS,424065768,N,Y,37.7909986,-122.4137649
MLS Listing,,Condo/Co-op,501 Crescent Way #5103,San Francisco,CA,94134,695000,2,2.0,SF District 10,1166,72305,2006,4,596,808,Active,September-17-2024 02:00 PM,September-17-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/501-Crescent-Way-94134/unit-5103/home/22892019,San Francisco MLS,424061508,N,Y,37.7117617,-122.388583
MLS Listing,,Single Family Residential,6 Hillview Ct,San Francisco,CA,94124,998000,3,2.0,SF District 10,1776,1604,1984,4,562,175,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/6-Hillview-Ct-94124/home/1575793,San Francisco MLS,424063885,N,Y,37.7356168,-122.3845762
MLS Listing,,Condo/Co-op,28 Jennifer Pl,San Francisco,CA,94107,1100000,3,2.0,SF District 9,1624,17082,2000,12,677,150,Active,September-22-2024 02:00 PM,September-22-2024 05:00 PM,https://www.redfin.com/CA/San-Francisco/28-Jennifer-Pl-94107/home/12397287,San Francisco MLS,424062705,N,Y,37.7800448,-122.4023989
MLS Listing,,Single Family Residential,1218 Mariposa St,San Francisco,CA,94107,3000000,2,2.0,SF District 9,,2500,,14,,,Active,,,https://www.redfin.com/CA/San-Francisco/1218-Mariposa-St-94107/home/886517,San Francisco MLS,424055981,N,Y,37.7639977,-122.3962106
MLS Listing,,Single Family Residential,200 Putnam St,San Francisco,CA,94110,1898000,4,3.0,SAN FRANCISCO,2670,1750,2010,19,711,,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/200-Putnam-St-94110/home/21995119,MLSListings,ML81978461,N,Y,37.7368361,-122.4111872
MLS Listing,,Condo/Co-op,3193 California St,San Francisco,CA,94115,999000,2,1.0,SF District 7,1048,3256,1905,21,953,550,Active,,,https://www.redfin.com/CA/San-Francisco/3193-California-St-94115/home/1959177,San Francisco MLS,424060220,N,Y,37.7871558,-122.4465243
MLS Listing,,Single Family Residential,200 20th Ave,San Francisco,CA,94121,2898000,5,3.0,SAN FRANCISCO,2800,2375,1917,26,1035,,Active,,,https://www.redfin.com/CA/San-Francisco/200-20th-Ave-94121/home/1289575,MLSListings,ML81977708,N,Y,37.7840489,-122.4794291
MLS Listing,,Condo/Co-op,942 Market St #502,San Francisco,CA,94102,569000,1,1.0,SF District 8,728,5287,2007,47,782,610,Active,,,https://www.redfin.com/CA/San-Francisco/942-Market-St-94102/unit-502/home/21999832,San Francisco MLS,424053924,N,Y,37.7836702,-122.4087914
MLS Listing,,Multi-Family (2-4 Unit),426 - 428 3rd Ave,San Francisco,CA,94118,1795000,2,3.5,SF District 1,3190,2996,1900,49,563,,Active,,,https://www.redfin.com/CA/San-Francisco/426-428-3rd-Ave-94118/home/191870654,San Francisco MLS,424052338,N,Y,37.780563,-122.460696
MLS Listing,,Condo/Co-op,629 Chestnut St #401,San Francisco,CA,94133,1895000,4,3.0,SF District 8,2200,4784,1990,53,861,744,Active,,,https://www.redfin.com/CA/San-Francisco/629-Chestnut-St-94133/unit-401/home/543679,San Francisco MLS,424052592,N,Y,37.8035063,-122.413732
MLS Listing,,Single Family Residential,3028 Market St,San Francisco,CA,94114,1399000,3,2.0,San Francisco,1705,1971,1890,57,821,,Active,,,https://www.redfin.com/CA/San-Francisco/3028-Market-St-94114/home/1469904,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41067309,N,Y,37.7611783,-122.4418868
MLS Listing,,Condo/Co-op,516 Church St,San Francisco,CA,94114,1499925,3,1.5,SF District 5,1527,1938,1900,61,982,350,Active,,,https://www.redfin.com/CA/San-Francisco/516-Church-St-94114/home/21965578,San Francisco MLS,424047180,N,Y,37.7625957,-122.4286818
MLS Listing,,Condo/Co-op,401 Crescent Ct #4206,San Francisco,CA,94134,639000,2,2.0,SAN FRANCISCO,935,,2007,71,683,719,Active,,,https://www.redfin.com/CA/San-Francisco/401-Crescent-Ct-94134/unit-4206/home/22890560,MLSListings,ML81972319,N,Y,37.7113229,-122.3881225
MLS Listing,,Single Family Residential,338 Holladay St,San Francisco,CA,94110,1595000,3,3.0,SF District 9,2100,1735,2006,81,760,,Active,,,https://www.redfin.com/CA/San-Francisco/338-Holladay-Ave-94110/home/12226751,San Francisco MLS,424038344,N,Y,37.7443757,-122.4060767
MLS Listing,,Condo/Co-op,1045 York St Unit B,San Francisco,CA,94110,1050000,2,1.5,SF District 9,1050,2495,1896,138,1000,280,Active,,,https://www.redfin.com/CA/San-Francisco/1045-York-St-94110/unit-B/home/144063919,San Francisco MLS,424027744,N,Y,37.7553087,-122.4083216
MLS Listing,,Condo/Co-op,767 Bryant St #203,San Francisco,CA,94107,1969988,2,3.0,SAN FRANCISCO,3496,,2002,145,563,1408,Active,,,https://www.redfin.com/CA/San-Francisco/767-Bryant-St-94107/unit-203/home/2006816,MLSListings,ML81963018,N,Y,37.7763746,-122.4016047
MLS Listing,,Condo/Co-op,8100 Oceanview Ter #109,San Francisco,CA,94132,399000,1,1.0,SF District 3,492,,,194,811,717,Active,,,https://www.redfin.com/CA/San-Francisco/8100-Oceanview-Ter-94132/unit-109/home/1690016,San Francisco MLS,424011822,N,Y,37.7104704,-122.4667311
Redfin Data,,Single Family Residential,258 Baltimore Way,San Francisco,CA,94112,995000,3,3.0,San Francisco,1438,2566,1961,25,692,,Pre On-Market,,,https://www.redfin.com/CA/San-Francisco/258-Baltimore-Way-94112/home/1896732,Coming Soon,101229,N,Y,37.7085775,-122.4365311
MLS Listing,,Condo/Co-op,501 Crescent Way #5213,San Francisco,CA,94134,899000,3,2.0,SF District 10,1473,72305,2006,1,610,905,Active,,,https://www.redfin.com/CA/San-Francisco/501-Crescent-Way-94134/unit-5213/home/12402495,San Francisco MLS,424065753,N,Y,37.7117617,-122.388583
MLS Listing,,Single Family Residential,2058 Quesada Ave,San Francisco,CA,94124,899888,4,2.0,SF District 10,2006,2500,1975,1,449,,Active,,,https://www.redfin.com/CA/San-Francisco/2058-Quesada-Ave-94124/home/1591340,San Francisco MLS,424057406,N,Y,37.7373315,-122.3980642
MLS Listing,,Condo/Co-op,1011 23rd St,San Francisco,CA,94107,1375000,2,2.5,SF District 9,1625,10025,2000,1,846,933,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/1011-23rd-St-94107/home/192585390,San Francisco MLS,424058994,N,Y,37.7550424,-122.3902509
MLS Listing,,Condo/Co-op,301 Bryant St Unit D11,San Francisco,CA,94107,715000,1,1.0,SF District 9,795,6883,1998,1,899,829,Active,,,https://www.redfin.com/CA/San-Francisco/301-Bryant-St-94107/unit-D11/home/1424715,San Francisco MLS,424065028,N,Y,37.7845276,-122.391462
MLS Listing,,Single Family Residential,89 Naples St,San Francisco,CA,94112,950000,3,3.0,SF District 10,1463,1875,1905,1,649,,Active,,,https://www.redfin.com/CA/San-Francisco/89-Naples-St-94112/home/1414588,San Francisco MLS,424066108,N,Y,37.7271587,-122.4262201
MLS Listing,,Condo/Co-op,301 Crescent Ct #3209,San Francisco,CA,94134,922000,3,2.0,SF District 10,1356,114415,2007,1,680,886,Active,,,https://www.redfin.com/CA/San-Francisco/301-Crescent-Ct-94134/unit-3209/home/12277935,San Francisco MLS,424063841,N,Y,37.711115,-122.388595
MLS Listing,,Single Family Residential,355 11th Ave,San Francisco,CA,94118,1450000,3,2.0,SF District 1,1312,2996,1902,1,1105,,Active,,,https://www.redfin.com/CA/San-Francisco/355-11th-Ave-94118/home/607463,San Francisco MLS,424066039,N,Y,37.7817389,-122.4699726
MLS Listing,,Single Family Residential,2853 Broderick St,San Francisco,CA,94123,9500000,6,5.5,San Francisco,4526,2757,2020,1,2099,,Active,September-19-2024 06:00 PM,September-19-2024 08:30 PM,https://www.redfin.com/CA/San-Francisco/2853-Broderick-St-94123/home/584882,MLSListings,ML81980574,N,Y,37.7967067,-122.4441361
MLS Listing,,Multi-Family (2-4 Unit),164 - 170 Grand View Ave,San Francisco,CA,94114,2299000,4,4.0,SF District 5,3127,6198,1953,1,735,,Active,,,https://www.redfin.com/CA/San-Francisco/164-170-Grand-View-Ave-94114/home/192582275,San Francisco MLS,424066091,N,Y,37.7554159,-122.440664
MLS Listing,,Single Family Residential,90 Valmar Ter,San Francisco,CA,94112,1695000,4,3.0,SAN FRANCISCO,1983,2495,1967,1,855,,Active,September-17-2024 02:00 PM,September-17-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/90-Valmar-Ter-94112/home/1114004,MLSListings,ML81980423,N,Y,37.7261999,-122.4242145
MLS Listing,,Condo/Co-op,180 7th St #307,San Francisco,CA,94103,625000,2,2.0,SOMA,973,,1992,1,642,912,Active,,,https://www.redfin.com/CA/San-Francisco/180-7th-St-94103/unit-307/home/1024643,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073336,N,Y,37.7782055,-122.4100783
MLS Listing,,Multi-Family (2-4 Unit),2924 - 2926 Cesar Chavez St,San Francisco,CA,94110,1359000,4,2.0,SF District 9,2664,1389,1915,1,510,,Active,,,https://www.redfin.com/CA/San-Francisco/2924-2926-Cesar-Chavez-St-94110/home/192581500,San Francisco MLS,424066006,N,Y,37.748574,-122.408276
MLS Listing,,Single Family Residential,1226 25th Ave,San Francisco,CA,94122,1595000,2,1.0,SF District 2,1300,3000,1924,1,1227,,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/1226-25th-Ave-94122/home/1652186,San Francisco MLS,424065976,N,Y,37.7646053,-122.4834201
MLS Listing,,Condo/Co-op,59 Rodgers St Unit C,San Francisco,CA,94103,750000,1,1.0,SF District 9,1104,,,1,679,513,Active,September-17-2024 09:00 AM,September-17-2024 11:00 AM,https://www.redfin.com/CA/San-Francisco/59-Rodgers-St-94103/unit-C/home/12396827,San Francisco MLS,424065940,N,Y,37.7750159,-122.4088337
MLS Listing,,Condo/Co-op,10 Miller Pl #801,San Francisco,CA,94108,1249000,2,2.0,SF District 8,1000,5236,1963,1,1249,1595,Active,,,https://www.redfin.com/CA/San-Francisco/10-Miller-Pl-94108/unit-801/home/548491,San Francisco MLS,424064662,N,Y,37.7931721,-122.4089274
MLS Listing,,Multi-Family (5+ Unit),1431 - 1441 Willard St,San Francisco,CA,94117,3300000,10,,SF District 5,9030,5264,1907,1,365,,Active,September-17-2024 12:00 PM,September-17-2024 02:00 PM,https://www.redfin.com/CA/San-Francisco/1431-Willard-St-94117/home/1965192,San Francisco MLS,424065845,N,Y,37.763582,-122.454391
MLS Listing,,Single Family Residential,461 27th St,San Francisco,CA,94114,5900000,4,3.5,SF District 5,4075,3036,1900,1,1448,,Active,,,https://www.redfin.com/CA/San-Francisco/461-27th-St-94131/home/801133,San Francisco MLS,424065848,N,Y,37.7465281,-122.4304969
MLS Listing,,Single Family Residential,507 17th Ave,San Francisco,CA,94121,1895000,6,3.0,RICHMOND DIST,2710,2374,1913,1,699,,Active,September-17-2024 11:00 AM,September-17-2024 01:00 PM,https://www.redfin.com/CA/San-Francisco/507-17th-Ave-94121/home/615339,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073284,N,Y,37.7783284,-122.4762855
MLS Listing,,Condo/Co-op,1021 Divisadero St,San Francisco,CA,94117,1199000,3,2.5,SF District 6,1500,3288,1900,1,799,350,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/1021-Divisadero-St-94115/home/1555413,San Francisco MLS,424065905,N,Y,37.7790048,-122.4389782
MLS Listing,,Condo/Co-op,300 3rd St #424,San Francisco,CA,94107,630000,1,1.5,SF District 9,865,48941,1990,1,728,812,Active,September-17-2024 10:00 AM,September-17-2024 02:00 PM,https://www.redfin.com/CA/San-Francisco/300-3rd-St-94107/unit-424/home/724262,San Francisco MLS,424062415,N,Y,37.7836048,-122.3989583
MLS Listing,,Condo/Co-op,3131 Pierce St #101,San Francisco,CA,94123,1795000,2,2.5,SF District 7,1731,,,1,1037,845,Active,September-17-2024 10:00 AM,September-17-2024 12:00 PM,https://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-101/home/174645231,San Francisco MLS,424065914,N,Y,37.7992021,-122.4394363
MLS Listing,,Condo/Co-op,1438 Green St Unit 2B,San Francisco,CA,94109,889000,1,1.0,SAN FRANCISCO,974,,1998,1,913,1582,Active,,,https://www.redfin.com/CA/San-Francisco/1438-Green-St-94109/unit-2B/home/876497,MLSListings,ML81980485,N,Y,37.7980492,-122.422884
MLS Listing,,Single Family Residential,340 Eureka St,San Francisco,CA,94114,2385000,3,2.5,SF District 5,,3250,1893,1,,,Active,September-17-2024 12:00 PM,September-17-2024 02:00 PM,https://www.redfin.com/CA/San-Francisco/340-Eureka-St-94114/home/913909,San Francisco MLS,424051120,N,Y,37.7566809,-122.4381498
MLS Listing,,Multi-Family (2-4 Unit),3482 17th St,San Francisco,CA,94110,2000000,6,4.0,SF District 5,5480,3667,1907,1,365,,Active,,,https://www.redfin.com/CA/San-Francisco/3482-17th-St-94110/home/706270,San Francisco MLS,424065875,N,Y,37.763412,-122.423591
MLS Listing,,Condo/Co-op,896 Green St,San Francisco,CA,94133,1395000,3,2.0,SF District 8,1260,2395,1908,1,1107,422,Active,September-17-2024 09:00 AM,September-17-2024 11:00 AM,https://www.redfin.com/CA/San-Francisco/896-Green-St-94133/home/12354453,San Francisco MLS,424060667,N,Y,37.7990432,-122.413753
MLS Listing,,Single Family Residential,129 Shawnee Ave,San Francisco,CA,94112,1495000,3,2.5,SF District 10,2185,2200,1938,1,684,,Active,September-17-2024 02:00 PM,September-17-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/129-Shawnee-Ave-94112/home/1398072,San Francisco MLS,424057852,N,Y,37.7183286,-122.4469057
MLS Listing,,Single Family Residential,101 Coso Ave,San Francisco,CA,94110,1395000,3,2.0,SF District 9,1975,2361,1925,1,706,,Active,September-17-2024 02:00 PM,September-17-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/101-Coso-Ave-94110/home/1614041,San Francisco MLS,424065443,N,Y,37.7458414,-122.4171513
MLS Listing,,Single Family Residential,1914 22nd Ave,San Francisco,CA,94116,1195000,2,2.0,SF District 2,1415,1746,1940,1,845,,Active,September-17-2024 01:00 PM,September-17-2024 03:00 PM,https://www.redfin.com/CA/San-Francisco/1914-22nd-Ave-94116/home/1325089,San Francisco MLS,424060453,N,Y,37.7519032,-122.4793621
MLS Listing,,Condo/Co-op,2295 Vallejo St #302,San Francisco,CA,94123,998000,1,1.0,SF District 7,775,15135,1975,1,1288,746,Active,,,https://www.redfin.com/CA/San-Francisco/2295-Vallejo-St-94123/unit-302/home/989961,San Francisco MLS,424065338,N,Y,37.7949912,-122.4347802
MLS Listing,,Single Family Residential,137 Curtis St,San Francisco,CA,94112,889000,0,1.0,SF District 10,1125,2996,1973,1,790,,Active,,,https://www.redfin.com/CA/San-Francisco/137-Curtis-St-94112/home/2014636,San Francisco MLS,424063673,N,Y,37.7125087,-122.4392092
MLS Listing,,Multi-Family (2-4 Unit),375 Day St,San Francisco,CA,94131,1295000,4,2.0,SF District 5,3100,2850,1908,1,418,,Active,,,https://www.redfin.com/CA/San-Francisco/375-Day-St-94131/home/810384,San Francisco MLS,424065843,N,Y,37.7425105,-122.4303103
MLS Listing,,Multi-Family (2-4 Unit),1210 Dolores St,San Francisco,CA,94110,2995000,6,4.0,SF District 5,3965,3458,,2,755,,Active,September-19-2024 05:30 PM,September-19-2024 06:30 PM,https://www.redfin.com/CA/San-Francisco/1210-Dolores-St-94114/home/187353287,San Francisco MLS,424062645,N,Y,37.749749,-122.4253349
MLS Listing,,Townhouse,633 La Salle Ave #76,San Francisco,CA,94124,575000,3,2.5,Hunters Point,1360,566,1981,2,423,603,Active,,,https://www.redfin.com/CA/San-Francisco/633-La-Salle-Ave-94124/unit-76/home/1247840,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073246,N,Y,37.7276215,-122.373683
MLS Listing,,Condo/Co-op,181 Fremont Unit 54A,San Francisco,CA,94105,937000,1,1.0,SF District 9,490,,2018,2,1912,1874,Active,,,https://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-54A/home/192567362,San Francisco MLS,424065814,N,Y,37.7896113,-122.3954593
MLS Listing,,Condo/Co-op,181 Fremont St Unit 59A,San Francisco,CA,94105,3995000,2,2.5,SF District 9,1894,,2018,2,2109,3963,Active,,,https://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-59A/home/191433241,San Francisco MLS,424062088,N,Y,37.7896113,-122.3954593
MLS Listing,,Condo/Co-op,1 Bristol Ct #325,San Francisco,CA,94130,655000,0,1.0,SF District 9,749,,2022,2,874,1537,Active,September-20-2024 11:00 AM,September-20-2024 02:00 PM,https://www.redfin.com/CA/San-Francisco/1-Bristol-Ct-94130/unit-325/home/187610471,San Francisco MLS,424065807,N,Y,37.811517,-122.365082
MLS Listing,,Single Family Residential,2467 42nd Ave,San Francisco,CA,94116,1095000,2,1.0,SF District 2,1013,2996,1948,2,1081,,Active,September-17-2024 01:00 PM,September-17-2024 03:00 PM,https://www.redfin.com/CA/San-Francisco/2467-42nd-Ave-94116/home/1023118,San Francisco MLS,424065808,N,Y,37.7407243,-122.5004918
MLS Listing,,Condo/Co-op,55 Red Rock Way Unit 306O,San Francisco,CA,94131,499995,0,1.0,San Francisco,474,7396,1972,2,1055,645,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/55-Red-Rock-Way-94131/unit-306O/home/1160212,MLSListings,ML81980453,N,Y,37.7460345,-122.4410671
MLS Listing,,Condo/Co-op,720 Presidio Ave #302,San Francisco,CA,94115,975000,2,2.0,SF District 6,925,3944,1982,2,1054,375,Active,September-17-2024 11:00 AM,September-17-2024 01:00 PM,https://www.redfin.com/CA/San-Francisco/720-Presidio-Ave-94115/unit-302/home/587900,San Francisco MLS,424064267,N,Y,37.785057,-122.4460978
MLS Listing,,Condo/Co-op,451 Donahue St #502,San Francisco,CA,94124,685000,2,2.0,SF District 10,1011,,2016,2,678,649,Active,,,https://www.redfin.com/CA/San-Francisco/451-Donahue-St-94124/unit-502/home/110052816,San Francisco MLS,424065794,N,Y,37.7288191,-122.3697461
MLS Listing,,Multi-Family (2-4 Unit),9 Grace St,San Francisco,CA,94103,1950000,4,,SF District 9,4919,2833,1925,2,396,,Active,,,https://www.redfin.com/CA/San-Francisco/9-Grace-St-94103/home/192565482,San Francisco MLS,424064806,N,Y,37.7754095,-122.4148932
MLS Listing,,Single Family Residential,505 Gennessee St,San Francisco,CA,94127,1150000,2,1.5,SF District 4,,2500,1925,3,,,Active,September-17-2024 01:00 PM,September-17-2024 03:00 PM,https://www.redfin.com/CA/San-Francisco/505-Gennessee-St-94127/home/1653327,San Francisco MLS,424065679,N,Y,37.7325241,-122.4513785
MLS Listing,,Condo/Co-op,301 Mission St Unit 46F,San Francisco,CA,94105,1450000,2,2.0,SF District 9,1509,,2009,3,961,2976,Active,,,https://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-46F/home/40142570,San Francisco MLS,424063449,N,Y,37.7903824,-122.3961531
MLS Listing,,Condo/Co-op,718 Long Bridge St #1001,San Francisco,CA,94158,1699000,2,2.0,SF District 9,1234,84866,2016,3,1377,1398,Active,,,https://www.redfin.com/CA/San-Francisco/718-Long-Bridge-St-94158/unit-1001/home/109278534,San Francisco MLS,424065695,N,Y,37.7717748,-122.3940731
MLS Listing,,Condo/Co-op,850 Powell St #603,San Francisco,CA,94108,1195000,2,1.5,SF District 8,1442,11027,1923,3,829,1726,Active,,,https://www.redfin.com/CA/San-Francisco/850-Powell-St-94108/unit-603/home/2002925,San Francisco MLS,424065554,N,Y,37.7928654,-122.408964
MLS Listing,,Condo/Co-op,1230 7th Ave,San Francisco,CA,94122,1595000,2,2.5,SF District 2,1505,2375,1908,3,1060,280,Active,September-17-2024 01:00 PM,September-17-2024 03:00 PM,https://www.redfin.com/CA/San-Francisco/1230-7th-Ave-94122/home/1051940,San Francisco MLS,424064474,N,Y,37.7654088,-122.4640839
MLS Listing,,Multi-Family (2-4 Unit),1545 - 1547 Balboa St,San Francisco,CA,94118,2350000,4,,SF District 1,2850,2495,1921,3,825,,Active,,,https://www.redfin.com/CA/San-Francisco/1545-1547-Balboa-St-94118/home/192552763,San Francisco MLS,424056453,N,Y,37.776459,-122.475598
MLS Listing,,Multi-Family (2-4 Unit),3331 - 3333A Cabrillo St,San Francisco,CA,94121,1695000,4,3.0,SF District 1,2519,2700,1915,3,673,,Active,September-17-2024 11:00 AM,September-17-2024 12:30 PM,https://www.redfin.com/CA/San-Francisco/3331-Cabrillo-St-94121/home/192552762,San Francisco MLS,424064342,N,Y,37.7738059,-122.4945511
MLS Listing,,Single Family Residential,250 Arleta Ave,San Francisco,CA,94134,799000,2,1.0,SF District 10,850,2495,1944,3,940,,Active,September-17-2024 02:00 PM,September-17-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/250-Arleta-Ave-94134/home/1448485,San Francisco MLS,424043135,N,Y,37.714349,-122.4078385
MLS Listing,,Single Family Residential,3333 Cabrillo St,San Francisco,CA,94121,1695000,5,3.5,SF District 1,2519,2700,1915,3,673,,Active,September-17-2024 11:00 AM,September-17-2024 12:30 PM,https://www.redfin.com/CA/San-Francisco/3333-Cabrillo-St-94121/home/971278,San Francisco MLS,424062829,N,Y,37.7737178,-122.4945763
MLS Listing,,Condo/Co-op,2 Mint Plz #705,San Francisco,CA,94103,775000,1,1.0,SF District 9,996,7776,1926,3,778,1084,Active,,,https://www.redfin.com/CA/San-Francisco/2-Mint-Plz-94103/unit-705/home/12398068,San Francisco MLS,424065238,N,Y,37.7831221,-122.4075779
MLS Listing,,Condo/Co-op,338 Main St Unit 7H,San Francisco,CA,94105,920000,1,1.0,SF District 9,854,75406,2016,4,1077,1250,Active,,,https://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-7H/home/109465030,San Francisco MLS,424065285,N,Y,37.7887038,-122.3914964
MLS Listing,,Multi-Family (2-4 Unit),1836 - 1840 Broadway St,San Francisco,CA,94109,4500000,13,7.0,SF District 7,4308,2996,1909,4,1045,,Active,September-18-2024 04:30 PM,September-18-2024 07:00 PM,https://www.redfin.com/CA/San-Francisco/1836-Broadway-94109/unit-1840/home/169530231,San Francisco MLS,424065264,N,Y,37.7954144,-122.4279621
MLS Listing,,Multi-Family (2-4 Unit),1590 Washington St,San Francisco,CA,94109,2195000,7,3.5,SF District 8,3330,1598,1910,4,659,,Active,September-17-2024 09:00 AM,September-17-2024 11:00 AM,https://www.redfin.com/CA/San-Francisco/1590-Washington-St-94109/home/1382751,San Francisco MLS,424058382,N,Y,37.7936499,-122.4195029
MLS Listing,,Single Family Residential,464 Hoffman Ave,San Francisco,CA,94114,2795000,3,2.5,SF District 5,,3125,1946,4,,,Active,,,https://www.redfin.com/CA/San-Francisco/464-Hoffman-Ave-94114/home/798541,San Francisco MLS,424065583,N,Y,37.7498562,-122.4407484
MLS Listing,,Single Family Residential,280 Laguna Honda Blvd,San Francisco,CA,94116,1199000,2,1.0,SF District 4,1273,4525,1953,4,942,,Active,,,https://www.redfin.com/CA/San-Francisco/280-Laguna-Honda-Blvd-94116/home/1557539,San Francisco MLS,424064062,N,Y,37.7491893,-122.4602888
MLS Listing,,Condo/Co-op,3003 20th St,San Francisco,CA,94110,1095000,4,2.0,SF District 9,1300,2600,1900,4,842,465,Active,,,https://www.redfin.com/CA/San-Francisco/3003-20th-St-94110/home/175470267,San Francisco MLS,424059121,N,Y,37.7589626,-122.4108578
