SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5498 Shooting Star,Avila Beach,CA,93424,2650000,3,2.5,Avila Beach (320),2541,4815,2017,1,1043,157,Pre On-Market,,,https://www.redfin.com/CA/Avila-Beach/5498-Shooting-Star-Ln-93424/home/51667205,CRMLS,SC24192300,N,Y,35.199425,-120.732698
MLS Listing,,Single Family Residential,3757 Park Ridge Ln,San Luis Obispo,CA,93401,1595000,4,3.5,San Luis Obispo(380),2320,3738,2021,2,688,38,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/3757-Park-Ridge-Ln-93401/home/173195504,CRMLS,SC24192367,N,Y,35.2592912,-120.6361692
MLS Listing,,Multi-Family (2-4 Unit),1106 Oceanaire Dr,San Luis Obispo,CA,93401,659000,3,2.5,San Luis Obispo(380),1768,1768,1981,2,373,465,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/1106-Oceanaire-Dr-93405/home/40608599,CRMLS,SC24192118,N,Y,35.260855,-120.694193
MLS Listing,,Single Family Residential,1750 Diablo Dr,San Luis Obispo,CA,93405,1250000,3,3.0,San Luis Obispo(380),2239,8190,1978,2,558,,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/1750-Diablo-Dr-93405/home/51639743,CRMLS,SC24168138,N,Y,35.2648158,-120.7062086
MLS Listing,,Condo/Co-op,1106 Oceanaire Dr #43,San Luis Obispo,CA,93401,659000,3,2.5,San Luis Obispo(380),1768,1768,1981,2,373,465,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/1106-Oceanaire-Dr-93405/unit-43/home/49855392,CRMLS,SC24192109,N,Y,35.2609057,-120.6936659
MLS Listing,,Mobile/Manufactured Home,3860 S Higuera #136,San Luis Obispo,CA,93401,239000,2,2.0,Silver City,980,,1970,3,244,,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/3860-S-Higuera-St-93401/unit-136/home/49864496,CRMLS,SC24191918,N,Y,35.2490992,-120.6758039
MLS Listing,,Single Family Residential,3074 Lucca Ln,San Luis Obispo,CA,93401,1290000,3,2.5,San Luis Obispo(380),1935,4567,2018,5,667,76,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/3074-Lucca-Ln-93401/home/160667135,CRMLS,PI24156662,N,Y,35.2584103,-120.6623953
MLS Listing,,Single Family Residential,340 Graves Ave,San Luis Obispo,CA,93405,1395000,2,2.0,SLO - San Luis Obispo,962,6300,1950,5,1450,,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/340-Graves-Ave-93405/home/51638020,CRMLS,SC24181148,N,Y,35.2938545,-120.6516434
MLS Listing,,Single Family Residential,1118 Palm St,San Luis Obispo,CA,93401,1450000,4,1.5,San Luis Obispo(380),2068,12000,1898,6,701,,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/1118-Palm-St-93401/home/49817453,CRMLS,SC24187371,N,Y,35.2839083,-120.6605455
MLS Listing,,Mobile/Manufactured Home,274 Higuera St #16,San Luis Obispo,CA,93401,129950,1,1.0,Mathews Trailer Lodge,,,2024,6,,,Active,,,https://www.redfin.com/CA/San-Luis-Obispo/274-Higuera-St-93401/unit-16/home/192524227,CRMLS,WS24187040,N,Y,35.2719542,-120.6703062
