SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,26762 Claudette St #418,Canyon Country,CA,91351,509900,3,2.0,American Beauty Village (ABVL),1107,272166,1987,5,461,570,Active,,,https://www.redfin.com/CA/Canyon-Country/26762-Claudette-St-91351/unit-418/home/6019223,CRMLS,BB24187386,N,Y,34.4171967,-118.4911959
MLS Listing,,Single Family Residential,17050 Zion Dr,Canyon Country,CA,91387,859000,4,2.5,699 - Not Defined,2207,27817,2021,12,389,214,Active,,,https://www.redfin.com/CA/Canyon-Country/17050-Zion-Dr-91387/home/177978139,CRMLS,BB24182603,N,Y,34.4173354,-118.4319137
MLS Listing,,Condo/Co-op,24507 Town Center Dr #7118,Valencia,CA,91355,549900,2,2.0,Madison @ Town Center (MDSON),1090,161655,2003,40,504,500,Active,,,https://www.redfin.com/CA/Valencia/24507-Town-Center-Dr-91355/unit-7118/home/12292278,CRMLS,SR24153179,N,Y,34.4188686,-118.5629451
MLS Listing,,Single Family Residential,23814 Lanesboro Pl,Valencia,CA,91354,1150000,4,3.0,Traditions (TRAD),2508,5239,1993,67,459,54,Active,,,https://www.redfin.com/CA/Valencia/23814-Lanesboro-Pl-91354/home/5955731,CRMLS,SR24138370,N,Y,34.4340929,-118.5525028
MLS Listing,,Townhouse,26833 Shorebreak Ln #32,Valencia,CA,91355,770000,3,2.5,Waterford (WATRF),1844,22650,2001,90,418,475,Active,,,https://www.redfin.com/CA/Valencia/26833-Shorebreak-Ln-91355/unit-32/home/8114050,CRMLS,SR24123606,N,Y,34.4275009,-118.5462635
MLS Listing,,Single Family Residential,24658 Montevista Cir,Valencia,CA,91354,799000,3,2.5,Montevista (MONTV),1558,72992,2001,110,513,130,Active,,,https://www.redfin.com/CA/Valencia/24658-Montevista-Cir-91354/home/8117724,CRMLS,SR24109183,N,Y,34.4480385,-118.5669497
MLS Listing,,Single Family Residential,28737 Macklin Ave,Canyon Country,CA,91387,855000,4,3.0,Canyon Country 2,2108,9135,1966,144,406,50,Active,,,https://www.redfin.com/CA/Canyon-Country/28737-Macklin-Ave-91387/home/6025483,TheMLS,24-384103,N,Y,34.4299486,-118.4248011
MLS Listing,,Single Family Residential,27126 Cherry Laurel Pl,Canyon Country,CA,91387,995000,5,3.0,Mayfair@Fair Oaks (MFFO),3313,8586,2005,1,300,107,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Canyon-Country/27126-Cherry-Laurel-Pl-91387/home/8125297,CRMLS,PF24181778,N,Y,34.4069615,-118.4403829
MLS Listing,,Condo/Co-op,23845 Del Monte Dr #76,Valencia,CA,91355,535000,2,2.0,Valencia 1,910,532691,1986,1,588,372,Active,,,https://www.redfin.com/CA/Valencia/23845-Del-Monte-Dr-91355/unit-76/home/40388294,CSMAR,224003910,N,Y,34.4121222,-118.5534216
MLS Listing,,Single Family Residential,28017 Eddie Ln,Saugus,CA,91350,999000,7,2.5,Blackberry Briar (BLACK),3579,7758,2007,1,279,85,Active,,,https://www.redfin.com/CA/Santa-Clarita/28017-Eddie-Ln-91350/home/21922155,CRMLS,SR24192679,N,Y,34.4392927,-118.4948062
