SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,83 Placita De Oro #6,Santa Fe,NM,87501,499900,1,1.5,2-SF City Limits NW,1300,,1993,26,385,250,Active,,,https://www.redfin.com/NM/Santa-Fe/83-Placita-de-Oro-87501/unit-6/home/137972105,Santa Fe MLS,202403566,N,Y,35.6898096,-105.957085
MLS Listing,,Townhouse,1543 Escondida,Santa Fe,NM,87507,495200,3,2.0,4S-SF City Limit SWS,1281,4832,1991,54,387,,Active,,,https://www.redfin.com/NM/Santa-Fe/1543-Escondida-Ct-87507/home/99897160,Santa Fe MLS,202403040,N,Y,35.6530461,-105.9881087
MLS Listing,,Single Family Residential,11 Juego,Santa Fe,NM,87508,624900,3,2.0,14-Eldorado,1710,102212,1994,99,365,51,Active,,,https://www.redfin.com/NM/Santa-Fe/11-Juego-Rd-87508/home/99915384,Santa Fe MLS,202402282,N,Y,35.5340218,-105.8983181
MLS Listing,,Single Family Residential,6453 Cerros Grandes Dr,Santa Fe,NM,87507,480000,3,2.0,13-Airport Road Area,1305,4792,2004,1,368,,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/NM/Santa-Fe/6453-Cerros-Grandes-Dr-87507/home/138021099,Santa Fe MLS,202403902,N,Y,35.6222433,-106.0467157
MLS Listing,,Single Family Residential,420 Camino Don Miguel Unit 414 A AND B,Santa Fe,NM,87505,2450000,3,3.5,3N-SF City SE North,4036,15507,1946,1,607,,Active,,,https://www.redfin.com/NM/Santa-Fe/420-Camino-Don-Miguel-87505/unit-414-A-AND-B/home/192598083,Santa Fe MLS,202403971,N,Y,35.6778644,-105.9233689
MLS Listing,,Single Family Residential,2974 Senda Del Puerto,Santa Fe,NM,87505,745000,3,2.5,4S-SF City Limit SWS,2794,12196,1987,1,267,,Active,,,https://www.redfin.com/NM/Santa-Fe/2974-Senda-del-Puerto-87505/home/137859223,Santa Fe MLS,202403835,N,Y,35.6335436,-105.9757944
MLS Listing,,Multi-Family (2-4 Unit),414 A and B Camino Don Miguel Unit 414A/B,Santa Fe,NM,87505,1750000,,,3N-SF City SE North,1702,15594,1975,1,1028,,Active,,,https://www.redfin.com/NM/Santa-Fe/414-A-and-B-Camino-Don-Miguel-87505/unit-414A-B/home/192594452,Santa Fe MLS,202403965,N,Y,35.6771946,-105.9224341
MLS Listing,,Condo/Co-op,501 Rio Grande Ave Unit E5,Santa Fe,NM,87501,574500,2,2.0,1-SF City Limits NE,1329,,1991,1,432,440,Active,,,https://www.redfin.com/NM/Santa-Fe/501-Rio-Grande-Ave-87501/unit-E5/home/99892259,Santa Fe MLS,202403802,N,Y,35.69482,-105.94223
MLS Listing,,Single Family Residential,9 Cagua Rd,Santa Fe,NM,87508,989000,3,3.0,14-Eldorado,2940,65775,2002,1,336,51,Active,,,https://www.redfin.com/NM/Santa-Fe/9-Cagua-Rd-87508/home/99918192,Santa Fe MLS,202403252,N,Y,35.5215586,-105.9120388
MLS Listing,,Single Family Residential,13 Tesuque Vis,Santa Fe,NM,87506,1890000,2,2.5,15-Tesuque Area,2773,44649,2018,1,682,250,Active,,,https://www.redfin.com/NM/Santa-Fe/13-Tesuque-Vista-87506/home/113067171,Santa Fe MLS,202403963,N,Y,35.7366359,-105.9360045
