SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6268 Jarvis Rd,Sarasota,FL,34241,500000,3,2.0,LAKE SARASOTA,1364,10179,2001,3,367,,Active,,,https://www.redfin.com/FL/Sarasota/6268-Jarvis-Rd-34241/home/47698664,Stellar MLS as Distributed by MLS Grid,A4623064,N,Y,27.2917038,-82.4448852
MLS Listing,,Condo/Co-op,5591 Rosehill Rd #203,Sarasota,FL,34233,320000,2,2.0,ADMIRALS WALK,1316,,2002,18,243,552,Active,,,https://www.redfin.com/FL/Sarasota/5591-Rosehill-Rd-34233/unit-203/home/47598577,Stellar MLS as Distributed by MLS Grid,A4621586,N,Y,27.2711472,-82.4593921
MLS Listing,,Single Family Residential,8124 Glenbrooke Pl,Sarasota,FL,34243,411000,3,2.0,GLENBROOKE,1466,8233,1987,20,280,31,Active,,,https://www.redfin.com/FL/Sarasota/8124-Glenbrooke-Pl-34243/home/45966395,Stellar MLS as Distributed by MLS Grid,A4621571,N,Y,27.395885,-82.5017238
MLS Listing,,Single Family Residential,1720 Ingram Ave,Sarasota,FL,34232,429000,3,2.0,BAHIA VISTA HEIGHTS,1225,8020,1959,29,350,,Active,,,https://www.redfin.com/FL/Sarasota/1720-Ingram-Ave-34232/home/47634100,Stellar MLS as Distributed by MLS Grid,T3547106,N,Y,27.3176799,-82.4926146
MLS Listing,,Townhouse,1226 Grantham Dr,Sarasota,FL,34234,345000,3,2.5,BRADFORD MANOR TWNHMS,1758,1880,2019,39,196,285,Active,,,https://www.redfin.com/FL/Sarasota/1226-Grantham-Dr-34234/home/47606136,Stellar MLS as Distributed by MLS Grid,A4618815,N,Y,27.3709906,-82.5215637
MLS Listing,,Single Family Residential,12621 Promenade Ests,Sarasota,FL,34238,615000,4,3.0,PROMENADE ESTATES ON PALMER RANCH,2826,6672,2020,81,218,218,Active,,,https://www.redfin.com/FL/Sarasota/12621-Promenade-Estates-Blvd-34238/home/170361217,Stellar MLS as Distributed by MLS Grid,T3536924,N,Y,27.2021874,-82.4524774
MLS Listing,,Condo/Co-op,3987 Maceachen Blvd #123,Sarasota,FL,34233,275000,2,2.0,TREGATE EAST,978,,1978,1,281,571,Active,,,https://www.redfin.com/FL/Sarasota/3987-Maceachen-Blvd-34233/unit-123/home/47648998,Stellar MLS as Distributed by MLS Grid,A4623691,N,Y,27.2963702,-82.494184
MLS Listing,,Condo/Co-op,4973 Village Gardens Dr #50,Sarasota,FL,34234,229000,2,2.0,VILLAGE GARDENS PH 1,966,,1981,1,237,580,Active,,,https://www.redfin.com/FL/Sarasota/4973-Village-Gardens-Dr-34234/unit-50/home/47621136,Stellar MLS as Distributed by MLS Grid,A4623207,N,Y,27.3755251,-82.5456023
MLS Listing,,Single Family Residential,6619 Bowline Dr,Sarasota,FL,34231,375000,2,2.0,GULF GATE,1434,8030,1967,1,262,,Active,,,https://www.redfin.com/FL/Sarasota/6619-Bowline-Dr-34231/home/47666438,Stellar MLS as Distributed by MLS Grid,A4623208,N,Y,27.2599486,-82.5013912
MLS Listing,,Single Family Residential,2105 Leon Ave,Sarasota,FL,34234,225000,3,1.0,IRVINGTON HEIGHTS,840,8946,1960,1,268,,Active,,,https://www.redfin.com/FL/Sarasota/2105-Leon-Ave-34234/home/47824574,Stellar MLS as Distributed by MLS Grid,A4623678,N,Y,27.3558521,-82.5403669
