SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1516 Sunset Dr,Schaumburg,IL,60193,450000,4,2.5,Schaumburg,1282,20806,1958,5,351,,Active,,,https://www.redfin.com/IL/Schaumburg/1516-Sunset-Dr-60193/home/13710615,MRED as Distributed by MLS Grid,12160705,N,Y,41.9995058,-88.0698045
MLS Listing,,Single Family Residential,1034 S Cedarcrest Dr,Schaumburg,IL,60193,425000,3,2.0,Weathersfield South,1000,8738,1973,11,425,,Active,,,https://www.redfin.com/IL/Schaumburg/1034-S-Cedarcrest-Dr-60193/home/13717971,MRED as Distributed by MLS Grid,12138620,N,Y,42.0067703,-88.091871
MLS Listing,,Condo/Co-op,711 S Waterford Rd Unit 2D,Schaumburg,IL,60193,195000,1,1.0,Schaumburg,825,,1995,1,236,375,Active,,,https://www.redfin.com/IL/Schaumburg/711-Waterford-Rd-S-60193/unit-2D/home/13722066,MRED as Distributed by MLS Grid,12111761,N,Y,42.0140343,-88.0805331
MLS Listing,,Townhouse,17 Illinois Ave,Schaumburg,IL,60193,589900,3,3.5,Schaumburg,3014,1392,2004,3,196,368,Active,,,https://www.redfin.com/IL/Schaumburg/17-Illinois-Ave-60193/home/18919676,MRED as Distributed by MLS Grid,12159658,N,Y,42.0246236,-88.0787159
MLS Listing,,Townhouse,146 White Branch Ct Unit F146,Schaumburg,IL,60194,419900,2,2.5,Towne Place,1650,,1989,4,254,315,Active,,,https://www.redfin.com/IL/Schaumburg/146-White-Branch-Ct-N-60194/unit-F146/home/13733733,MRED as Distributed by MLS Grid,12163312,N,Y,42.029613,-88.137747
MLS Listing,,Single Family Residential,2104 Rose Ct,Schaumburg,IL,60194,539900,3,2.5,Sheffield Estates,1677,10890,1977,4,322,,Active,,,https://www.redfin.com/IL/Schaumburg/2104-Rose-Ct-60194/home/13733849,MRED as Distributed by MLS Grid,12163767,N,Y,42.0389941,-88.1305718
MLS Listing,,Single Family Residential,834 Eden Dr,Schaumburg,IL,60195,500000,4,2.0,Churchill,2000,,1971,4,250,,Active,,,https://www.redfin.com/IL/Schaumburg/834-Eden-Dr-60195/home/13743826,MRED as Distributed by MLS Grid,12163415,N,Y,42.0555592,-88.1016698
MLS Listing,,Condo/Co-op,226 Patuxet Ct #226,Schaumburg,IL,60194,289000,3,2.0,Schaumburg,,,1975,5,,224,Active,,,https://www.redfin.com/IL/Schaumburg/226-Patuxet-Ct-60194/unit-226/home/191502072,MRED as Distributed by MLS Grid,12129794,N,Y,42.0310299,-88.1079466
MLS Listing,,Single Family Residential,1337 Elgin Ln,Schaumburg,IL,60194,424500,4,2.5,Sheffield Park,1672,8537,1973,5,254,,Active,,,https://www.redfin.com/IL/Schaumburg/1337-Elgin-Ln-60194/home/13733033,MRED as Distributed by MLS Grid,12162613,N,Y,42.0283947,-88.1142998
MLS Listing,,Condo/Co-op,634 Bayview Pt,Schaumburg,IL,60193,300000,3,2.0,Dunbar Lakes,1400,,1975,5,214,348,Active,,,https://www.redfin.com/IL/Schaumburg/634-Bayview-Pt-60194/home/13727264,MRED as Distributed by MLS Grid,12162143,N,Y,42.0351621,-88.0634681
MLS Listing,,Condo/Co-op,1522 Commodore Ct #6,Schaumburg,IL,60193,299900,2,2.0,Glens of Schaumburg,1200,,1989,6,250,229,Active,,,https://www.redfin.com/IL/Schaumburg/1522-Commodore-Ct-60193/unit-6/home/13713177,MRED as Distributed by MLS Grid,12162053,N,Y,41.997121,-88.1214835
MLS Listing,,Condo/Co-op,351 Sandalwood Ln Unit C1,Schaumburg,IL,60193,249900,2,1.0,Lexington Green,1000,,1981,6,250,225,Active,,,https://www.redfin.com/IL/Schaumburg/351-Sandalwood-Ln-60193/unit-C1/home/181392362,MRED as Distributed by MLS Grid,12161476,N,Y,42.0222384,-88.041421
MLS Listing,,Townhouse,1269 Lakepointe Dr,Schaumburg,IL,60173,624990,3,2.5,Northgate at Veridian,1782,1000,2024,6,351,247,Active,,,https://www.redfin.com/IL/Schaumburg/1269-Lakepointe-Dr-60173/home/185200508,MRED as Distributed by MLS Grid,12161151,N,Y,42.068291,-88.048896
MLS Listing,,Townhouse,1257 Lakepointe Dr,Schaumburg,IL,60173,624990,3,3.5,Northgate at Veridian,1782,1000,2024,6,351,247,Active,September-17-2024 10:00 AM,September-17-2024 05:30 PM,https://www.redfin.com/IL/Schaumburg/1257-Lakepointe-Dr-60173/home/185200514,MRED as Distributed by MLS Grid,12161135,N,Y,42.068389,-88.049314
MLS Listing,,Townhouse,1265 Lakepointe Dr,Schaumburg,IL,60173,574990,3,2.5,Northgate at Veridian,1782,1000,2024,6,323,247,Active,,,https://www.redfin.com/IL/Schaumburg/1265-Lakepointe-Dr-60173/home/185200510,MRED as Distributed by MLS Grid,12161124,N,Y,42.068324,-88.049038
MLS Listing,,Townhouse,1766 Heron Ave,Schaumburg,IL,60193,265000,2,2.5,Briar Pointe,1400,,1997,6,189,210,Active,,,https://www.redfin.com/IL/Schaumburg/1766-Heron-Ave-60193/home/12808068,MRED as Distributed by MLS Grid,12161038,N,Y,41.9946643,-88.1237925
MLS Listing,,Condo/Co-op,388 Hunterdon Ct #388,Schaumburg,IL,60194,300000,2,2.5,Meribel,1300,,1994,7,231,163,Active,,,https://www.redfin.com/IL/Schaumburg/388-Hunterdon-Ct-60194/unit-388/home/192461211,MRED as Distributed by MLS Grid,12157778,N,Y,42.0315486,-88.1464826
MLS Listing,,Condo/Co-op,1460 Fairlane Dr #203,Schaumburg,IL,60193,176000,2,1.0,Schaumburg,900,,1976,7,196,358,Active,,,https://www.redfin.com/IL/Schaumburg/1460-Fairlane-Dr-60193/unit-203/home/13712191,MRED as Distributed by MLS Grid,12149326,N,Y,41.9989411,-88.1232154
MLS Listing,,Single Family Residential,2075 Hickory Ln,Schaumburg,IL,60195,459900,5,2.5,Schaumburg,1792,33976,1956,7,257,,Active,,,https://www.redfin.com/IL/Schaumburg/2075-Hickory-Ln-60195/home/13874563,MRED as Distributed by MLS Grid,12159864,N,Y,42.0746362,-88.0948663
MLS Listing,,Single Family Residential,341 New Mills Ct,Schaumburg,IL,60193,625000,5,3.5,Heritage,,,,7,,,Active,,,https://www.redfin.com/IL/Schaumburg/341-New-Mills-Ct-60193/home/13727995,MRED as Distributed by MLS Grid,12159840,N,Y,42.024114,-88.070766
