SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,19700 N 76th St #2175,Scottsdale,AZ,85255,599900,2,2.0,VILLAGE AT GRAYHAWK CONDOMINIUM PHASE 2,1843,181,2003,1,326,510,Pre On-Market,,,https://www.redfin.com/AZ/Scottsdale/19700-N-76th-St-85255/unit-2175/home/27761785,ARMLS,6758005,N,Y,33.665688,-111.916636
MLS Listing,,Townhouse,9191 E Hoverland Rd,Scottsdale,AZ,85255,1590000,2,2.5,DC RANCH PARCEL 2.8,2417,8475,2008,4,658,650,Active,,,https://www.redfin.com/AZ/Scottsdale/9191-E-Hoverland-Rd-85255/home/28346419,ARMLS,6756627,N,Y,33.6731445,-111.8823637
MLS Listing,,Single Family Residential,16325 N 106th Pl,Scottsdale,AZ,85255,910000,3,2.0,MCDOWELL MOUNTAIN RANCH PARCEL B,2130,7802,1999,4,427,42,Active,,,https://www.redfin.com/AZ/Scottsdale/16325-N-106th-Pl-85255/home/27619066,ARMLS,6753958,N,Y,33.6344249,-111.8518597
MLS Listing,,Single Family Residential,7039 E Virginia Ave,Scottsdale,AZ,85257,599900,3,2.0,CRAN BROOKE MANOR,980,6156,1955,67,612,,Active,,,https://www.redfin.com/AZ/Scottsdale/7039-E-Virginia-Ave-85257/home/26930334,ARMLS,6730150,N,Y,33.4768713,-111.9283917
MLS Listing,,Single Family Residential,10800 E Cactus Rd #13,Scottsdale,AZ,85259,1400000,5,4.5,CACTUS GATES,4192,28138,1989,101,334,120,Active,,,https://www.redfin.com/AZ/Scottsdale/10800-E-Cactus-Rd-85259/unit-13/home/27612740,ARMLS,6715161,N,Y,33.6004817,-111.8495796
MLS Listing,,Single Family Residential,5537 E Kelton Ln,Scottsdale,AZ,85254,875000,5,3.0,PARADISE VALLEY MIRADA 7,2740,11331,1986,116,319,,Active,,,https://www.redfin.com/AZ/Scottsdale/5537-E-Kelton-Ln-85254/home/27245098,ARMLS,6708152,N,Y,33.6380155,-111.9609091
MLS Listing,,Condo/Co-op,7777 E Main St #331,Scottsdale,AZ,85251,410000,2,2.0,SCOTTSDALE SPRINGS CONDOMINIUMS,1130,1102,1982,122,363,314,Active,,,https://www.redfin.com/AZ/Scottsdale/7777-E-Main-St-85251/unit-331/home/27165481,ARMLS,6706915,N,Y,33.4915076,-111.9138347
MLS Listing,,Townhouse,4825 N Miller Rd,Scottsdale,AZ,85251,549900,2,2.0,VILLA MONTEREY 3B,1440,3747,1963,136,382,49,Active,,,https://www.redfin.com/AZ/Scottsdale/4825-N-Miller-Rd-85251/home/27693773,ARMLS,6699187,N,Y,33.5071131,-111.9171888
MLS Listing,,Townhouse,7647 E Montecito Ave,Scottsdale,AZ,85251,443000,3,2.5,CASA GRANADA EAST TOWNHOUSES,1656,1764,1967,140,268,255,Active,,,https://www.redfin.com/AZ/Scottsdale/7647-E-Montecito-Ave-85251/home/27619942,ARMLS,6697074,N,Y,33.499117,-111.916195
MLS Listing,,Single Family Residential,5028 N Scottsdale Rd,Paradise Valley,AZ,85253,1399000,3,1.75,CAMELBACK PARK ESTATES,2388,9122,1974,144,586,,Active,,,https://www.redfin.com/AZ/Paradise-Valley/5028-N-Scottsdale-Rd-85253/home/27794659,ARMLS,6696525,N,Y,33.5107215,-111.9264839
MLS Listing,,Condo/Co-op,9455 E Purdue Ave #142,Scottsdale,AZ,85258,450000,2,2.0,VILLAGES FIVE PHASE C,1496,155,1994,180,301,330,Active,,,https://www.redfin.com/AZ/Scottsdale/9455-E-Purdue-Ave-85258/unit-142/home/28321221,ARMLS,6679853,N,Y,33.573771,-111.876918
MLS Listing,,Condo/Co-op,9450 E Becker Ln #1101,Scottsdale,AZ,85260,355000,2,2.0,AVENTURA CONDOMINIUM AMD,989,1008,1991,236,359,289,Active,,,https://www.redfin.com/AZ/Scottsdale/9450-E-Becker-Ln-85260/unit-1101/home/27514693,ARMLS,6654777,N,Y,33.584255,-111.877865
MLS Listing,,Single Family Residential,6311 E Monterosa St,Scottsdale,AZ,85251,1995000,4,3.0,PICKWICK ACRES,2287,10131,1956,1,872,,Active,,,https://www.redfin.com/AZ/Scottsdale/6311-E-Monterosa-St-85251/home/27334945,ARMLS,6757604,N,Y,33.4959134,-111.9444789
MLS Listing,,Condo/Co-op,15252 N 100th St #1138,Scottsdale,AZ,85260,325000,1,1.0,VILLAGES NORTH PHASE 3,895,98,1997,1,363,396,Active,,,https://www.redfin.com/AZ/Scottsdale/15252-N-100th-St-85260/unit-1138/home/28249438,ARMLS,6758110,N,Y,33.6254167,-111.8745116
MLS Listing,,Single Family Residential,9701 E Happy Valley Rd #10,Scottsdale,AZ,85255,6495000,5,4.5,The Peak,5745,193842,2024,1,1131,230,Active,September-22-2024 12:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/AZ/Scottsdale/9701-E-Happy-Valley-Rd-85255/unit-10/home/27572596,ARMLS,6758072,N,Y,33.7124578,-111.8719073
