SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8212 Ravenna Ave NE,Seattle,WA,98115,799900,3,1.0,Wedgwood,1130,6572,1952,2,708,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/8212-Ravenna-Ave-NE-98115/home/317370,NWMLS as Distributed by MLS Grid,2291230,N,Y,47.6888856,-122.3013466
MLS Listing,,Townhouse,212 24th Ave E,Seattle,WA,98112,725000,2,2.5,Madison Valley,1267,1,2000,4,572,1091,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/212-24th-Ave-E-98112/home/51167,NWMLS as Distributed by MLS Grid,2291020,N,Y,47.6206871,-122.3010008
MLS Listing,,Condo/Co-op,3022 63rd Ave SW #101,Seattle,WA,98116,524990,2,2.0,Alki,886,,1991,5,593,300,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/WA/Seattle/3022-63rd-Ave-SW-98116/unit-101/home/23504,NWMLS as Distributed by MLS Grid,2288581,N,Y,47.5776351,-122.4129719
MLS Listing,,Single Family Residential,6555 Seward Park Ave S,Seattle,WA,98118,1377500,4,3.0,Seward Park,3040,8172,2008,5,453,,Active,,,https://www.redfin.com/WA/Seattle/6555-Seward-Park-Ave-S-98118/home/18665727,NWMLS as Distributed by MLS Grid,2290809,N,Y,47.5426839,-122.2648204
MLS Listing,,Condo/Co-op,588 Bell St Unit 307S,Seattle,WA,98121,639500,1,1.0,Belltown,963,,2015,5,664,1072,Active,,,https://www.redfin.com/WA/Seattle/588-Bell-St-98121/unit-307S/home/106724176,NWMLS as Distributed by MLS Grid,2288592,N,Y,47.6166206,-122.342861
MLS Listing,,Townhouse,114 20th Ave Unit A,Seattle,WA,98211,775950,3,2.0,Central Area,1514,1076,2015,5,513,46,Active,September-21-2024 02:30 PM,September-21-2024 04:30 PM,https://www.redfin.com/WA/Seattle/114-20th-Ave-98122/unit-A/home/103466919,NWMLS as Distributed by MLS Grid,2290171,N,Y,47.602202,-122.3059644
MLS Listing,,Single Family Residential,4128 14th Ave S,Seattle,WA,98108,850000,3,3.0,Beacon Hill,1980,4106,1941,6,429,,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/WA/Seattle/4128-14th-Ave-S-98108/home/170227,NWMLS as Distributed by MLS Grid,2289756,N,Y,47.5663279,-122.3144517
MLS Listing,,Townhouse,3410 23rd Ave W Unit B,Seattle,WA,98199,815000,2,2.0,Magnolia,1395,797,2022,6,584,,Active,,,https://www.redfin.com/WA/Seattle/3410-23rd-Ave-W-98199/unit-B/home/179594638,NWMLS as Distributed by MLS Grid,2287584,N,Y,47.6507636,-122.3856057
MLS Listing,,Single Family Residential,5406 30th Ave SW,Seattle,WA,98126,599000,3,1.0,High Point,950,5750,1971,6,631,,Active,,,https://www.redfin.com/WA/Seattle/5406-30th-Ave-SW-98126/home/159306,NWMLS as Distributed by MLS Grid,2288636,N,Y,47.5534734,-122.3705547
MLS Listing,,Townhouse,1208 S Massachusetts St Unit A,Seattle,WA,98144,819000,3,3.5,N Beacon Hill,1500,1050,2007,6,546,,Active,,,https://www.redfin.com/WA/Seattle/1208-S-Massachusetts-St-98144/unit-A/home/18658635,NWMLS as Distributed by MLS Grid,2288409,N,Y,47.588593,-122.3167348
MLS Listing,,Townhouse,1561 Cherrylane Ave S,Seattle,WA,98144,570000,2,2.5,Seattle,1088,1,1997,11,524,580,Active,,,https://www.redfin.com/WA/Seattle/1561-Cherrylane-Ave-S-98144/home/179724261,NWMLS as Distributed by MLS Grid,2288044,N,Y,47.589297,-122.312734
MLS Listing,,Condo/Co-op,4343 Roosevelt Way NE #405,Seattle,WA,98105,595000,2,2.0,University District,1215,,1996,12,490,743,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/WA/Seattle/4343-Roosevelt-Way-NE-98105/unit-405/home/8764,NWMLS as Distributed by MLS Grid,2287206,N,Y,47.6606289,-122.3180337
MLS Listing,,Condo/Co-op,812 5th Ave N #305,Seattle,WA,98109,549000,2,2.0,Queen Anne,812,,2002,12,676,572,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/WA/Seattle/812-5th-Ave-N-98109/unit-305/home/22685402,NWMLS as Distributed by MLS Grid,2285970,N,Y,47.6268605,-122.3472478
MLS Listing,,Single Family Residential,2820 W Dravus St,Seattle,WA,98199,2495000,5,3.5,Magnolia,4370,6000,2008,12,571,,Active,,,https://www.redfin.com/WA/Seattle/2820-W-Dravus-St-98199/home/128816,NWMLS as Distributed by MLS Grid,2285037,N,Y,47.6488561,-122.3938594
MLS Listing,,Condo/Co-op,711 Belmont Pl E #303,Seattle,WA,98102,389000,1,1.0,Capitol Hill,711,,1928,13,547,606,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/711-Belmont-Pl-E-98102/unit-303/home/12424768,NWMLS as Distributed by MLS Grid,2287054,N,Y,47.6262376,-122.3246022
MLS Listing,,Condo/Co-op,235 13th Ave E #102,Seattle,WA,98102,560000,2,1.0,Broadway,864,,1986,13,648,451,Active,,,https://www.redfin.com/WA/Seattle/235-13th-Ave-E-98102/unit-102/home/1806,NWMLS as Distributed by MLS Grid,2285622,N,Y,47.6209365,-122.3160025
MLS Listing,,Condo/Co-op,5440 Leary Ave NW #512,Seattle,WA,98107,539000,1,1.0,Ballard,870,,2007,13,620,515,Active,,,https://www.redfin.com/WA/Seattle/5440-Leary-Ave-NW-98107/unit-512/home/191487826,NWMLS as Distributed by MLS Grid,2285934,N,Y,47.6676476,-122.3828727
MLS Listing,,Single Family Residential,2539 56th Ave SW,Seattle,WA,98116,1424000,5,3.5,Alki,2850,2813,2014,13,500,,Active,,,https://www.redfin.com/WA/Seattle/2539-56th-Ave-SW-98116/home/150360,NWMLS as Distributed by MLS Grid,2287228,N,Y,47.5805354,-122.4042706
MLS Listing,,Single Family Residential,6610 Corson Ave S,Seattle,WA,98108,899000,3,2.5,Georgetown,2070,1639,2018,13,434,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/6610-Corson-Ave-S-98108/home/161030233,NWMLS as Distributed by MLS Grid,2286699,N,Y,47.5440092,-122.3222936
MLS Listing,,Single Family Residential,307 W Highland Dr,Seattle,WA,98119,2985000,4,2.5,Queen Anne,4120,4881,1928,13,725,,Active,,,https://www.redfin.com/WA/Seattle/307-W-Highland-Dr-98119/home/133569,NWMLS as Distributed by MLS Grid,2282628,N,Y,47.6293551,-122.3609763
MLS Listing,,Single Family Residential,12730 3rd Ave NW,Seattle,WA,98177,1349950,4,3.0,Broadview,3220,8160,1949,14,419,,Active,,,https://www.redfin.com/WA/Seattle/12730-3rd-Ave-NW-98177/home/96818,NWMLS as Distributed by MLS Grid,2286048,N,Y,47.7222529,-122.360636
MLS Listing,,Single Family Residential,7740 10th Ave NW,Seattle,WA,98117,837000,2,1.0,Seattle,930,4480,1939,14,900,,Active,,,https://www.redfin.com/WA/Seattle/7740-10th-Ave-NW-98117/home/497295,NWMLS as Distributed by MLS Grid,2283258,N,Y,47.6863236,-122.3690827
MLS Listing,,Single Family Residential,9816 Linden Ave N,Seattle,WA,98103,785000,3,2.0,Greenwood,1060,7150,1949,17,741,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/9816-Linden-Ave-N-98103/home/99664,NWMLS as Distributed by MLS Grid,2257502,N,Y,47.701087,-122.3470616
MLS Listing,,Condo/Co-op,2504 Western Ave #221,Seattle,WA,98121,299000,0,1.0,Belltown,525,,1998,19,570,408,Active,,,https://www.redfin.com/WA/Seattle/2504-Western-Ave-98121/unit-221/home/104019267,NWMLS as Distributed by MLS Grid,2282192,N,Y,47.6142816,-122.3497861
MLS Listing,,Condo/Co-op,4444 44th Ave SW #101,Seattle,WA,98116,490000,2,2.0,West Seattle,1129,,1975,21,434,669,Active,,,https://www.redfin.com/WA/Seattle/4444-44th-Ave-SW-98116/unit-101/home/42231,NWMLS as Distributed by MLS Grid,2277728,N,Y,47.5632801,-122.387755
MLS Listing,,Condo/Co-op,108 5th Ave S #512,Seattle,WA,98104,328500,0,1.0,International District,512,,2001,22,642,440,Active,,,https://www.redfin.com/WA/Seattle/108-5th-Ave-S-98104/unit-512/home/12090927,NWMLS as Distributed by MLS Grid,2282805,N,Y,47.6013297,-122.3272284
MLS Listing,,Condo/Co-op,4026 Stone Way N #403,Seattle,WA,98103,585000,2,2.0,Fremont,814,,2001,26,719,593,Active,,,https://www.redfin.com/WA/Seattle/4026-Stone-Way-N-98103/unit-403/home/49001,NWMLS as Distributed by MLS Grid,2278733,N,Y,47.6562218,-122.3420838
MLS Listing,,Single Family Residential,2251 14th Ave W Unit A,Seattle,WA,98119,875000,3,2.5,Queen Anne,1700,1227,2015,26,515,305,Active,,,https://www.redfin.com/WA/Seattle/2251-14th-Ave-W-98119/unit-A/home/101611546,NWMLS as Distributed by MLS Grid,2280740,N,Y,47.6401374,-122.3753533
MLS Listing,,Single Family Residential,6905 39th Ave SW,Seattle,WA,98136,799500,4,2.5,Gatewood,3010,3823,1929,27,266,,Active,,,https://www.redfin.com/WA/Seattle/6905-39th-Ave-SW-98136/home/469418,NWMLS as Distributed by MLS Grid,2271268,N,Y,47.5409753,-122.3822
MLS Listing,,Condo/Co-op,1408 12th Ave #405,Seattle,WA,98122,574900,1,1.0,Capitol Hill,795,,2007,27,723,700,Active,,,https://www.redfin.com/WA/Seattle/1408-12th-Ave-98122/unit-405/home/12538535,NWMLS as Distributed by MLS Grid,2280906,N,Y,47.6130989,-122.3165619
MLS Listing,,Condo/Co-op,5650 24th Ave NW #210,Seattle,WA,98107,485000,1,1.0,Ballard,744,,2007,27,652,600,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/WA/Seattle/5650-24th-Ave-NW-98107/unit-210/home/12448304,NWMLS as Distributed by MLS Grid,2280099,N,Y,47.6698021,-122.3871937
MLS Listing,,Townhouse,1074 SW 97th St,Seattle,WA,98106,759950,4,3.5,White Center,2420,2447,2019,28,314,292,Active,,,https://www.redfin.com/WA/Seattle/1074-SW-97th-St-98106/home/163848576,NWMLS as Distributed by MLS Grid,2280359,N,Y,47.5163465,-122.34891
MLS Listing,,Single Family Residential,303 29th Ave,Seattle,WA,98122,1599950,5,4.5,Leschi,5370,5220,1913,29,298,,Active,,,https://www.redfin.com/WA/Seattle/303-29th-Ave-98122/home/149048,NWMLS as Distributed by MLS Grid,2279908,N,Y,47.6043533,-122.2952785
MLS Listing,,Single Family Residential,830 16th Ave Unit A,Seattle,WA,98122,1275000,3,3.5,Central Area,1760,1881,2017,33,724,,Active,,,https://www.redfin.com/WA/Seattle/830-16th-Ave-98122/unit-A/home/143336,NWMLS as Distributed by MLS Grid,2278634,N,Y,47.6101223,-122.3113683
MLS Listing,,Single Family Residential,8221 S 118th Ct,Seattle,WA,98178,1075000,4,3.5,Seattle,2750,3397,2018,34,391,71,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WA/Seattle/8221-S-118th-Ct-98178/home/113996305,NWMLS as Distributed by MLS Grid,2276843,N,Y,47.4965012,-122.2296969
MLS Listing,,Condo/Co-op,700 Crockett St #303,Seattle,WA,98109,785000,2,2.0,Queen Anne,1211,,1984,35,648,650,Active,,,https://www.redfin.com/WA/Seattle/700-Crockett-St-98109/unit-303/home/191480680,NWMLS as Distributed by MLS Grid,2277413,N,Y,47.6377999,-122.3443015
MLS Listing,,Single Family Residential,2204 12th Ave W Unit B,Seattle,WA,98119,1350000,3,3.5,Queen Anne,2180,1623,2019,36,619,270,Active,,,https://www.redfin.com/WA/Seattle/2204-12th-Ave-W-98119/unit-B/home/171917024,NWMLS as Distributed by MLS Grid,2275186,N,Y,47.6388569,-122.3722765
MLS Listing,,Condo/Co-op,530 Broadway E #121,Seattle,WA,98102,649950,1,1.5,Broadway,913,,2007,39,712,727,Active,,,https://www.redfin.com/WA/Seattle/530-Broadway-E-98102/unit-121/home/21616765,NWMLS as Distributed by MLS Grid,2276005,N,Y,47.623758,-122.3207688
