SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2213 Fleeter Pl,Silver Spring,MD,20902,610000,3,3.0,LEESBOROUGH,2400,1220,2011,1,254,105,Pre On-Market,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/MD/Silver-Spring/2213-Fleeter-Pl-20902/home/23460472,BRIGHT MLS,MDMC2134198,N,Y,39.0459922,-77.0513586
MLS Listing,,Single Family Residential,9 Winding Waye Ct,Silver Spring,MD,20902,639000,5,2.5,GLENFIELD MANOR,2520,13298,1970,1,254,,Pre On-Market,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/MD/Silver-Spring/9-Winding-Waye-Ct-20902/home/11086715,BRIGHT MLS,MDMC2148204,N,Y,39.0618542,-77.0366603
MLS Listing,,Single Family Residential,3116 Helsel Dr,Silver Spring,MD,20906,475000,3,2.5,GEORGIAN FOREST,1850,11245,1958,5,257,,Pre On-Market,,,https://www.redfin.com/MD/Silver-Spring/3116-Helsel-Dr-20906/home/11071824,BRIGHT MLS,MDMC2147730,N,Y,39.0737658,-77.0636125
MLS Listing,,Single Family Residential,2912 Collins Ave,Silver Spring,MD,20902,549999,4,2.0,WHEATON HILLS,1828,6440,1949,6,301,,Active,,,https://www.redfin.com/MD/Silver-Spring/2912-Collins-Ave-20902/home/11007719,BRIGHT MLS,MDMC2147458,N,Y,39.0461516,-77.0611092
MLS Listing,,Condo/Co-op,9039 Sligo Creek Pkwy #815,Silver Spring,MD,20901,225000,1,1.0,PARKSIDE PLAZA CODM,872,,1965,6,258,667,Active,,,https://www.redfin.com/MD/Silver-Spring/9039-Sligo-Creek-Pkwy-20901/unit-815/home/11114127,BRIGHT MLS,MDMC2145956,N,Y,39.0041936,-77.0136105
MLS Listing,,Condo/Co-op,15107 Interlachen Dr Unit 2-1008,Silver Spring,MD,20906,264900,2,2.0,THE GRNS AT LEISURE WRLD,1120,,1984,7,237,884,Pre On-Market,,,https://www.redfin.com/MD/Silver-Spring/15107-Interlachen-Dr-20906/unit-2-1008/home/11128467,BRIGHT MLS,MDMC2145928,N,Y,39.1060077,-77.0682045
MLS Listing,,Condo/Co-op,2206 Colston Dr #103,Silver Spring,MD,20910,240000,1,1.0,ROCK CREEK APTS CODM 1,709,,1948,34,339,555,Active,,,https://www.redfin.com/MD/Silver-Spring/2206-Colston-Dr-20910/unit-103/home/143329928,BRIGHT MLS,MDMC2142792,N,Y,38.9941698,-77.0475188
MLS Listing,,Single Family Residential,3316 Estelle Ter,Silver Spring,MD,20906,585000,5,3.0,GREENWOOD KNOLLS,1744,6478,1960,1,335,,Active,,,https://www.redfin.com/MD/Silver-Spring/3316-Estelle-Ter-20906/home/11045761,BRIGHT MLS,MDMC2146126,N,Y,39.0708926,-77.0646888
MLS Listing,,Condo/Co-op,1900 Lyttonsville Rd #605,Silver Spring,MD,20910,189000,1,1.0,PARK SUTTON,768,,1964,1,246,637,Active,,,https://www.redfin.com/MD/Silver-Spring/1900-Lyttonsville-Rd-20910/unit-605/home/11107375,BRIGHT MLS,MDMC2142244,N,Y,39.0013157,-77.0411734
MLS Listing,,Condo/Co-op,9039 Sligo Creek Pkwy #1102,Silver Spring,MD,20901,297000,2,1.0,PARKSIDE PLAZA CODM,1172,,1965,1,253,895,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/MD/Silver-Spring/9039-Sligo-Creek-Pkwy-20901/unit-1102/home/11114224,BRIGHT MLS,MDMC2147404,N,Y,39.0041936,-77.0136105
MLS Listing,,Condo/Co-op,2250 Washington Ave Unit 102-W,Silver Spring,MD,20910,315000,2,1.0,ROCK CREEK GARDENS,824,,1948,1,382,464,Pre On-Market,,,https://www.redfin.com/MD/Silver-Spring/2250-Washington-Ave-20910/unit-102-W/home/192582217,BRIGHT MLS,MDMC2145800,N,Y,38.9924171,-77.0477304
