SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2200 S Hawthorne Ave,Sioux Falls,SD,57105-3511,215000,3,1.0,Pettigrew & Tate 4th,1102,6068,1946,1,195,,Active,September-20-2024 04:00 PM,September-20-2024 05:00 PM,https://www.redfin.com/SD/Sioux-Falls/2200-S-Hawthorne-Ave-57105/home/136106278,REALTOR® Association of the Sioux Empire,22406738,N,Y,43.5256504,-96.7484317
MLS Listing,,Condo/Co-op,2501 S Kiwanis Ave #301,Sioux Falls,SD,57105,182400,2,2.0,Country Club Hills Tract,1077,2178,1972,1,169,407,Active,,,https://www.redfin.com/SD/Sioux-Falls/2501-S-Kiwanis-Ave-57105/unit-301/home/136403230,REALTOR® Association of the Sioux Empire,22406858,N,Y,43.5228546,-96.761409
MLS Listing,,Townhouse,108 N Bryggen Pl,Sioux Falls,SD,57107,685000,3,2.5,Cherry Lake Reserve,2680,7470,2024,1,256,158,Active,,,https://www.redfin.com/SD/Sioux-Falls/108-N-Bryggen-Pl-57107/home/192595534,REALTOR® Association of the Sioux Empire,22406855,N,Y,43.5464569,-96.831325
MLS Listing,,Townhouse,4109 W Newcomb Dr,Sioux Falls,SD,57106,324900,4,3.0,River Run Addn,2084,9387,2002,1,156,,Active,,,https://www.redfin.com/SD/Sioux-Falls/4109-W-Newcomb-Dr-57106/home/136741139,REALTOR® Association of the Sioux Empire,22406846,N,Y,43.5390233,-96.7731146
MLS Listing,,Townhouse,1201 E 61st St,Sioux Falls,SD,57108,292000,2,2.0,Bradfelt Park Estate,1695,9670,1997,1,172,,Active,,,https://www.redfin.com/SD/Sioux-Falls/1201-E-61st-St-57108/home/165694715,REALTOR® Association of the Sioux Empire,22406845,N,Y,43.4958104,-96.7073122
MLS Listing,,Single Family Residential,5612 W Dardanella Rd,Sioux Falls,SD,57106,314900,3,2.0,Silver Valley 3rd,1743,8250,1984,1,181,,Active,,,https://www.redfin.com/SD/Sioux-Falls/5612-W-Dardanella-Rd-57106/home/136405755,REALTOR® Association of the Sioux Empire,22406843,N,Y,43.5374847,-96.7953982
MLS Listing,,Single Family Residential,2017 S Fox Trl,Sioux Falls,SD,57103,290000,3,2.0,Huntington Hills Add,1827,9433,1982,1,159,,Active,,,https://www.redfin.com/SD/Sioux-Falls/2017-S-Fox-Trl-57103/home/136673497,REALTOR® Association of the Sioux Empire,22406842,N,Y,43.526474,-96.6804004
MLS Listing,,Single Family Residential,1312 S Blauvelt Ave,Sioux Falls,SD,57105,285000,3,1.0,Riverdale 2nd Addn,1092,7920,1956,1,261,,Active,September-22-2024 03:30 PM,September-22-2024 04:30 PM,https://www.redfin.com/SD/Sioux-Falls/1312-S-Blauvelt-Ave-57105/home/136741106,REALTOR® Association of the Sioux Empire,22406841,N,Y,43.5341715,-96.706069
MLS Listing,,Townhouse,3612 S Chalice Pl,Sioux Falls,SD,57106,309025,3,2.5,41Ellis Addition to the City of Sioux Falls,1657,,2024,1,186,115,Active,,,https://www.redfin.com/SD/Sioux-Falls/3612-CHALICE-Pl-57106/home/192594243,REALTOR® Association of the Sioux Empire,22406840,N,Y,43.5138771,-96.838195
MLS Listing,,Townhouse,3610 S Chalice Pl,Sioux Falls,SD,57106,329025,3,2.5,41Ellis Addition to the City of Sioux Falls,1657,,2024,1,199,115,Active,,,https://www.redfin.com/SD/Sioux-Falls/3610-CHALICE-Pl-57106/home/192594109,REALTOR® Association of the Sioux Empire,22406839,N,Y,43.5138771,-96.838195
MLS Listing,,Single Family Residential,117 N Autumnwood Ct,Sioux Falls,SD,57110,1175000,4,2.5,MYSTIC CREEK ADDITION TO THE CITY OF SIOUX FALLS,3648,19127,2017,1,322,,Active,,,https://www.redfin.com/SD/Sioux-Falls/117-N-Autumnwood-Ct-57110/home/171322679,REALTOR® Association of the Sioux Empire,22406838,N,Y,43.5478181,-96.6367647
MLS Listing,,Townhouse,5807 W Yukon Trl,Sioux Falls,SD,57107,310000,2,2.0,Hazeltine Addn,1385,5489,2014,1,224,140,Active,,,https://www.redfin.com/SD/Sioux-Falls/5807-W-Yukon-Trl-57107/home/143349523,REALTOR® Association of the Sioux Empire,22406836,N,Y,43.5909146,-96.7936046
MLS Listing,,Single Family Residential,7900 S Grass Creek Dr,Sioux Falls,SD,57108,525000,5,3.0,Cinnamon Ridge Addn,2762,9964,2010,1,190,,Active,September-22-2024 03:30 PM,September-22-2024 04:30 PM,https://www.redfin.com/SD/Sioux-Falls/7900-S-Grass-Creek-Dr-57108/home/165698677,REALTOR® Association of the Sioux Empire,22406833,N,Y,43.4733093,-96.7624907
MLS Listing,,Townhouse,8032 E Tencate Pl,Sioux Falls,SD,57110,310425,3,2.5,Tencate Addition an Addition to the City of Sioux Falls,1657,,2024,1,187,110,Active,,,https://www.redfin.com/SD/Sioux-Falls/8032-E-Tencate-Pl-57110/home/192392244,REALTOR® Association of the Sioux Empire,22406832,N,Y,43.5135878,-96.625354
MLS Listing,,Townhouse,8034 E Tencate Pl,Sioux Falls,SD,57110,310425,3,2.5,Tencate Addition an Addition to the City of Sioux Falls,1657,,2024,1,187,110,Active,,,https://www.redfin.com/SD/Sioux-Falls/8034-E-Tencate-Pl-57110/home/192591684,REALTOR® Association of the Sioux Empire,22406831,N,Y,43.5135878,-96.625354
MLS Listing,,Townhouse,8036 E Tencate Pl,Sioux Falls,SD,57110,310425,3,2.5,Tencate Addition an Addition to the City of Sioux Falls,1657,,2024,1,187,110,Active,,,https://www.redfin.com/SD/Sioux-Falls/8036-E-Tencate-Pl-57110/home/192591655,REALTOR® Association of the Sioux Empire,22406830,N,Y,43.5135878,-96.625354
