SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,9 N Euclid Ave #411,St Louis,MO,63108,365000,1,1.0,Park East Lofts,850,,2009,4,429,408,Active,,,https://www.redfin.com/MO/Saint-Louis/9-N-Euclid-Ave-63108/unit-411/home/62748239,MARIS as Distributed by MLS Grid,24058290,N,Y,38.6407682,-90.2622445
MLS Listing,,Single Family Residential,11854 E Concord Rd,St Louis,MO,63128,349000,3,2.0,Valley Crest Sec 1,1629,25082,1955,40,214,,Active,,,https://www.redfin.com/MO/Saint-Louis/11854-E-Concord-Rd-63128/home/93593041,MARIS as Distributed by MLS Grid,24048452,N,Y,38.5156317,-90.3573128
MLS Listing,,Multi-Family (2-4 Unit),3314 Itaska St,St Louis,MO,63111,272000,5,2.0,Benton Sub,2508,2500,1922,59,108,,Active,,,https://www.redfin.com/MO/Saint-Louis/3314-Itaska-St-63111/home/93707383,MARIS as Distributed by MLS Grid,24038498,N,Y,38.5718109,-90.2444444
MLS Listing,,Condo/Co-op,6026 Waterman Blvd Unit 1W,St Louis,MO,63112,186000,2,1.0,Washington Heights Add,1214,,1913,67,153,300,Active,,,https://www.redfin.com/MO/Saint-Louis/6026-Waterman-Blvd-63112/unit-1W/home/93760517,MARIS as Distributed by MLS Grid,24043211,N,Y,38.6501482,-90.2954129
MLS Listing,,Condo/Co-op,1136 Washington Ave #308,St Louis,MO,63101,119900,1,1.0,Meridian,967,,1898,98,124,319,Active,,,https://www.redfin.com/MO/St-Louis/1136-Washington-Ave-63101/unit-308/home/191605454,MARIS as Distributed by MLS Grid,24021498,N,Y,38.6314347,-90.1964097
MLS Listing,,Condo/Co-op,1113 Washington Ave #216,St Louis,MO,63101,160000,2,1.0,Lucas Hunt Add,1516,26589,1896,108,106,422,Active,,,https://www.redfin.com/MO/Saint-Louis/1113-Washington-Ave-63101/unit-216/home/93676790,MARIS as Distributed by MLS Grid,24033175,N,Y,38.6318771,-90.1956351
MLS Listing,,Condo/Co-op,901 Washington Ave #510,St Louis,MO,63101,169000,1,1.5,Bankers Lofts,1365,,1893,220,124,419,Active,,,https://www.redfin.com/MO/Saint-Louis/901-Washington-Ave-63101/unit-510/home/93674992,MARIS as Distributed by MLS Grid,24005439,N,Y,38.6310871,-90.1929273
MLS Listing,,Single Family Residential,2225 Mcnair Ave,St Louis,MO,63104,465000,4,3.0,Kingsbury Add,2733,2435,1880,1,170,,Active,,,https://www.redfin.com/MO/Saint-Louis/2225-McNair-Ave-63104/home/62696064,MARIS as Distributed by MLS Grid,24058755,N,Y,38.6081379,-90.217974
MLS Listing,,Condo/Co-op,4444 Kerth Circle Xing,St Louis,MO,63128,349900,2,2.0,Villas At Kerth Crossing The,1424,3049,2003,1,246,200,Pre On-Market,,,https://www.redfin.com/MO/Saint-Louis/4444-Kerth-Circle-Xing-63128/home/93319289,MARIS as Distributed by MLS Grid,24059033,N,Y,38.4893119,-90.359337
MLS Listing,,Single Family Residential,4728 Groveton Way,St Louis,MO,63128,270000,3,2.0,Towne South Estates 4,1637,10241,1971,1,165,,Pre On-Market,,,https://www.redfin.com/MO/Saint-Louis/4728-Groveton-Way-63128/home/93616426,MARIS as Distributed by MLS Grid,24058516,N,Y,38.4809666,-90.3746331
