SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,65 Glenbrook Rd Apt 5E,Stamford,CT,06902,349000,2,2.0,Glenbrook,1336,,1964,1,261,621,Active,,,https://www.redfin.com/CT/Stamford/65-Glenbrook-Rd-06902/unit-5E/home/107111979,Smart MLS,24046372,N,Y,41.0574744,-73.5283016
MLS Listing,,Condo/Co-op,65 Glenbrook Rd Apt 2F,Stamford,CT,06902,364500,2,2.0,Mid City,1336,,1964,59,273,621,Active,,,https://www.redfin.com/CT/Stamford/65-Glenbrook-Rd-06902/unit-2F/home/107083464,Smart MLS,24033427,N,Y,41.0574744,-73.5283016
MLS Listing,,Single Family Residential,120 Little Hill Dr,Stamford,CT,06905,719000,3,1.5,Newfield,1848,17859,1956,1,389,,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/CT/Stamford/120-Little-Hill-Dr-06905/home/107095130,Smart MLS,24045897,N,Y,41.0949336,-73.5463224
MLS Listing,,Condo/Co-op,850 E Main St Apt 515,Stamford,CT,06902,499000,2,2.0,Mid City,1240,,2008,1,402,554,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/CT/Stamford/850-E-Main-St-06902/unit-515/home/107090340,Smart MLS,24046362,N,Y,41.0559372,-73.5266726
MLS Listing,,Single Family Residential,15 Deacon Hill Rd,Stamford,CT,06905,795000,3,1.5,Westover,1876,11325,1941,1,424,,Pre On-Market,,,https://www.redfin.com/CT/Stamford/15-Deacon-Hill-Rd-06905/home/107091231,Smart MLS,24045840,N,Y,41.0829456,-73.55212
MLS Listing,,Single Family Residential,24 Hunting Ridge Rd,Brookfield,CT,06903,1295000,5,4.5,Brookfield,4639,44431,2021,1,279,,Active,,,https://www.redfin.com/CT/Stamford/24-Hunting-Ridge-Rd-06903/home/107092741,Smart MLS,24047040,N,Y,41.1269203,-73.5751708
MLS Listing,,Single Family Residential,128 Fairview Ave,Stamford,CT,06902,2800000,4,4.5,Shippan,4800,15681,2004,1,583,,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/CT/Stamford/128-Fairview-Ave-06902/home/107115439,Smart MLS,24046287,N,Y,41.0255023,-73.5244056
MLS Listing,,Condo/Co-op,32 Weed Hill Ave Unit R,Stamford,CT,06907,549000,3,1.5,Springdale,2616,,1969,2,210,464,Active,,,https://www.redfin.com/CT/Stamford/32-Weed-Hill-Ave-06907/unit-R/home/107095418,Smart MLS,24038647,N,Y,41.0971066,-73.5219032
MLS Listing,,Single Family Residential,386 June Rd,Stamford,CT,06903,1699000,3,4.0,North Stamford,3228,178595,1957,3,526,,Active,,,https://www.redfin.com/CT/Stamford/386-June-Rd-06903/home/107086912,Smart MLS,24045503,N,Y,41.1080252,-73.6006802
MLS Listing,,Single Family Residential,83 Dunn Ave,Stamford,CT,06905,800000,3,2.5,Mid-Ridges,3711,8712,1954,3,216,,Active,,,https://www.redfin.com/CT/Stamford/83-Dunn-Ave-06905/home/107112878,Smart MLS,24045884,N,Y,41.1062254,-73.5501875
MLS Listing,,Single Family Residential,11 Woodledge Rd,Stamford,CT,06907,659000,3,2.0,Springdale,1300,8276,1930,3,507,,Active,,,https://www.redfin.com/CT/Stamford/11-Woodledge-Rd-06907/home/107089040,Smart MLS,24046174,N,Y,41.0920221,-73.5219224
MLS Listing,,Single Family Residential,41 Chatfield St,Stamford,CT,06907,630000,2,1.5,Newfield,1652,6098,1920,3,381,,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CT/Stamford/41-Chatfield-St-06907/home/107103157,Smart MLS,24046327,N,Y,41.0841059,-73.5215658
MLS Listing,,Condo/Co-op,255 Strawberry Hill Ave Unit F2,Stamford,CT,06902,399000,2,1.0,Mid City,1169,,1977,3,341,323,Active,,,https://www.redfin.com/CT/Stamford/255-Strawberry-Hill-Ave-06902/unit-F2/home/107111321,Smart MLS,24046499,N,Y,41.0691294,-73.5337834
MLS Listing,,Single Family Residential,107 June Rd,Stamford,CT,06903,3000000,3,2.5,Stamford,2758,210830,1928,3,1088,,Active,,,https://www.redfin.com/CT/Stamford/107-June-Rd-06903/home/107100297,Smart MLS,24046730,N,Y,41.1054369,-73.5911158
MLS Listing,,Single Family Residential,146 Mayapple Rd,Stamford,CT,06903,649000,3,3.0,High Ridge,3236,94089,1941,3,201,,Active,,,https://www.redfin.com/CT/Stamford/146-Mayapple-Rd-06903/home/107109651,Smart MLS,24046690,N,Y,41.1668197,-73.5689598
MLS Listing,,Condo/Co-op,429 Sylvan Knoll Rd,Stamford,CT,06902,344900,2,1.0,Cove,1100,,1950,3,314,667,Pre On-Market,,,https://www.redfin.com/CT/Stamford/429-Sylvan-Knoll-Rd-06902/home/144521431,Smart MLS,24046698,N,Y,41.0523397,-73.5119641
MLS Listing,,Single Family Residential,29 Lawton Ave,Stamford,CT,06907,799000,3,2.5,Springdale,2144,12196,1950,3,373,,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CT/Stamford/29-Lawton-Ave-06907/home/107082373,Smart MLS,24046701,N,Y,41.091065,-73.5214444
MLS Listing,,Single Family Residential,52 Kane Ave,Stamford,CT,06905,979000,5,3.0,Newfield,2733,12632,1946,3,358,,Active,,,https://www.redfin.com/CT/Stamford/52-Kane-Ave-06905/home/107114112,Smart MLS,24045516,N,Y,41.1034281,-73.5445509
MLS Listing,,Single Family Residential,102 Sutton Dr E,Stamford,CT,06906,574900,3,1.0,Glenbrook,1080,7405,1940,3,532,,Active,,,https://www.redfin.com/CT/Stamford/102-Sutton-Dr-E-06906/home/107097311,Smart MLS,24046418,N,Y,41.0649814,-73.515806
MLS Listing,,Single Family Residential,,Stamford,CT,06905,725000,3,1.5,,2361,11761,1958,3,307,,Active,,,https://www.redfin.com/CT/Stamford/Undisclosed-address-06905/home/107090220,Smart MLS,24041296,N,Y,41.09331,-73.5443899
MLS Listing,,Single Family Residential,21 Van Buskirk Ave,Stamford,CT,06902,549000,4,2.0,Cove,1332,4791,1950,3,412,,Pre On-Market,September-20-2024 12:00 PM,September-20-2024 02:00 PM,https://www.redfin.com/CT/Stamford/21-Van-Buskirk-Ave-06902/home/107106414,Smart MLS,24043949,N,Y,41.0488781,-73.5181187
MLS Listing,,Single Family Residential,92 Hemlock Dr,Stamford,CT,06902,739000,3,2.0,Westover,1568,23522,1960,4,471,,Active,,,https://www.redfin.com/CT/Stamford/92-Hemlock-Dr-06902/home/107095993,Smart MLS,24044011,N,Y,41.0739633,-73.5598987
MLS Listing,,Single Family Residential,122 Woodbury Ave,Stamford,CT,06907,689000,4,2.0,Springdale,1998,8276,1976,4,345,,Active,,,https://www.redfin.com/CT/Stamford/122-Woodbury-Ave-06907/home/107108029,Smart MLS,24045579,N,Y,41.0897099,-73.5245109
MLS Listing,,Condo/Co-op,217 Bridge St Unit F6,Stamford,CT,06905,525000,2,2.0,Stamford,2265,,1983,4,232,450,Active,,,https://www.redfin.com/CT/Stamford/217-Bridge-St-06905/unit-F6/home/107100426,Smart MLS,24045851,N,Y,41.0651975,-73.5546402
MLS Listing,,Condo/Co-op,77 Havemeyer Ln #12,Stamford,CT,06902,1550000,3,4.5,Westover,5077,,2008,4,305,742,Active,,,https://www.redfin.com/CT/Stamford/77-Havemeyer-Ln-06902/unit-12/home/107084481,Smart MLS,24046379,N,Y,41.056319,-73.56508
MLS Listing,,Single Family Residential,141 Woodbine Rd,Stamford,CT,06903,789000,4,2.5,North Stamford,2984,45302,1961,4,264,,Active,,,https://www.redfin.com/CT/Stamford/141-Woodbine-Rd-06903/home/107092984,Smart MLS,24045359,N,Y,41.1541646,-73.5392023
MLS Listing,,Single Family Residential,147 Cedarwood Rd,Stamford,CT,06903,975000,3,3.0,North Stamford,2402,47480,1941,5,406,100,Active,,,https://www.redfin.com/CT/Stamford/147-Cedarwood-Rd-06903/home/107095735,Smart MLS,24044615,N,Y,41.148551,-73.5437457
MLS Listing,,Single Family Residential,256 Belltown Rd,Stamford,CT,06905,659000,3,1.5,Newfield,1960,18730,1952,5,336,,Active,,,https://www.redfin.com/CT/Stamford/256-Belltown-Rd-06905/home/107116933,Smart MLS,24042654,N,Y,41.0827551,-73.532748
MLS Listing,,Condo/Co-op,95 Lafayette St Apt 2,Stamford,CT,06902,479000,2,2.5,Mid City,2274,,1988,5,211,300,Active,,,https://www.redfin.com/CT/Stamford/95-Lafayette-St-06902/unit-2/home/107094501,Smart MLS,24045482,N,Y,41.0568911,-73.5265001
MLS Listing,,Condo/Co-op,53 William St Apt C,Stamford,CT,06902,549900,4,4.0,Cove,2190,,2008,5,251,270,Active,,,https://www.redfin.com/CT/Stamford/53-William-St-06902/unit-C/home/107097838,Smart MLS,24044903,N,Y,41.0524362,-73.5230036
MLS Listing,,Single Family Residential,14 Dannell Dr,Stamford,CT,06905,745000,3,2.0,Newfield,1946,17424,1941,5,383,,Active,,,https://www.redfin.com/CT/Stamford/14-Dannell-Dr-06905/home/107085745,Smart MLS,24044939,N,Y,41.0901325,-73.5472887
MLS Listing,,Single Family Residential,186 Overbrook Dr,Stamford,CT,06906,899000,3,2.5,Overbrook,3157,11325,1977,5,285,42,Active,,,https://www.redfin.com/CT/Stamford/186-Overbrook-Dr-06906/home/107095899,Smart MLS,24043861,N,Y,41.0824438,-73.5238207
MLS Listing,,Multi-Family (2-4 Unit),87 Iroquois Rd,Stamford,CT,06902,999999,4,4.0,Shippan,2672,5227,1946,5,374,,Active,,,https://www.redfin.com/CT/Stamford/87-Iroquois-Rd-06902/home/107105099,Smart MLS,24045811,N,Y,41.0372132,-73.5240968
MLS Listing,,Condo/Co-op,217 Bridge St Apt E6,Stamford,CT,06905,489000,2,2.0,Stamford,1510,,1983,5,324,450,Active,,,https://www.redfin.com/CT/Stamford/217-Bridge-St-06905/unit-E6/home/107117135,Smart MLS,24046022,N,Y,41.0651975,-73.5546402
