SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1101 A St #603,Tacoma,WA,98402,385000,1,1.0,Tacoma,599,,1919,6,643,318,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/WA/Tacoma/1101-A-St-98402/unit-603/home/3030810,NWMLS as Distributed by MLS Grid,2288549,N,Y,47.2533388,-122.436765
MLS Listing,,Single Family Residential,11725 Aqueduct Dr E,Tacoma,WA,98445,700000,1,2.0,Tacoma,1414,100188,1950,12,495,,Active,,,https://www.redfin.com/WA/Tacoma/11725-Aqueduct-Dr-E-98445/home/2562138,NWMLS as Distributed by MLS Grid,2285982,N,Y,47.1496789,-122.40956
MLS Listing,,Single Family Residential,5104 N 48th St,Tacoma,WA,98407,585000,3,1.0,North Tacoma,1286,5271,1921,12,455,,Active,,,https://www.redfin.com/WA/Tacoma/5104-N-48th-St-98407/home/2942310,NWMLS as Distributed by MLS Grid,2273038,N,Y,47.2927669,-122.5054819
MLS Listing,,Single Family Residential,1421 S 56th St,Tacoma,WA,98408,470000,4,2.0,Tacoma,1326,6400,1903,12,354,,Active,,,https://www.redfin.com/WA/Tacoma/1421-S-56th-St-98408/home/2842628,NWMLS as Distributed by MLS Grid,2285872,N,Y,47.2067783,-122.4538114
MLS Listing,,Single Family Residential,2115 S Alaska St,Tacoma,WA,98405,499000,3,2.0,Central Tacoma,1327,5875,1998,13,376,,Active,,,https://www.redfin.com/WA/Tacoma/2115-S-Alaska-St-98405/home/2996331,NWMLS as Distributed by MLS Grid,2286464,N,Y,47.2403002,-122.4574382
MLS Listing,,Single Family Residential,1503 49th St NE,Tacoma,WA,98422,645000,3,2.0,Tacoma,1769,12197,1962,13,365,,Active,,,https://www.redfin.com/WA/Tacoma/1503-49th-St-NE-98422/home/2630974,NWMLS as Distributed by MLS Grid,2282454,N,Y,47.3009214,-122.4277496
MLS Listing,,Single Family Residential,6411 S Alder St,Tacoma,WA,98409,414900,3,2.0,South Tacoma,1200,5035,1900,20,346,,Active,,,https://www.redfin.com/WA/Tacoma/6411-S-Alder-St-98409/home/2970818,NWMLS as Distributed by MLS Grid,2279581,N,Y,47.1987209,-122.4768222
MLS Listing,,Condo/Co-op,1501 Tacoma Ave S #304,Tacoma,WA,98402,425000,2,2.0,New Tacoma,1135,,2006,22,374,557,Active,,,https://www.redfin.com/WA/Tacoma/1501-Tacoma-Ave-S-98402/unit-304/home/11886878,NWMLS as Distributed by MLS Grid,2282734,N,Y,47.2483206,-122.4429855
MLS Listing,,Single Family Residential,1512 90th St E,Tacoma,WA,98445,510000,3,1.0,Midland,928,53740,1948,27,550,,Active,,,https://www.redfin.com/WA/Tacoma/1512-90th-St-E-98445/home/3003337,NWMLS as Distributed by MLS Grid,2274144,N,Y,47.1755359,-122.4085773
MLS Listing,,Townhouse,403 N I St,Tacoma,WA,98403,745000,3,3.5,Tacoma,2287,2625,2007,27,326,,Active,,,https://www.redfin.com/WA/Tacoma/403-N-I-St-98403/home/88155009,NWMLS as Distributed by MLS Grid,2278479,N,Y,47.2635094,-122.4547514
