SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,909 E 28th Ave,Tampa,FL,33605,332900,3,2.0,HOMESTEAD REV MAP,1214,1955,1918,7,274,,Active,,,https://www.redfin.com/FL/Tampa/909-E-28th-Ave-33605/home/47330218,Stellar MLS as Distributed by MLS Grid,TB8301239,N,Y,27.9758942,-82.4503226
MLS Listing,,Townhouse,6218 Goldenmoss Way,Temple Terrace,FL,33617,234900,3,2.0,RAINTREE MANOR HOMES CONDOMINI,1272,4,1980,19,185,626,Active,,,https://www.redfin.com/FL/Temple-Terrace/6218-Goldenmoss-Way-33617/home/47152995,Stellar MLS as Distributed by MLS Grid,T3551899,N,Y,28.0571374,-82.3849244
MLS Listing,,Single Family Residential,5642 Glencrest Blvd,Tampa,FL,33625,679999,4,3.0,BELLE GLEN,2650,10125,1997,24,257,82,Active,,,https://www.redfin.com/FL/Tampa/5642-Glencrest-Blvd-33625/home/47109198,Stellar MLS as Distributed by MLS Grid,T3549627,N,Y,28.1031392,-82.5483633
MLS Listing,,Single Family Residential,20102 Oakflower Ave,Tampa,FL,33647,575000,6,3.0,LIVE OAK PRESERVE PH 2A-VILLAG,3183,8872,2011,28,181,130,Active,,,https://www.redfin.com/FL/Tampa/20102-Oakflower-Ave-33647/home/47030191,Stellar MLS as Distributed by MLS Grid,T3548968,N,Y,28.1591996,-82.3313538
MLS Listing,,Condo/Co-op,4207 S Dale Mabry Hwy #2208,Tampa,FL,33611,229900,1,1.0,GRAND KEY A CONDO,636,2,2001,39,361,208,Active,,,https://www.redfin.com/FL/Tampa/4207-S-Dale-Mabry-Hwy-33611/unit-2208/home/47012607,Stellar MLS as Distributed by MLS Grid,T3546993,N,Y,27.903357,-82.506644
MLS Listing,,Single Family Residential,15028 Redcliff Dr,Tampa,FL,33625,465000,3,2.0,EASTBROOK,1649,8200,1987,39,282,39,Active,,,https://www.redfin.com/FL/Tampa/15028-Redcliff-Dr-33625/home/47070821,Stellar MLS as Distributed by MLS Grid,T3546987,N,Y,28.0884309,-82.5547038
MLS Listing,,Single Family Residential,11136 Bramblebrush St,Tampa,FL,33624,478000,3,2.0,BROOKGREEN VILLAGE II SUB,1470,7176,1993,40,325,75,Active,,,https://www.redfin.com/FL/Tampa/11136-Bramblebrush-St-33624/home/47129421,Stellar MLS as Distributed by MLS Grid,T3546991,N,Y,28.0468949,-82.5241064
MLS Listing,,Condo/Co-op,9481 Highland Oak Dr #814,Tampa,FL,33647,226000,2,2.0,THE HIGHLANDS AT HUNTERS GREE,1164,,1992,42,194,424,Active,,,https://www.redfin.com/FL/Tampa/9481-Highland-Oak-Dr-33647/unit-814/home/46989487,Stellar MLS as Distributed by MLS Grid,T3545968,N,Y,28.1291281,-82.3290874
MLS Listing,,Single Family Residential,8439 Boxwood Dr,Tampa,FL,33615,553500,3,2.5,BAY CREST PARK UNIT 10 B,2437,8000,1965,54,227,1,Active,,,https://www.redfin.com/FL/Tampa/8439-Boxwood-Dr-33615/home/47096213,Stellar MLS as Distributed by MLS Grid,T3542863,N,Y,27.9867345,-82.57838
MLS Listing,,Townhouse,8324 Civic Rd,Tampa,FL,33615,369900,3,2.5,THE TWNHS OF TOWNSHIP N COUNT,1824,2588,1998,62,203,,Active,,,https://www.redfin.com/FL/Tampa/8324-Civic-Rd-33615/home/47096358,Stellar MLS as Distributed by MLS Grid,T3541277,N,Y,27.9933867,-82.5761096
