SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,31935 Corte Sagunto,Temecula,CA,92592,759000,4,2.5,SRCAR - Southwest Riverside County,1950,11326,1994,1,389,125,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Temecula/31935-Corte-Sagunto-92592/home/6234493,CRMLS,SW24190786,N,Y,33.4891488,-117.1065104
MLS Listing,,Mobile/Manufactured Home,36040 Valencia Way,Temecula,CA,92592,1200000,5,3.0,SRCAR - Southwest Riverside County,3104,138521,1981,25,387,,Active,,,https://www.redfin.com/CA/Temecula/36040-Valencia-Way-92592/home/6192490,CRMLS,SW24172263,N,Y,33.522863,-117.0278808
MLS Listing,,Single Family Residential,39161 Shree Rd,Temecula,CA,92591,799000,4,3.5,SRCAR - Southwest Riverside County,3229,9148,2005,25,247,69,Active,,,https://www.redfin.com/CA/Temecula/39161-Shree-Rd-92591/home/6572320,CRMLS,SB24174551,N,Y,33.5523774,-117.1204622
MLS Listing,,Vacant Land,45600 Via Tornado,Temecula,CA,92590,597000,,,SRCAR - Southwest Riverside County,,492228,,60,,9,Active,,,https://www.redfin.com/CA/Temecula/45600-Via-Tornado-92590/home/113415316,CRMLS,SW24145958,N,Y,33.4683906,-117.1701917
MLS Listing,,Vacant Land,0 Quail Dr,Temecula,CA,92591,975000,,,699 - Not Defined,,838966,,71,,,Active,,,https://www.redfin.com/CA/Temecula/0-Quail-DR-92591/home/191495358,CRMLS,IG24137252,N,Y,33.5273381,-117.1147095
MLS Listing,,Vacant Land,44660 Tortuga Rd,Temecula,CA,92590,350000,,,SRCAR - Southwest Riverside County,,433422,,460,,,Active,,,https://www.redfin.com/CA/Temecula/44660-Tortuga-Rd-92590/home/22570467,CRMLS,SW23105982,N,Y,33.483108,-117.298856
MLS Listing,,Mobile/Manufactured Home,31130 S General Kearny #20,Temecula,CA,92591,249999,2,2.0,Heritage Park,1152,,1977,1,217,,Pre On-Market,,,https://www.redfin.com/CA/Temecula/31130-S-General-Kearny-Rd-92591/unit-20/home/169750099,CRMLS,SW24192497,N,Y,33.5177346,-117.1182889
MLS Listing,,Single Family Residential,32472 Sunnyvail Cir,Temecula,CA,92592,712000,4,2.5,SRCAR - Southwest Riverside County,2316,4791,2000,1,307,84,Active,,,https://www.redfin.com/CA/Temecula/32472-Sunnyvail-Cir-92592/home/6363002,CRMLS,PTP2405683,N,Y,33.4778926,-117.092935
MLS Listing,,Single Family Residential,44329 Marcelina Ct,Temecula,CA,92592,875000,4,3.0,SRCAR - Southwest Riverside County,2601,6098,2013,1,336,109,Pre On-Market,,,https://www.redfin.com/CA/Temecula/44329-Marcelina-Ct-92592/home/22259380,CRMLS,SW24190760,N,Y,33.4814447,-117.0634182
MLS Listing,,Single Family Residential,30069 Milano Rd,Temecula,CA,92591,850000,4,2.5,SRCAR - Southwest Riverside County,1868,5663,1990,1,455,,Active,,,https://www.redfin.com/CA/Temecula/30069-Milano-Rd-92591/home/6182778,CRMLS,RS24192763,N,Y,33.5369598,-117.1334954
