SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4828 W Uniontown St,Broken Arrow,OK,74012,219000,3,2.0,Southbrook I,1470,7744,1981,10,149,,Active,,,https://www.redfin.com/OK/Broken-Arrow/4828-W-Uniontown-St-74012/home/74417504,"MLS Technology, Inc.",2430793,N,Y,36.0715865,-95.850228
MLS Listing,,Single Family Residential,7669 E 58th Pl S,Tulsa,OK,74145,259000,4,2.5,Woodland View VI,1971,9796,1967,11,131,,Active,,,https://www.redfin.com/OK/Tulsa/7669-E-58th-Pl-74145/home/74243066,"MLS Technology, Inc.",2431612,N,Y,36.0796519,-95.8885411
MLS Listing,,Single Family Residential,1239 S Sandusky Ave,Tulsa,OK,74112,215000,3,1.0,Beverly Hill,965,7000,1939,32,223,,Active,,,https://www.redfin.com/OK/Tulsa/1239-S-Sandusky-Ave-74112/home/74287907,"MLS Technology, Inc.",2428296,N,Y,36.1445927,-95.9278379
MLS Listing,,Single Family Residential,6980 E 19th St,Tulsa,OK,74112,234900,3,2.0,Leisure Lanes,1922,7503,1962,47,122,,Active,,,https://www.redfin.com/OK/Tulsa/6980-E-19th-St-74112/home/74311236,"MLS Technology, Inc.",2426169,N,Y,36.1371655,-95.8970152
MLS Listing,,Single Family Residential,5388 E 27th St,Tulsa,OK,74114,255000,3,2.0,Lortondale II addn,1942,8750,1956,67,131,,Active,,,https://www.redfin.com/OK/Tulsa/5388-E-27th-St-74114/home/74314298,"MLS Technology, Inc.",2424430,N,Y,36.1237716,-95.9142744
MLS Listing,,Single Family Residential,10910 S 69th EastAvenue,Tulsa,OK,74133,2490000,5,6.0,Wenmoor,7918,28621,2006,68,314,258,Active,,,https://www.redfin.com/OK/Tulsa/10910-S-69th-East-Ave-74133/home/74265570,"MLS Technology, Inc.",2423091,N,Y,36.005494,-95.898919
MLS Listing,,Single Family Residential,26 S Tacoma Ave,Tulsa,OK,74127,375000,3,2.5,Overlook Park addn amd,2761,17875,1912,89,136,,Active,,,https://www.redfin.com/OK/Tulsa/26-S-Tacoma-Ave-74127/home/74324517,"MLS Technology, Inc.",2420747,N,Y,36.1526841,-96.0106121
MLS Listing,,Single Family Residential,9207 E 68th St,Tulsa,OK,74133,259500,4,2.0,Burning Tree South,2111,9612,1978,109,123,25,Active,,,https://www.redfin.com/OK/Tulsa/9207-E-68th-St-74133/home/74390634,"MLS Technology, Inc.",2418847,N,Y,36.0651828,-95.8743337
MLS Listing,,Single Family Residential,3216 E 28th St,Tulsa,OK,74114,475000,3,3.0,Meadow Lane,2287,9800,2009,130,208,,Active,,,https://www.redfin.com/OK/Tulsa/3216-E-28th-St-74114/home/74319415,"MLS Technology, Inc.",2415187,N,Y,36.1222592,-95.9423269
MLS Listing,,Single Family Residential,4637 N Hartford Ave E,Tulsa,OK,74126,119000,2,1.0,Fairhill addn,1224,11460,1952,168,97,,Active,,,https://www.redfin.com/OK/Tulsa/4637-N-Hartford-Ave-74126/home/74223536,"MLS Technology, Inc.",2410540,N,Y,36.2219368,-95.9842173
MLS Listing,,Vacant Land,3106 S Gary Ct E,Tulsa,OK,74105,329000,,,Ranch Acres,,18004,,1,,,Active,,,https://www.redfin.com/OK/Tulsa/3106-S-Gary-Ave-74105/home/74344260,"MLS Technology, Inc.",2433024,N,Y,36.1182491,-95.9438177
MLS Listing,,Vacant Land,1411 W Archer St,Tulsa,OK,74127,25000,,,Overlook Park addn amd,,4350,,1,,,Active,,,https://www.redfin.com/OK/Tulsa/1411-W-Archer-St-74127/home/74324582,"MLS Technology, Inc.",2433020,N,Y,36.1550918,-96.0079305
MLS Listing,,Single Family Residential,18233 E 50th St,Tulsa,OK,74134,305000,3,2.0,Stonegate IV,1690,7540,2015,1,180,29,Active,,,https://www.redfin.com/OK/Tulsa/18233-E-50th-St-74134/home/92189244,"MLS Technology, Inc.",2433019,N,Y,36.0916127,-95.7738089
MLS Listing,,Multi-Family (2-4 Unit),505 W 15th St,Tulsa,OK,74119,385000,4,3.0,Childers Heights addn,2272,9000,1945,1,169,,Active,,,https://www.redfin.com/OK/Tulsa/505-W-15th-St-74119/home/74294179,"MLS Technology, Inc.",2432937,N,Y,36.1407955,-95.9951148
MLS Listing,,Single Family Residential,10008 S Canton Ave,Tulsa,OK,74137,364000,3,2.5,Leisure Estates,2514,23985,1979,1,145,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/OK/Tulsa/10008-S-Canton-Ave-74137/home/74382337,"MLS Technology, Inc.",2422003,N,Y,36.0185885,-95.9189817
MLS Listing,,Single Family Residential,23 E 22nd St,Tulsa,OK,74114,1075000,3,3.0,The Tudors resub Riverside Drive addn III amd,3961,4662,2004,1,271,250,Active,,,https://www.redfin.com/OK/Tulsa/23-E-22nd-St-74114/home/74249281,"MLS Technology, Inc.",2432455,N,Y,36.1326309,-95.9866632
MLS Listing,,Single Family Residential,2439 S 123rd Ave E,Tulsa,OK,74129,218000,3,1.5,Shannon Park Third,1661,7800,1968,1,131,,Active,,,https://www.redfin.com/OK/Tulsa/2439-S-123rd-East-Ave-74129/home/74335567,"MLS Technology, Inc.",2432977,N,Y,36.1283792,-95.8389364
MLS Listing,,Single Family Residential,6129 S Louisville Ave,Tulsa,OK,74136,980000,4,5.5,Braeswood,4543,14700,1987,1,216,54,Active,,,https://www.redfin.com/OK/Tulsa/6129-S-Louisville-Ave-74136/home/74289819,"MLS Technology, Inc.",2432973,N,Y,36.0736043,-95.9347308
MLS Listing,,Condo/Co-op,3333 E 38th St #10,Tulsa,OK,74135,119500,2,2.0,36th Street Suburb,1087,,1970,1,110,330,Active,,,https://www.redfin.com/OK/Tulsa/3333-E-38th-St-74135/unit-10/home/74344042,"MLS Technology, Inc.",2432929,N,Y,36.1082323,-95.9394333
MLS Listing,,Vacant Land,N Waco Ave,Tulsa,OK,74127,33500,,,Holley Heights,,16865,,1,,,Active,,,https://www.redfin.com/OK/Tulsa/N-Waco-Ave-74127/home/82731205,"MLS Technology, Inc.",2432892,N,Y,36.184,-96.014228
MLS Listing,,Single Family Residential,140 E 58th St,Tulsa,OK,74105,247500,4,2.0,Riverside South amd,2358,7700,1966,1,105,,Active,,,https://www.redfin.com/OK/Tulsa/140-E-58th-St-74105/home/74331053,"MLS Technology, Inc.",2432964,N,Y,36.0790445,-95.9816876
MLS Listing,,Single Family Residential,8940 S Lakewood Ave,Tulsa,OK,74137,434900,4,3.5,WOODHILL HEIGHTS,3367,12526,1987,1,129,29,Active,,,https://www.redfin.com/OK/Tulsa/8940-S-Lakewood-Ave-74137/home/74398515,"MLS Technology, Inc.",2432926,N,Y,36.0329401,-95.9095778
MLS Listing,,Condo/Co-op,2116 E 59th Pl Unit 4F,Tulsa,OK,74105,419000,2,2.0,Garden Park,1961,,1963,1,214,982,Active,,,https://www.redfin.com/OK/Tulsa/2116-E-59th-Pl-74105/unit-4-F/home/83055669,"MLS Technology, Inc.",2432897,N,Y,36.077217,-95.961286
MLS Listing,,Single Family Residential,4625 E 14th Pl,Tulsa,OK,74112,199999,2,1.0,Adamson Heights,863,10980,1939,1,232,,Active,,,https://www.redfin.com/OK/Tulsa/4625-E-14th-Pl-74112/home/74285667,"MLS Technology, Inc.",2432938,N,Y,36.1414061,-95.9247295
MLS Listing,,Single Family Residential,9570 E 108th St S,Bixby,OK,74133,799900,5,4.5,Legends,4893,11250,2008,1,163,58,Active,,,https://www.redfin.com/OK/Tulsa/9570-E-108th-St-S-74133/home/74277425,"MLS Technology, Inc.",2432921,N,Y,36.0069592,-95.8702978
MLS Listing,,Multi-Family (2-4 Unit),8140 E 65th Pl,Tulsa,OK,74133,327000,3,2.0,Burning Tree Duplex resub,1477,6978,1978,1,221,,Active,,,https://www.redfin.com/OK/Tulsa/8140-E-65th-St-74133/home/74390150,"MLS Technology, Inc.",2432491,N,Y,36.0687614,-95.8846404
MLS Listing,,Single Family Residential,4633 S Vandalia Ave,Tulsa,OK,74135,210000,3,2.0,Greenhills,1581,8400,1955,1,133,,Active,,,https://www.redfin.com/OK/Tulsa/4633-S-Vandalia-Ave-74135/home/74304749,"MLS Technology, Inc.",2432750,N,Y,36.0962703,-95.9240854
MLS Listing,,Multi-Family (2-4 Unit),8116 E 65th Pl,Tulsa,OK,74133,375000,3,2.0,Burning Tree Duplex resub,1728,4886,1978,1,217,,Active,,,https://www.redfin.com/OK/Tulsa/8116-E-65th-Pl-74133/home/74390159,"MLS Technology, Inc.",2432490,N,Y,36.0682908,-95.8850117
