SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2641 Gately Dr W #2304,West Palm Beach,FL,33415,349000,3,2.0,Arbours OF The Palm Beaches Condo,1600,,1989,6,218,532,Active,,,https://www.redfin.com/FL/West-Palm-Beach/2641-Gately-Dr-W-33415/unit-2304/home/42171797,Beaches MLS,RX-11020384,N,Y,26.6404549,-80.1361428
MLS Listing,,Multi-Family (2-4 Unit),528 Churchill Rd,West Palm Beach,FL,33405,529000,4,2.0,Colonial Ests,1644,6142,1925,19,322,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/528-Churchill-Rd-33405/home/42532216,Beaches MLS,RX-11016735,N,Y,26.6614985,-80.0580884
MLS Listing,,Condo/Co-op,801 Lake Shore Dr #812,West Palm Beach,FL,33403,449900,2,2.0,Lake Harbour Towers Condo,1440,,1974,21,312,550,Active,,,https://www.redfin.com/FL/West-Palm-Beach/801-Lake-Shore-Dr-33403/unit-812/home/42419566,Beaches MLS,RX-11016119,N,Y,26.7998816,-80.0526841
MLS Listing,,Condo/Co-op,2528 Boundbrook Dr S #206,Palm Springs,FL,33406,194999,2,2.0,Boundbrook Condo S,1103,,1970,22,177,661,Active,,,https://www.redfin.com/FL/West-Palm-Beach/2528-Boundbrook-Dr-S-33406/unit-206/home/42292254,Beaches MLS,RX-11015809,N,Y,26.63772,-80.080643
MLS Listing,,Single Family Residential,132 Belle Grove Ln,Royal Palm Beach,FL,33411,585000,4,2.0,Diamond C Ranch / Palm Beach Plantation,2148,5443,2006,34,272,325,Active,,,https://www.redfin.com/FL/Royal-Palm-Beach/132-Belle-Grove-Ln-33411/home/42578069,Beaches MLS,RX-11012747,N,Y,26.6783675,-80.1855198
MLS Listing,,Multi-Family (2-4 Unit),1040 17th St,West Palm Beach,FL,33407,599999,6,4.0,Tamarind Park,1922,3598,1926,40,312,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/1040-17th-St-33407/home/42513981,Beaches MLS,RX-11011259,N,Y,26.7287714,-80.0628887
MLS Listing,,Single Family Residential,11440 81st Ct N,Palm Beach Gardens,FL,33412,3300000,4,4.5,Kramers Sub,5144,429937,1989,49,642,84,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/11440-81st-Ct-N-33412/home/171495996,Beaches MLS,RX-11008670,N,Y,26.7963085,-80.2202976
MLS Listing,,Single Family Residential,627 Avenida Alegre,West Palm Beach,FL,33405,413900,2,1.0,Vista Encanto Add,978,5349,1940,49,423,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/627-Avenida-Alegre-33405/home/42528020,Beaches MLS,RX-11008444,N,Y,26.6807505,-80.0585347
MLS Listing,,Single Family Residential,518 35th St,West Palm Beach,FL,33407,2250000,4,3.0,Northwood Add,3330,8912,1957,92,676,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/518-35th-St-33407/home/42518974,Beaches MLS,RX-10997061,N,Y,26.7447499,-80.0553957
MLS Listing,,Single Family Residential,2716 Holly Rd,West Palm Beach,FL,33406,614900,5,3.0,Flamango Park,2629,7841,1984,99,234,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/2716-Holly-Rd-33406/home/42283859,Beaches MLS,RX-10995457,N,Y,26.6639269,-80.0835869
MLS Listing,,Single Family Residential,11155 Osprey Lake Ln,Palm Beach Gardens,FL,33412,749900,4,3.0,Osprey Isles Pud,2484,8555,2006,107,302,285,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/11155-Osprey-Lake-Ln-33412/home/168150681,Beaches MLS,RX-10992705,N,Y,26.8197008,-80.2157534
MLS Listing,,Condo/Co-op,2425 Presidential Way #801,West Palm Beach,FL,33401,247900,2,2.0,Lands OF The President Condo 7,1206,,1974,152,206,1076,Active,,,https://www.redfin.com/FL/West-Palm-Beach/2425-Presidential-Way-33401/unit-801/home/42521584,Beaches MLS,RX-10979864,N,Y,26.7336645,-80.0861809
MLS Listing,,Single Family Residential,6734 Hannah Cv,West Palm Beach,FL,33411,674999,5,4.0,Renaissance / Tides,3440,7627,2003,200,196,298,Active,,,https://www.redfin.com/FL/West-Palm-Beach/6734-Hannah-Cv-33411/home/42562975,Beaches MLS,RX-10964998,N,Y,26.722856,-80.1469481
MLS Listing,,Single Family Residential,10221 Blue Heron Cv,West Palm Beach,FL,33412,1025000,3,2.5,Ibis Golf And Country Club 21 - Blue Heron,2539,15381,1998,1,404,650,Active,,,https://www.redfin.com/FL/West-Palm-Beach/10221-Blue-Heron-Cv-33412/home/42502165,Beaches MLS,RX-11016829,N,Y,26.7892226,-80.2023582
MLS Listing,,Single Family Residential,625 Selkirk St,West Palm Beach,FL,33405,499000,3,2.0,Southboro Park IN,1334,,1926,1,374,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/625-Selkirk-St-33405/home/42528345,Beaches MLS,RX-11021850,N,Y,26.667527,-80.0593653
MLS Listing,,Single Family Residential,4344 Pine St,West Palm Beach,FL,33406,440000,3,2.5,Melaleuca Estates Unrec ON Am-48,1794,8899,1957,1,245,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/4344-Pine-St-33406/home/42160438,Beaches MLS,RX-11021840,N,Y,26.6582467,-80.1096437
MLS Listing,,Condo/Co-op,1801 S Flagler Dr #1707,West Palm Beach,FL,33401,1195000,2,2.0,Rapallo South Condo,1086,,1973,1,1100,961,Active,,,https://www.redfin.com/FL/West-Palm-Beach/1801-S-Flagler-Dr-33401/unit-1707/home/42520240,Beaches MLS,RX-11021805,N,Y,26.6974042,-80.0507418
MLS Listing,,Condo/Co-op,5600 N Flagler Dr #2102,West Palm Beach,FL,33407,325000,2,2.0,Palm Beach House Condo,1170,,1978,1,278,1200,Active,,,https://www.redfin.com/FL/West-Palm-Beach/5600-N-Flagler-Dr-33407/unit-2102/home/42508656,Beaches MLS,RX-11021804,N,Y,26.7598994,-80.05146
MLS Listing,,Condo/Co-op,5957 Forest Hill Blvd #3,West Palm Beach,FL,33415,255000,2,2.0,Forest Hill Villas Garden,1026,,1979,1,249,348,Active,,,https://www.redfin.com/FL/West-Palm-Beach/5957-Forest-Hill-Blvd-33415/unit-3/home/42622740,Beaches MLS,F10462075,N,Y,26.6526079,-80.1360108
MLS Listing,,Single Family Residential,610 Flamingo Dr,West Palm Beach,FL,33401,1699000,3,3.0,Flamingo Park,1819,6260,2019,1,934,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/610-Flamingo-Dr-33401/home/42529199,Beaches MLS,RX-11018457,N,Y,26.696043,-80.057609
MLS Listing,,Condo/Co-op,2425 Presidential Way #704,West Palm Beach,FL,33401,399000,3,2.0,LANDS OF THE PRESIDENT CO,1404,,1974,1,284,1275,Active,,,https://www.redfin.com/FL/West-Palm-Beach/2425-Presidential-Way-33401/unit-704/home/42519574,MARMLS,A11661286,N,Y,26.7336645,-80.0861809
MLS Listing,,Multi-Family (2-4 Unit),1012 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,259000,4,2.0,Freshwater Add TO Wpb,1404,4482,1963,1,184,,Active,,,https://www.redfin.com/FL/West-Palm-Beach/1012-Palm-Beach-Lakes-Blvd-33401/home/42514592,Beaches MLS,RX-11021789,N,Y,26.7243988,-80.062247
