SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12312 Mulberry Ct,Woodbridge,VA,22192,735000,4,3.0,LAKE RIDGE,3794,10375,1973,6,194,72,Active,,,https://www.redfin.com/VA/Woodbridge/12312-Mulberry-Ct-22192/home/9166582,BRIGHT MLS,VAPW2078270,N,Y,38.686983,-77.2924201
MLS Listing,,Single Family Residential,2828 Compass Cir,Woodbridge,VA,22191,775000,4,4.5,PORT POTOMAC,4631,7540,2009,6,167,155,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/VA/Woodbridge/2828-Compass-Cir-22191/home/25681434,BRIGHT MLS,VAPW2079454,N,Y,38.6026691,-77.2934226
MLS Listing,,Single Family Residential,15529 Wigeon Way,Woodbridge,VA,22191,797500,4,3.5,DAWSON LANDING,3820,25652,1998,14,209,38,Active,,,https://www.redfin.com/VA/Woodbridge/15529-Wigeon-Way-22191/home/9347521,BRIGHT MLS,VAPW2077958,N,Y,38.6134199,-77.2661302
MLS Listing,,Single Family Residential,1329 Devils Reach Rd,Woodbridge,VA,22192,634900,3,2.5,HORNBAKER,2115,19998,1957,14,300,,Active,,,https://www.redfin.com/VA/Woodbridge/1329-Devils-Reach-Rd-22192/home/9155187,BRIGHT MLS,VAPW2077382,N,Y,38.671309,-77.2566122
MLS Listing,,Single Family Residential,16305 Boatswain Cir,Woodbridge,VA,22191,825000,6,3.5,PORT POTOMAC,4030,8398,2011,15,205,155,Active,,,https://www.redfin.com/VA/Woodbridge/16305-Boatswain-Cir-22191/home/40019598,BRIGHT MLS,VAPW2078092,N,Y,38.5981046,-77.2799886
MLS Listing,,Single Family Residential,14309 Louisa St,Woodbridge,VA,22191,490000,6,2.5,MARUMSCO HILLS,2050,10018,1964,1,239,,Active,,,https://www.redfin.com/VA/Woodbridge/14309-Louisa-St-22191/home/9146383,BRIGHT MLS,VAPW2079210,N,Y,38.6415277,-77.2743605
MLS Listing,,Condo/Co-op,485 Harbor Side St #314,Woodbridge,VA,22191,525000,2,2.0,HARBOR VIEW CONDO AT BELMONT BAY,1928,,2005,1,272,,Active,,,https://www.redfin.com/VA/Woodbridge/485-Harbor-Side-St-22191/unit-314/home/12327398,BRIGHT MLS,VAPW2079752,N,Y,38.6531809,-77.232369
MLS Listing,,Townhouse,15007 Ashdale Cir,Woodbridge,VA,22193,397000,3,3.0,DALE CITY,1692,1751,1966,1,235,77,Pre On-Market,September-19-2024 04:00 PM,September-19-2024 06:00 PM,https://www.redfin.com/VA/Woodbridge/15007-Ashdale-Cir-22193/home/9137446,BRIGHT MLS,VAPW2079346,N,Y,38.6270157,-77.3049998
MLS Listing,,Townhouse,15747 John Diskin Cir,Woodbridge,VA,22191,470000,3,3.5,POWELLS RUN VILLAGE CONDO,1725,,2011,1,272,312,Active,,,https://www.redfin.com/VA/Woodbridge/15747-John-Diskin-Cir-22191/home/40320560,BRIGHT MLS,VAPW2076682,N,Y,38.6145637,-77.2859895
MLS Listing,,Vacant Land,16704 Richmond Hwy,Dumfries,VA,22026,800000,,,Dumfries,,43560,,1,,,Active,,,https://www.redfin.com/VA/Dumfries/16704-Richmond-Hwy-22026/home/9078525,BRIGHT MLS,VAPW2079802,N,Y,38.5910262,-77.3041109
