SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,14 Whitten St,Worcester,MA,01605,490000,4,2.0,Worcester,1798,9375,1964,13,273,,Active,,,https://www.redfin.com/MA/Worcester/14-Whitten-St-01605/home/16654452,MLS PIN,73285772,N,Y,42.2968736,-71.7810374
MLS Listing,,Single Family Residential,9 Judson Rd,Worcester,MA,01605,450000,3,2.0,Worcester,1432,4979,1914,34,314,,Active,,,https://www.redfin.com/MA/Worcester/9-Judson-Rd-01605/home/16666551,MLS PIN,73278419,N,Y,42.2902425,-71.8107936
MLS Listing,,Multi-Family (2-4 Unit),85 Seymour St,Worcester,MA,01610,699900,6,3.0,Worcester,2940,6060,1890,55,238,,Active,,,https://www.redfin.com/MA/Worcester/85-Seymour-St-01610/home/16663887,MLS PIN,73269401,N,Y,42.2492025,-71.7957483
MLS Listing,,Single Family Residential,18 Hastings Ave,Worcester,MA,01606,430000,4,2.0,Worcester,1506,6250,1918,55,286,,Active,,,https://www.redfin.com/MA/Worcester/18-Hastings-Ave-01606/home/16674583,MLS PIN,73269368,N,Y,42.2940217,-71.8077714
MLS Listing,,Single Family Residential,69 Morningside,Worcester,MA,01602,469000,4,1.5,Tatnuck,1620,9583,1933,1,290,,Active,September-21-2024 11:00 AM,September-21-2024 12:30 PM,https://www.redfin.com/MA/Worcester/69-Morningside-Rd-01602/home/16659252,MLS PIN,73290458,N,Y,42.2703939,-71.8326501
MLS Listing,,Multi-Family (2-4 Unit),6 Pocasset St,Worcester,MA,01604,635000,6,4.0,Worcester,3422,10000,1987,1,186,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/MA/Worcester/6-Pocasset-St-01604/home/16654572,MLS PIN,73291352,N,Y,42.2436799,-71.7535258
MLS Listing,,Single Family Residential,56 Honeysuckle Rd,Worcester,MA,01604,495000,3,2.5,Worcester,1638,5293,2011,1,302,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/MA/Worcester/56-Honeysuckle-Rd-01607/home/40509163,MLS PIN,73291320,N,Y,42.2284951,-71.8073132
MLS Listing,,Townhouse,29 Beechmont St #1,Worcester,MA,01609,175000,1,1.0,Worcester,550,,1958,1,318,278,Active,,,https://www.redfin.com/MA/Worcester/29-Beechmont-St-01609/unit-1/home/16678470,MLS PIN,73291270,N,Y,42.2769269,-71.818103
MLS Listing,,Single Family Residential,94 Sachem Ave,Worcester,MA,01606,425000,3,1.0,Worcester,1250,7000,1942,1,340,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/MA/Worcester/94-Sachem-Ave-01606/home/16657073,MLS PIN,73291200,N,Y,42.3057446,-71.7824274
MLS Listing,,Single Family Residential,3 Jeremiahs Ln,Worcester,MA,01602,500000,3,3.5,Worcester,2071,8890,2003,1,241,,Active,,,https://www.redfin.com/MA/Worcester/3-Jeremiahs-Ln-01602/home/16681140,MLS PIN,73291136,N,Y,42.2810559,-71.8696634
MLS Listing,,Multi-Family (2-4 Unit),5 Palmer St,Worcester,MA,01605,499900,6,3.5,Worcester,2100,2935,1890,1,238,,Active,,,https://www.redfin.com/MA/Worcester/5-Palmer-St-01605/home/16671196,MLS PIN,73291121,N,Y,42.271667,-71.7930063
MLS Listing,,Single Family Residential,15 Thornton Rd,Worcester,MA,01606,400000,2,1.5,Burncoat,1016,10000,1952,1,394,,Active,,,https://www.redfin.com/MA/Worcester/15-Thornton-Rd-01606/home/16661909,MLS PIN,73291094,N,Y,42.2979174,-71.7912772
MLS Listing,,Single Family Residential,11 Oakview St,Worcester,MA,01605,379900,3,1.0,Worcester,935,8750,1951,1,406,,Active,,,https://www.redfin.com/MA/Worcester/11-Oakview-St-01605/home/16646038,MLS PIN,73290836,N,Y,42.2953437,-71.7635224
MLS Listing,,Single Family Residential,138 Cohasset St,Worcester,MA,01604,439900,3,1.5,Grafton Hill,1272,5000,1900,2,346,,Active,September-21-2024 11:00 AM,September-21-2024 12:30 PM,https://www.redfin.com/MA/Worcester/138-Cohasset-St-01604/home/16668337,MLS PIN,73290816,N,Y,42.2546414,-71.7751201
