agent_name,$/Sq. Ft.,On Redfin,HOA,Year Built,Status
Listed by Monica Mccarthy,$438,1 day,"$1,111/month",2003,Active
,$250,1 day,$300/month,2001,Active
,,1 day,None,1894,Active
Listed by Nichole Dinino,$384,1 day,$125/month,2005,Active
Listed by Leonardo Rojas Molina,$412,1 day,$868/month,,Active
Listed by Revé Kendall,,2 days,None,1914,Active
Listed by Steve Dombar,,2 days,$556/month,1965,Active
Listed by Kathy Schrage,,2 days,$252/month,2003,Active
Listed by Jean Walker,$188,2 days,$173/month,2007,Active
,,2 days,$243/month,1929,Coming Soon
Listed by Layching Quek,$425,2 days,$275/month,2008,Active
Listed by Nichole Dinino,$227,2 days,$894/month,1957,Active
Listed by Layching Quek,$214,2 days,$319/month,1890,Active
Listed by Greg Whelan,$422,2 days,$250/month,2018,Active
Listed by Peggy Sersen,$498,2 days,None,2000,Active
Listed by Tiffeny Meyers,$381,2 days,$227/month,1906,Active
Listed by Revé Kendall,$350,2 days,$293/month,2004,Active
Listed by Maria Thompson,$284,2 days,$202/month,2020,Active
Listed by Sylvia Chliborob,$369,2 days,None,1964,Active
,$328,2 days,None,1894,Coming Soon
Listed by Stefanie D'Agostino,,3 days,None,2008,Active
Listed by Cesar Juarez,$301,3 days,None,1955,Active
Listed by Miguel Lopez,$275,3 days,None,1938,Active
Listed by Jessica Macey,$287,3 days,$618/month,2004,Active
,,3 days,$580/month,,Coming Soon
Listed by Jessica Macey,,3 days,None,1910,Active
Listed by Camie Cirrincione,$241,4 days,$328/month,1913,Active
Listed by Stefanie D'Agostino,,4 days,None,1891,Active
Listed by Crystal DeKalb,$192,4 days,None,2010,Active
Listed by Stacey Dombar,$438,4 days,$791/month,2002,Active
Listed by Greg Whelan,$290,4 days,$250/month,1882,Active
Listed by Jacqueline Alter,,4 days,None,1924,Active
,$98,21 mins,"$1,148/month",1929,Active
,$102,8 hours,None,1940,Active
,$203,8 hours,None,1986,Active
,,11 hours,$500/month,2001,Active
,,11 hours,None,1895,Active
,,11 hours,None,1903,Active
,$170,11 hours,None,1960,Active
,$266,12 hours,"$1,860/month",1969,Active
,$160,12 hours,None,1921,Active
,$226,12 hours,None,1929,Active
,$316,12 hours,None,1924,Active
,,13 hours,None,1900,Active
,$140,14 hours,None,1974,Active
,,16 hours,$289/month,1968,Active
,$196,16 hours,$408/month,1929,Active
,,17 hours,None,1900,Active
,$173,17 hours,$556/month,1904,Active
,$453,17 hours,$935/month,1968,Active
,,17 hours,$325/month,,Active
,$277,18 hours,$908/month,1966,Active
,$129,19 hours,None,1916,Active
,$645,19 hours,$668/month,2023,Active
,$644,19 hours,$729/month,2023,Active
,$534,19 hours,$826/month,2023,Active
,$676,19 hours,$471/month,2023,Active
,$247,20 hours,None,1947,Active
,,20 hours,None,,Active
,$147,20 hours,$646/month,1969,Active
,$297,20 hours,None,1944,Active
,$620,21 hours,None,1891,Active
,,21 hours,None,1913,Active
,$446,21 hours,$703/month,2007,Active
,$275,21 hours,None,1962,Active
,,21 hours,None,1900,Active
,,21 hours,None,1905,Active
,$278,22 hours,$386/month,2004,Active
,,22 hours,$15/month,1923,Active
,$121,22 hours,None,1930,Active
,$224,22 hours,$355/month,1993,Active
,$177,23 hours,None,2024,Active
,$304,23 hours,None,1917,Active
,$120,23 hours,None,1961,Active
,$354,23 hours,None,1989,Active
,$556,23 hours,"$1,098/month",2008,Active
,$214,24 hours,None,1957,Active
,$105,24 hours,None,1922,Active
,,24 hours,$191/month,2002,Active
,$142,25 hours,None,1905,Active
,$128,26 hours,None,1922,Active
,$500,30 hours,$366/month,2018,Active
,$143,34 hours,None,1953,Active
,$226,34 hours,None,1957,Active
,$231,35 hours,None,1952,Active
,$458,35 hours,$432/month,1972,Active
,,35 hours,None,2019,Active
,$239,1 day,None,,Active
,$227,1 day,None,1952,Active
,$83,1 day,None,1922,Active
,$48,1 day,None,1910,Active
,$269,1 day,None,1923,Active
,$155,1 day,None,1949,Active
,,1 day,None,1959,Active
,$202,1 day,$400/month,1993,Active
,$292,1 day,None,,Active
,$317,1 day,$723/month,1969,Active
,$606,1 day,None,2015,Active
,$163,1 day,None,1925,Active
,,1 day,"$1,569/month",2006,Active
,,1 day,$739/month,1969,Active
,$166,1 day,None,1957,Active
,$185,1 day,None,1925,Active
,$364,1 day,$250/month,2024,Active
,,1 day,None,2024,Active
,$33,1 day,None,,Active
,,1 day,None,2024,Active
,,1 day,None,1923,Active
,$283,1 day,None,2024,Active
,$201,1 day,None,1955,Active
,$137,1 day,$276/month,1968,Active
,,1 day,$325/month,1925,Active
,$372,1 day,None,1962,Active
,$314,1 day,$605/month,1920,Active
,,1 day,$971/month,1968,Active
,$178,1 day,$450/month,2000,Active
,$338,1 day,$306/month,2007,Active
,,1 day,None,2009,Active
,,1 day,None,1916,Active
,$312,1 day,"$1,337/month",1966,Active
,$179,1 day,None,1915,Active
,$170,1 day,None,1922,Active
,$824,1 day,"$1,037/month",2022,Active
,,1 day,None,,Active
,$154,1 day,None,1927,Active
,$275,1 day,$300/month,1920,Active
,$276,1 day,None,2023,Active
,$95,1 day,None,1916,Active
,$708,1 day,$764/month,2022,Active
,$106,1 day,None,1903,Active
,,1 day,None,1940,Active
,,1 day,None,2024,Active
,$205,1 day,None,1893,Active
,$177,1 day,$627/month,1970,Active
,$885,1 day,"$1,244/month",2022,Active
,$58,1 day,None,1888,Active
,,1 day,$168/month,,Active
,$360,1 day,$507/month,1970,Active
,$111,1 day,None,1931,Active
,$258,1 day,None,1903,Active
,$245,1 day,$450/month,2005,Active
,$270,1 day,None,1953,Active
,$250,1 day,$303/month,1995,Active
,"$1,008",1 day,"$4,343/month",2021,Active
,$427,1 day,$250/month,2024,Active
,$161,1 day,None,1947,Active
,$304,1 day,$773/month,,Active
,$229,1 day,None,1963,Active
,$440,1 day,$250/month,2024,Active
,$376,1 day,$250/month,2024,Active
,$341,1 day,$305/month,2004,Active
,$380,1 day,None,2017,Active
,$986,1 day,"$5,566/month",2021,Active
,$168,1 day,None,1893,Active
,$723,1 day,"$2,987/month",2021,Active
,$323,1 day,None,1949,Active
,$254,1 day,$410/month,1969,Active
,,1 day,None,1913,Active
,$450,1 day,None,2024,Active
,$138,1 day,$373/month,2005,Active
