address,location,price,beds,baths,Sq.Ft,$/Sq.Ft,on_redfin,scrap_date
200 W Grand Ave Unit P93,CHI - Near North Side,"$25,000",—,—,—,—,206 days,2024-09-08 22:10:33
777 N Michigan Ave #1802,CHI - Near North Side,"$164,900",0,1,600,$275,171 days,2024-09-08 22:10:33
505 N Mcclurg Ct #2602,Parkview Condominiums,"$824,900",2,2,"1,464",$563,142 days,2024-09-08 22:10:33
10644 S Wallace St,CHI - Roseland,"$300,000",4,3,"1,546",$194,123 days,2024-09-08 22:10:33
1528 S Wabash Ave #401,CHI - Near South Side,"$274,999",2,1,"1,180",$233,120 days,2024-09-08 22:10:33
303 W Ohio St #1604,CHI - Near North Side,"$319,000",1,1,728,$438,113 days,2024-09-08 22:10:33
65 E Monroe St #4206,CHI - Loop,"$739,000",2,2,"1,430",$517,95 days,2024-09-08 22:10:34
3110 W Berteau Ave #1,CHI - Irving Park,"$365,000",3,2,"1,350",$270,94 days,2024-09-08 22:10:34
6431 N Damen Ave Unit 1E,Edgemoor Park Condos,"$300,000",3,2,"1,100",$273,87 days,2024-09-08 22:10:34
11353 S Forest Ave,CHI - Roseland,"$18,500",—,—,—,—,85 days,2024-09-08 22:10:34
235 W Van Buren St #4508,CHI - Loop,"$490,000",2,2,"1,155",$424,79 days,2024-09-08 22:10:34
1720 S Michigan Ave #2004,CHI - Near South Side,"$231,000",1,1,720,$321,75 days,2024-09-08 22:10:34
2706 W Chicago Ave #3,CHI - West Town,"$489,900",3,2,"1,700",$288,72 days,2024-09-08 22:10:34
2909 N Sheridan Rd #1607,North Side,"$215,000",1,1,950,$226,71 days,2024-09-08 22:10:34
6812 N Wayne Ave Unit 3C,CHI - Rogers Park,"$155,000",1,1,600,$258,66 days,2024-09-08 22:10:34
5300 S Shore Dr #35,CHI - Hyde Park,"$230,000",3,2,"1,650",$139,64 days,2024-09-08 22:10:35
2440 W Irving Park Rd #3,CHI - North Center,"$699,000",3,2,"1,750",$399,64 days,2024-09-08 22:10:35
9129 S Marshfield Ave,CHI - Washington Heights,"$275,000",6,2,"1,192",$231,63 days,2024-09-08 22:10:35
225 S Sangamon St #811,CHI - Near West Side,"$450,000",2,2,"1,000",$450,61 days,2024-09-08 22:10:35
230 W 109th St,CHI - Roseland,"$80,000",3,2,"1,218",$66,60 days,2024-09-08 22:10:35
600 N Dearborn St #1101,Farallon,"$450,000",2,2,—,—,59 days,2024-09-08 22:10:35
50 E 16th St #406,Chicago,"$375,000",2,2,"1,000",$375,59 days,2024-09-08 22:10:35
1355 N Sandburg Ter Unit 2108D,CHI - Near North Side,"$308,500",1,1,850,$363,58 days,2024-09-08 22:10:35
500 W Superior St #802,CHI - Near North Side,"$530,000",2,2,"1,154",$459,54 days,2024-09-08 22:10:35
3130 W Fullerton Ave Unit 2E,CHI - Logan Square,"$440,000",2,2,"1,250",$352,51 days,2024-09-08 22:10:36
8214 S Laflin St,CHI - Auburn Gresham,"$240,000",6,2,"1,452",$165,51 days,2024-09-08 22:10:36
215 N Aberdeen St Unit B401,Blue Moon Lofts,"$384,900",2,2,—,—,50 days,2024-09-08 22:10:36
3125 W Pershing Rd,CHI - Brighton Park,"$475,000",6,3,—,—,50 days,2024-09-08 22:10:36
1212 N Wells St #402,Neapolitan,"$350,000",1,1,"1,000",$350,50 days,2024-09-08 22:10:36
1837 N Newcastle Ave,CHI - Montclare,"$492,000",4,4,"3,000",$164,46 days,2024-09-08 22:10:36
6307 W Berenice Ave,CHI - Dunning,"$644,000",5,4.5,"2,302",$280,45 days,2024-09-08 22:11:06
2413 W Fullerton Ave #3,CHI - Logan Square,"$674,500",2,2,"2,000",$337,44 days,2024-09-08 22:11:06
2240 N Parkside Ave,CHI - Belmont Cragin,"$375,000",4,2,"1,072",$350,44 days,2024-09-08 22:11:07
9145 S Pleasant Ave,CHI - Beverly,"$640,000",6,3,"2,545",$251,44 days,2024-09-08 22:11:07
9133 S Drexel Ave,CHI - Burnside,"$289,900",7,3,"2,097",$138,43 days,2024-09-08 22:11:07
1151 W Washington Blvd #136,CHI - Near West Side,"$648,000",2,2,"1,550",$418,43 days,2024-09-08 22:11:07
1322 S Wabash Ave Ph 6,CHI - Near South Side,"$710,000",2,2,"2,221",$320,42 days,2024-09-08 22:11:07
10821 S Eberhart Ave,CHI - Roseland,"$316,000",4,3,"1,212",$261,40 days,2024-09-08 22:11:07
4343 N Clarendon Ave #1102,CHI - Uptown,"$279,000",2,2,"1,150",$243,40 days,2024-09-08 22:11:07
240 E Illinois St #2603,CHI - Near North Side,"$399,900",1,1,—,—,40 days,2024-09-08 22:11:07
8629 1/2 W Foster Ave Unit 1A,CHI - O'Hare,"$289,000",3,3,"2,000",$145,39 days,2024-09-08 22:11:08
5953 N Kenmore Ave #104,CHI - Edgewater,"$275,000",2,2,"1,100",$250,38 days,2024-09-08 22:11:08
8 W Monroe St #2100,Chicago,"$1,290,000",4,2.5,"5,388",$239,38 days,2024-09-08 22:11:08
1838 N Western Ave #303,CHI - Logan Square,"$750,000",3,2,—,—,37 days,2024-09-08 22:11:08
4412 S Oakenwald Ave,CHI - Kenwood,"$549,000",4,2.5,"2,995",$183,37 days,2024-09-08 22:11:08
6014 W Fletcher St,Chicago,"$330,000",3,1,"1,336",$247,36 days,2024-09-08 22:11:09
2800 N Lake Shore Dr #1710,CHI - Lake View,"$525,000",2,1,—,—,33 days,2024-09-08 22:11:09
110 W Superior St #1402,Superior 110,"$639,000",2,2,"1,325",$482,32 days,2024-09-08 22:11:09
6937 S Laflin St,CHI - West Englewood,"$300,000",4,2,—,—,31 days,2024-09-08 22:11:09
4454 S Vincennes Ave Unit 3S,CHI - Grand Boulevard,"$265,000",3,2,"1,700",$156,31 days,2024-09-08 22:11:09
1806 W Belmont Ave #1,CHI - North Center,"$869,900",3,3.5,"2,200",$395,31 days,2024-09-08 22:11:09
3440 N Lake Shore Dr Unit 14B,CHI - Lake View,"$364,900",2,1,—,—,31 days,2024-09-08 22:11:09
5900 S King Dr Unit C-3,CHI - Washington Park,"$250,000",3,2,"1,220",$205,31 days,2024-09-08 22:11:09
400 W Huron St #1002,CHI - Near North Side,"$1,424,900",3,2.5,"2,200",$648,30 days,2024-09-08 22:11:09
860 W Lakeside Pl Unit A,CHI - Uptown,"$515,000",3,2.5,"1,800",$286,30 days,2024-09-08 22:11:10
444 W Fullerton Pkwy #1909,CHI - Lincoln Park,"$435,000",2,2,—,—,30 days,2024-09-08 22:11:10
2423 W Fullerton Ave Unit 3E,CHI - Logan Square,"$499,900",2,2,"1,000",$500,29 days,2024-09-08 22:11:10
170 W Polk St #1602,CHI - Loop,"$310,000",1,1,800,$388,29 days,2024-09-08 22:11:10
235 W Van Buren St #2102,CHI - Loop,"$358,000",2,2,"1,000",$358,29 days,2024-09-08 22:11:10
2101 W Rice St #101,CHI - West Town,"$479,900",2,2,"1,500",$320,29 days,2024-09-08 22:11:10
7408 S Eberhart Ave,CHI - Greater Grand Crossing,"$425,000",6,4,—,—,26 days,2024-09-08 22:11:10
808 N Greenview Ave Unit 3E,CHI - West Town,"$465,000",2,2,"1,254",$371,26 days,2024-09-08 22:11:10
1255 N State Pkwy Unit 2AC,Churchill,"$785,000",2,2,"2,000",$393,26 days,2024-09-08 22:11:10
